Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,33.997,35.033,33.997,34.652,3244922,0
2017-01-04,34.818,35.959,34.769,35.364,3985857,0
2017-01-05,34.164,34.564,33.578,34.437,5071396,0
2017-01-06,34.534,34.798,34.193,34.681,2666342,0
2017-01-09,34.719,34.739,34.047,34.144,2928608,0
2017-01-10,34.261,34.953,34.193,34.622,2746918,0
2017-01-11,34.681,34.739,34.105,34.29,3168122,0
2017-01-12,34.095,34.448,34.007,34.261,1846074,0
2017-01-13,34.359,34.476,34.047,34.232,1727216,0
2017-01-17,34.427,35.276,34.389,34.866,2725325,0
2017-01-18,34.779,34.779,34.203,34.496,2563358,0
2017-01-19,34.612,34.7,34.095,34.252,1881084,0
2017-01-20,34.397,34.486,33.87,34.457,2683417,0
2017-01-23,34.105,34.759,33.5,34.583,2628640,0
2017-01-24,34.916,35.911,34.906,35.862,4476868,0
2017-01-25,35.862,36.009,35.315,35.383,4143326,0
2017-01-26,35.247,35.608,34.983,35.033,2412581,0
2017-01-27,35.052,35.12,34.554,34.719,2951528,0
2017-01-30,34.603,35.247,34.407,35.11,4600153,0
2017-01-31,35.452,36.672,34.769,36.447,13338901,0
2017-02-01,36.945,37.369,36.056,36.896,9133673,0
2017-02-02,37.102,37.149,36.032,36.096,4886450,0
2017-02-03,36.076,36.3,35.725,35.882,4047797,0
2017-02-06,35.803,36.281,35.627,36.262,4910576,0
2017-02-07,35.891,36.262,35.862,35.989,3930205,0
2017-02-08,35.911,36.583,35.803,36.564,2879475,0
2017-02-09,36.71,37.032,36.557,36.623,2942922,0
2017-02-10,36.798,37.256,36.672,37.149,4369546,0
2017-02-13,37.229,37.706,37.129,37.209,2632259,0
2017-02-14,37.121,37.618,37.121,37.179,4002877,0
2017-02-15,37.082,37.336,37.022,37.229,3285512,0
2017-02-16,37.266,37.52,36.705,37.042,3888468,0
2017-02-17,36.857,37.316,36.837,37.286,5090377,0
2017-02-21,37.52,38.018,37.433,37.726,3005568,0
2017-02-22,37.726,37.775,37.501,37.696,2599611,0
2017-02-23,37.735,37.843,36.945,37.032,3461906,0
2017-02-24,36.974,37.365,36.628,37.102,3057639,0
2017-02-27,37.082,37.92,36.984,37.775,3423719,0
2017-02-28,37.657,37.833,37.003,37.169,3882847,0
2017-03-01,37.365,37.501,36.886,37.462,3889367,0
2017-03-02,37.54,37.833,37.423,37.501,2634944,0
2017-03-03,37.618,37.657,36.818,37.149,2543787,0
2017-03-06,37.111,37.169,36.71,37.102,2551444,0
2017-03-07,37.052,37.102,36.623,36.905,3348891,0
2017-03-08,37.101,38.198,36.972,38.104,3491696,0
2017-03-09,38.016,38.104,37.741,37.888,2674787,0
2017-03-10,38.036,38.696,38.013,38.666,4416120,0
2017-03-13,38.656,38.882,38.144,38.312,4110527,0
2017-03-14,38.203,38.478,38.134,38.37,2042439,0
2017-03-15,38.45,39.533,38.45,39.247,5133342,0
2017-03-16,39.178,39.375,38.833,39.06,2803071,0
2017-03-17,39.079,39.197,38.676,39.129,3716127,0
2017-03-20,39.178,39.197,38.312,38.548,2135984,0
2017-03-21,38.587,38.646,37.563,38.085,3093386,0
2017-03-22,37.947,37.986,37.337,37.947,3103364,0
2017-03-23,38.331,38.543,38.129,38.282,1576900,0
2017-03-24,38.558,38.676,38.242,38.488,2097558,0
2017-03-27,38.193,39.443,38.184,39.414,4231120,0
2017-03-28,39.385,40.369,39.237,40.28,5028762,0
2017-03-29,40.143,40.92,40.128,40.754,4907367,0
2017-03-30,40.507,41.058,40.448,41.048,3914562,0
2017-03-31,40.98,41.009,40.541,40.694,3658218,0
2017-04-03,40.684,40.734,39.907,39.995,3976929,0
2017-04-04,39.788,39.817,38.656,38.951,5006404,0
2017-04-05,38.991,39.257,38.666,38.734,2933746,0
2017-04-06,38.872,39.739,38.734,39.424,4809707,0
2017-04-07,39.178,39.355,38.905,39.02,2531467,0
2017-04-10,39.099,39.424,38.754,39.01,2128630,0
2017-04-11,38.981,39.473,38.814,39.443,2114635,0
2017-04-12,39.493,39.651,39.296,39.523,3572227,0
2017-04-13,39.453,39.651,39.109,39.119,1722821,0
2017-04-17,39.207,39.375,38.892,39.109,1903603,0
2017-04-18,38.823,39.001,38.548,38.912,2102627,0
2017-04-19,39.109,39.267,38.744,38.804,3180886,0
2017-04-20,39.069,39.291,38.892,39.168,3654861,0
2017-04-21,39.138,39.178,38.41,38.508,3935623,0
2017-04-24,38.882,38.922,38.222,38.696,4779849,0
2017-04-25,39.02,39.227,38.705,38.961,2269950,0
2017-04-26,38.932,39.158,38.686,38.814,2660248,0
2017-04-27,39.01,39.33,38.842,39.207,2254549,0
2017-04-28,39.227,39.227,38.577,38.784,3274749,0
2017-05-01,38.902,38.941,37.878,38.144,5753580,0
2017-05-02,40.576,42.802,40.251,42.486,14635174,0
2017-05-03,42.466,43.156,41.767,42.003,5500472,0
2017-05-04,42.151,42.368,41.699,41.905,2629482,0
2017-05-05,42.013,42.141,41.679,42.003,2651890,0
2017-05-08,44.908,45.843,43.785,44.022,13918924,0
2017-05-09,44.239,45.174,43.865,44.505,5457270,0
2017-05-10,44.731,45.342,44.307,45.234,4849064,0
2017-05-11,44.977,45.144,44.003,45.026,3868187,0
2017-05-12,44.888,44.888,44.347,44.573,3399339,0
2017-05-15,44.603,45.194,44.574,44.711,3603581,0
2017-05-16,44.514,44.588,44.116,44.297,2518885,0
2017-05-17,43.963,44.563,43.766,44.061,3380233,0
2017-05-18,44.061,44.632,43.953,43.983,2736359,0
2017-05-19,44.061,44.968,43.885,44.623,2530508,0
2017-05-22,44.662,45.39,44.506,45.036,3140816,0
2017-05-23,45.234,45.42,45.056,45.302,2965284,0
2017-05-24,45.066,45.528,44.859,45.4,3384293,0
2017-05-25,45.745,46.056,45.322,45.361,1954635,0
2017-05-26,45.38,45.716,45.332,45.617,1461637,0
2017-05-30,45.755,45.991,45.144,45.361,2490238,0
2017-05-31,45.42,45.528,44.82,45.499,3185864,0
2017-06-01,45.617,45.873,45.282,45.45,2850892,0
2017-06-02,45.656,45.755,45.174,45.292,3018502,0
2017-06-05,45.252,45.883,45.046,45.843,2410644,0
2017-06-06,45.47,46.109,45.371,45.784,3420196,0
2017-06-07,45.782,46.109,45.415,45.97,2241820,0
2017-06-08,46.119,46.913,46.065,46.109,3335896,0
2017-06-09,46.208,46.769,46.05,46.337,2854158,0
2017-06-12,46.119,46.635,45.792,45.99,3697079,0
2017-06-13,46.02,46.089,45.544,45.762,2915414,0
2017-06-14,45.772,45.961,45.415,45.911,2716058,0
2017-06-15,45.613,45.871,45.405,45.693,2950780,0
2017-06-16,45.529,46.119,45.328,45.851,3554096,0
2017-06-19,46.02,46.343,45.782,46.169,1594977,0
2017-06-20,46.228,46.228,45.286,45.326,1688158,0
2017-06-21,45.465,46.248,45.465,46.169,3133309,0
2017-06-22,46.159,46.496,45.832,46.099,2115046,0
2017-06-23,46.179,46.347,45.871,46.327,2334833,0
2017-06-26,46.714,47.369,46.595,46.873,2087325,0
2017-06-27,46.843,47.052,46.605,46.734,1854525,0
2017-06-28,46.863,47.319,46.833,46.942,1853616,0
2017-06-29,47.012,47.27,46.263,46.476,2074518,0
2017-06-30,47.032,47.349,46.846,46.952,2207110,0
2017-07-03,46.952,47.329,46.913,46.942,1178815,0
2017-07-05,46.952,46.962,46.417,46.714,2922329,0
2017-07-06,46.556,46.615,45.861,46.298,2621949,0
2017-07-07,46.417,47.478,46.357,47.29,2673914,0
2017-07-10,47.24,47.458,47.091,47.18,2639669,0
2017-07-11,47.141,47.309,46.595,46.625,1844443,0
2017-07-12,46.833,46.843,46.387,46.665,2048036,0
2017-07-13,46.942,47.389,46.813,47.052,1856443,0
2017-07-14,47.21,47.728,47.151,47.597,2088815,0
2017-07-17,47.696,48.004,47.528,47.547,1615712,0
2017-07-18,47.498,47.547,47.151,47.359,1235694,0
2017-07-19,47.428,47.815,47.359,47.756,1227117,0
2017-07-20,47.855,47.984,47.498,47.686,1613159,0
2017-07-21,47.845,48.45,47.618,48.341,2238647,0
2017-07-24,48.103,48.361,47.855,48.152,1956372,0
2017-07-25,48.271,48.331,47.686,48.123,2242739,0
2017-07-26,48.252,48.252,47.428,47.498,2906752,0
2017-07-27,47.538,47.617,46.992,47.577,4550606,0
2017-07-28,47.488,48.341,47.339,48.291,3845705,0
2017-07-31,47.746,47.924,46.417,46.754,7563118,0
2017-08-01,46.714,47.448,46.466,47.399,3357155,0
2017-08-02,47.21,47.21,45.713,45.842,3387193,0
2017-08-03,45.822,46.089,45.405,45.772,2799750,0
2017-08-04,45.832,46.774,45.722,46.625,2667315,0
2017-08-07,46.774,47.329,46.685,47.18,2619597,0
2017-08-08,47.607,48.202,47.215,47.438,3388600,0
2017-08-09,47.171,47.528,46.942,47.369,2691107,0
2017-08-10,47.071,47.349,46.665,46.704,2774809,0
2017-08-11,46.476,47.671,46.328,47.161,2729936,0
2017-08-14,47.518,47.805,47.319,47.528,3670243,0
2017-08-15,42.807,43.301,40.248,40.307,23142852,0
2017-08-16,40.635,40.952,40.029,40.387,7795757,0
2017-08-17,40.168,41.21,40.119,40.664,5269042,0
2017-08-18,40.585,40.863,39.96,40.049,3800731,0
2017-08-21,40.079,40.664,39.821,40.555,4203501,0
2017-08-22,40.664,40.882,40.327,40.644,3975722,0
2017-08-23,40.347,41.011,40.059,40.615,3570705,0
2017-08-24,41.081,41.398,40.605,40.982,2907776,0
2017-08-25,41.071,41.815,41.011,41.537,2489425,0
2017-08-28,41.507,41.651,41.289,41.557,3454314,0
2017-08-29,41.17,41.378,41.021,41.368,1673455,0
2017-08-30,41.368,41.428,40.853,40.863,2663238,0
2017-08-31,41.18,41.517,40.952,41.359,3510961,0
2017-09-01,41.378,41.795,41.051,41.626,2562874,0
2017-09-05,41.626,41.656,40.932,41.031,3377083,0
2017-09-06,41.13,41.279,40.788,41.18,3978354,0
2017-09-07,41.38,41.38,40.58,40.66,3363815,0
2017-09-08,40.74,40.74,40.3,40.43,4482587,0
