Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,64.96,67.8,64.96,67.13,460488,0
2017-01-04,68.29,70.35,67.3752,69.26,624030,0
2017-01-05,69.67,69.96,65.09,67.13,344463,0
2017-01-06,67.09,67.96,66.73,66.93,179112,0
2017-01-09,67,67.42,65.594,67.32,223024,0
2017-01-10,67.78,69.2,67.16,68.74,205451,0
2017-01-11,68.8,69.79,68.03,69.27,236958,0
2017-01-12,69.29,69.29,66.95,68.58,143330,0
2017-01-13,69,70.53,69,69.79,204032,0
2017-01-17,69.67,69.999,68.26,68.48,156396,0
2017-01-18,67.98,69.59,67.35,69.31,221391,0
2017-01-19,69.32,69.93,67.68,67.73,142548,0
2017-01-20,67.79,68.4909,67.48,67.71,135033,0
2017-01-23,67.21,68.34,66.95,68.15,154025,0
2017-01-24,68.61,70.844,68.61,70.29,212183,0
2017-01-25,71.21,71.7,69.72,69.96,251532,0
2017-01-26,70.06,70.379,67.94,68.31,155851,0
2017-01-27,67.96,68.46,66.85,68.17,122203,0
2017-01-30,67.49,67.855,66.2352,67.37,214417,0
2017-01-31,67.11,67.88,66.595,67.73,131028,0
2017-02-01,68.06,68.7874,66.26,67.67,169361,0
2017-02-02,67.55,67.57,66.09,66.41,172743,0
2017-02-03,66.91,68.78,66.7901,68.55,156301,0
2017-02-06,68.27,68.35,67.48,67.93,131005,0
2017-02-07,68.27,68.72,66.25,67,183712,0
2017-02-08,66.65,67.25,66.08,67.25,206035,0
2017-02-09,67.53,68.2389,67.15,68.07,215191,0
2017-02-10,68.35,68.83,67.645,68.69,248624,0
2017-02-13,69.32,69.65,68.53,68.89,124356,0
2017-02-14,68.7,68.823,67.77,68.61,141784,0
2017-02-15,68.36,70.43,68.36,70.09,186776,0
2017-02-16,70.26,70.63,69.085,70.57,178403,0
2017-02-17,70.52,71,69.195,69.81,537092,0
2017-02-21,72.75,78.155,70.53,71.15,741626,0
2017-02-22,70.8,71.77,64.1901,65.81,998048,0
2017-02-23,66.65,68.29,65.13,66.51,519568,0
2017-02-24,66.28,66.39,65.21,66.3,353846,0
2017-02-27,66.58,68.65,66.3,68.28,429440,0
2017-02-28,68.64,68.66,67.4,68.01,552867,0
2017-03-01,69.16,70.78,68.69,70.23,534912,0
2017-03-02,70.22,70.67,69.38,69.83,292529,0
2017-03-03,70,70,68.23,69.05,203021,0
2017-03-06,68.55,69.52,68.2446,68.46,245964,0
2017-03-07,68.15,69.11,67.53,69.01,242258,0
2017-03-08,69.21,69.84,68.68,69.26,234986,0
2017-03-09,69.25,69.5,68.22,68.87,232147,0
2017-03-10,69.35,70.929,68.94,70.81,178335,0
2017-03-13,70.5,72.13,70.49,71.88,210455,0
2017-03-14,71.2,71.94,70.2575,70.67,338557,0
2017-03-15,71.04,72.07,70.72,71.88,179115,0
2017-03-16,72.15,73.05,71.9,72.89,189325,0
2017-03-17,73.1,73.28,72.3,72.74,339937,0
2017-03-20,72.65,72.72,71.1025,71.74,176349,0
2017-03-21,71.84,72.2,69.29,69.35,187396,0
2017-03-22,69.13,69.71,67.66,68.39,195488,0
2017-03-23,68.65,69.775,68.16,69.5,178304,0
2017-03-24,69.63,70.57,69.57,70.19,147292,0
2017-03-27,69.29,70.29,67.815,69.89,200139,0
2017-03-28,69.35,70.11,68.87,69.91,182214,0
2017-03-29,69.8,69.8,68.18,68.6,208396,0
2017-03-30,68.81,69.665,68.43,68.8,182033,0
2017-03-31,68.69,69.63,68.21,69.39,172435,0
2017-04-03,69.65,69.89,67.15,67.37,232048,0
2017-04-04,67.14,67.94,66.8444,67.37,130665,0
2017-04-05,67.95,68.35,66.57,66.63,115010,0
2017-04-06,66.68,67.69,66.609,67.24,100074,0
2017-04-07,66.8,67.4,66.33,67,126891,0
2017-04-10,66.71,67.745,66.64,66.92,113530,0
2017-04-11,66.64,68.08,66.55,68.05,124091,0
2017-04-12,67.94,67.94,66.3,66.93,150920,0
2017-04-13,66.67,66.85,66.08,66.55,215090,0
2017-04-17,66.71,67.97,66.53,67.85,112853,0
2017-04-18,67.5,67.875,66.88,67.43,111645,0
2017-04-19,67.64,68.85,67.64,68.76,220741,0
2017-04-20,69.25,70.35,68.8101,69.87,168285,0
2017-04-21,69.86,70.295,69.035,69.86,149964,0
2017-04-24,70.88,71.21,70.04,70.49,144707,0
2017-04-25,71.13,72.71,71.13,72.3,175882,0
2017-04-26,72.3,73.91,72.25,73.53,167370,0
2017-04-27,73.64,75.2,73.35,74.79,263274,0
2017-04-28,75.27,75.6527,73.09,73.19,249923,0
2017-05-01,73.49,75.57,73.49,75.52,184532,0
2017-05-02,75.4,75.8442,73.19,73.77,167348,0
2017-05-03,73.37,74.24,72.71,73.65,200429,0
2017-05-04,74.14,75.14,72.77,75.12,262681,0
2017-05-05,75.18,76.49,67.085,68.12,1113711,0
2017-05-08,67.73,68.31,64.64,65.56,747424,0
2017-05-09,65.51,66.11,65.25,65.73,286325,0
2017-05-10,65.59,66.18,64.33,65.44,288560,0
2017-05-11,65.17,65.18,64.09,64.92,210602,0
2017-05-12,64.6,65.24,63.76,64.56,197060,0
2017-05-15,64.56,65.92,64.07,65.61,202636,0
2017-05-16,65.46,66.21,64.38,65.33,259628,0
2017-05-17,64.46,64.46,63.2,63.42,210368,0
2017-05-18,63.32,64.11,62.51,63.75,172944,0
2017-05-19,64.03,64.55,63.23,63.48,115608,0
2017-05-22,63.89,64.38,63.36,63.98,124307,0
2017-05-23,64.34,64.4,63.29,63.96,103443,0
2017-05-24,63.96,64.46,63.2,63.36,115898,0
2017-05-25,63.47,63.855,62.68,63.11,161534,0
2017-05-26,62.73,62.85,62.12,62.73,153334,0
