Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,3.26,3.32,3.23,3.32,1526537,0
2017-01-04,3.35,3.455,3.33,3.44,4208786,0
2017-01-05,3.46,3.5,3.395,3.47,2640296,0
2017-01-06,3.45,3.47,3.34,3.37,3175166,0
2017-01-09,3.37,3.37,3.29,3.31,1743312,0
2017-01-10,3.34,3.56,3.34,3.56,4893379,0
2017-01-11,3.56,3.57,3.455,3.47,2992594,0
2017-01-12,3.53,3.55,3.34,3.34,6500863,0
2017-01-13,3.36,3.435,3.35,3.43,5659182,0
2017-01-17,3.41,3.45,3.36,3.42,1900837,0
2017-01-18,3.43,3.43,3.34,3.36,1595682,0
2017-01-19,3.36,3.38,3.34,3.36,2079032,0
2017-01-20,3.35,3.43,3.35,3.42,1916543,0
2017-01-23,3.45,3.48,3.4,3.47,1885621,0
2017-01-24,3.48,3.615,3.48,3.61,6153699,0
2017-01-25,3.59,3.7,3.55,3.65,8302737,0
2017-01-26,3.62,3.66,3.585,3.61,5440501,0
2017-01-27,3.6,3.62,3.52,3.52,2725601,0
2017-01-30,3.5,3.54,3.46,3.54,3121518,0
2017-01-31,3.57,3.62,3.55,3.61,4238875,0
2017-02-01,3.63,3.7,3.59,3.69,3339308,0
2017-02-02,3.8,3.8,3.675,3.7,3234610,0
2017-02-03,3.7,3.7,3.56,3.56,2562194,0
2017-02-06,3.55,3.57,3.51,3.56,1612353,0
2017-02-07,3.57,3.62,3.54,3.56,2262816,0
2017-02-08,3.58,3.6,3.53,3.58,1935391,0
2017-02-09,3.59,3.61,3.52,3.53,1168761,0
2017-02-10,3.56,3.64,3.55,3.56,3959742,0
2017-02-13,3.59,3.61,3.555,3.61,2424293,0
2017-02-14,3.62,3.64,3.5,3.59,2145098,0
2017-02-15,3.61,3.6475,3.55,3.62,3279828,0
2017-02-16,3.62,3.62,3.55,3.55,3261420,0
2017-02-17,3.53,3.53,3.41,3.47,4086095,0
2017-02-21,3.48,3.62,3.46,3.61,3504607,0
