Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,5.45,5.6,5.15,5.4,233921,0
2017-01-04,5.45,5.8,5.425,5.75,372634,0
2017-01-05,5.65,5.7395,5.25,5.4,292287,0
2017-01-06,5.4,5.4,5.1,5.15,217395,0
2017-01-09,5.2,5.2,4.95,5.05,211553,0
2017-01-10,5,5.45,5,5.4,323982,0
2017-01-11,5.45,5.45,5.15,5.4,307311,0
2017-01-12,5.4,5.475,5.175,5.35,233122,0
2017-01-13,5.35,5.5,5.25,5.35,339640,0
2017-01-17,5.35,5.7,5,5,281240,0
2017-01-18,4.9,4.9,4.5,4.65,976998,0
2017-01-19,4.7,4.7,4.5,4.55,445882,0
2017-01-20,4.5,4.55,4.35,4.5,510210,0
2017-01-23,4.45,4.5,4.1,4.15,427254,0
2017-01-24,4.2,4.3,4.1,4.15,508999,0
2017-01-25,4.2,4.3,4.1,4.25,314304,0
2017-01-26,4.2,4.25,4.1,4.15,225202,0
2017-01-27,4.2,4.2,4,4.1,1057479,0
2017-01-30,4.05,4.2,4,4.2,406931,0
2017-01-31,4.2,4.4,4.1,4.3,453643,0
2017-02-01,4.4,4.5,4.2,4.3,369191,0
2017-02-02,4.25,4.35,3.9,3.95,1068573,0
2017-02-03,3.7,4.125,3.675,3.75,2390394,0
2017-02-06,3.8,3.9,3.55,3.7,1863066,0
2017-02-07,3.65,3.9,3.65,3.7,1145272,0
2017-02-08,3.7,4.05,3.55,3.95,1345510,0
2017-02-09,4.15,4.2,3.8,3.925,1238786,0
2017-02-10,3.9,4,3.7,4,2080101,0
2017-02-13,3.95,4.05,3.85,3.95,697412,0
2017-02-14,3.95,4,3.85,3.9,651126,0
2017-02-15,3.9,3.95,3.8,3.95,381195,0
2017-02-16,3.95,4.025,3.9,3.9,386614,0
2017-02-17,3.9,4.05,3.85,4,405682,0
2017-02-21,3.95,4.1,3.875,4,619238,0
2017-02-22,3.95,4.1,3.9,4.05,359804,0
2017-02-23,4.05,4.1,3.85,3.95,412050,0
2017-02-24,3.95,4.125,3.8,4,557155,0
2017-02-27,4,4.05,3.75,3.8,571321,0
2017-02-28,3.75,3.8,3.55,3.65,633263,0
2017-03-01,3.7,3.75,3.55,3.65,562719,0
2017-03-02,3.6,3.8268,3.6,3.65,322997,0
2017-03-03,3.6,3.675,3.45,3.55,465309,0
2017-03-06,3.5,3.645,3.4,3.45,352572,0
2017-03-07,3.45,3.5,3.4,3.45,253026,0
2017-03-08,3.45,3.5,3.35,3.4,299648,0
2017-03-09,3.45,3.5,3.35,3.45,262055,0
2017-03-10,3.45,3.6,3.4,3.5,281923,0
2017-03-13,3.5,3.6,3.375,3.55,397023,0
2017-03-14,3.5,3.5,3.4,3.45,179024,0
2017-03-15,3.4,3.5,3.35,3.45,330643,0
2017-03-16,3.4,3.7,3.4,3.65,342243,0
