Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,1.41,1.4269,1.3178,1.34,224048,0
2017-01-04,1.34,1.3999,1.34,1.36,375025,0
2017-01-05,1.38,1.39,1.34,1.35,359388,0
2017-01-06,1.34,1.39,1.31,1.32,135362,0
2017-01-09,1.35,1.355,1.31,1.33,188986,0
2017-01-10,1.3,1.33,1.29,1.32,220523,0
2017-01-11,1.3,1.3396,1.27,1.29,274113,0
2017-01-12,1.3,1.36,1.271,1.359,494387,0
2017-01-13,1.36,1.36,1.33,1.36,68658,0
2017-01-17,1.36,1.38,1.36,1.38,46410,0
2017-01-18,1.38,1.38,1.3576,1.37,43977,0
2017-01-19,1.37,1.43,1.36,1.39,77154,0
2017-01-20,1.4,1.44,1.37,1.41,61867,0
2017-01-23,1.42,1.4299,1.39,1.39,53606,0
2017-01-24,1.42,1.54,1.4,1.4968,520779,0
2017-01-25,1.5,1.52,1.4625,1.51,199858,0
2017-01-26,1.52,1.52,1.48,1.5193,94884,0
2017-01-27,1.51,1.52,1.48,1.52,164299,0
2017-01-30,1.52,1.52,1.47,1.52,107680,0
2017-01-31,1.51,1.52,1.42,1.48,91033,0
2017-02-01,1.48,1.48,1.45,1.45,51500,0
2017-02-02,1.45,1.48,1.41,1.42,105302,0
2017-02-03,1.42,1.44,1.3901,1.42,112402,0
2017-02-06,1.42,1.43,1.3961,1.4,137976,0
2017-02-07,1.41,1.41,1.37,1.38,49551,0
2017-02-08,1.38,1.4,1.35,1.38,90862,0
2017-02-09,1.37,1.3936,1.34,1.36,176051,0
2017-02-10,1.37,1.38,1.34,1.36,98383,0
2017-02-13,1.38,1.38,1.35,1.36,131154,0
2017-02-14,1.36,1.36,1.35,1.35,43308,0
2017-02-15,1.35,1.36,1.34,1.35,38244,0
2017-02-16,1.36,1.36,1.34,1.35,47198,0
2017-02-17,1.34,1.36,1.33,1.35,36949,0
2017-02-21,1.36,1.36,1.34,1.36,196022,0
2017-02-22,1.36,1.36,1.2882,1.29,476154,0
2017-02-23,1.31,1.31,1.26,1.28,515018,0
2017-02-24,1.29,1.29,1.25,1.26,59733,0
2017-02-27,1.27,1.3,1.25,1.25,214643,0
2017-02-28,1.27,1.27,1.25,1.27,87996,0
2017-03-01,1.26,1.2699,1.25,1.25,58402,0
2017-03-02,1.25,1.34,1.25,1.3088,222610,0
2017-03-03,1.32,1.38,1.2629,1.29,93219,0
2017-03-06,1.28,1.31,1.28,1.31,76979,0
2017-03-07,1.3,1.34,1.27,1.3,39005,0
2017-03-08,1.32,1.3287,1.28,1.3,61313,0
2017-03-09,1.31,1.3363,1.3,1.33,36357,0
2017-03-10,1.34,1.4,1.3,1.3799,94095,0
2017-03-13,1.3521,1.37,1.33,1.33,39606,0
2017-03-14,1.34,1.364,1.3,1.34,39767,0
2017-03-15,1.36,1.37,1.32,1.32,64842,0
2017-03-16,1.35,1.37,1.34,1.3625,43898,0
2017-03-17,1.34,1.36,1.33,1.33,26267,0
2017-03-20,1.33,1.34,1.3,1.3,52512,0
2017-03-21,1.32,1.35,1.3,1.32,55543,0
2017-03-22,1.3,1.33,1.3,1.31,59583,0
2017-03-23,1.32,1.3465,1.3,1.3,30868,0
2017-03-24,1.33,1.34,1.3,1.31,53459,0
2017-03-27,1.25,1.39,1.25,1.35,40800,0
2017-03-28,1.25,1.36,1.18,1.33,72153,0
2017-03-29,1.31,1.359,1.31,1.33,36114,0
2017-03-30,1.35,1.36,1.31,1.36,44460,0
2017-03-31,1.36,1.523,1.33,1.45,241549,0
2017-04-03,1.43,1.48,1.43,1.4546,101928,0
2017-04-04,1.45,1.47,1.45,1.45,105451,0
2017-04-05,1.45,1.4547,1.42,1.44,36032,0
2017-04-06,1.46,1.46,1.42,1.43,62980,0
2017-04-07,1.46,1.46,1.42,1.42,36501,0
2017-04-10,1.45,1.47,1.42,1.44,84055,0
2017-04-11,1.42,1.45,1.42,1.44,25144,0
2017-04-12,1.44,1.45,1.42,1.44,17437,0
2017-04-13,1.44,1.44,1.4,1.44,57599,0
2017-04-17,1.44,1.44,1.43,1.43,8752,0
2017-04-18,1.42,1.44,1.39,1.43,63870,0
2017-04-19,1.41,1.44,1.41,1.44,38806,0
2017-04-20,1.44,1.44,1.42,1.44,21867,0
2017-04-21,1.4,1.45,1.4,1.44,64666,0
2017-04-24,1.42,1.45,1.42,1.43,55177,0
2017-04-25,1.45,1.45,1.42,1.42,74907,0
2017-04-26,1.42,1.45,1.42,1.45,737902,0
2017-04-27,1.46,1.46,1.42,1.447,12813,0
2017-04-28,1.44,1.45,1.42,1.44,199733,0
2017-05-01,1.45,1.46,1.42,1.43,145919,0
2017-05-02,1.44,1.57,1.42,1.5655,691864,0
2017-05-03,1.54,1.62,1.54,1.6,185120,0
2017-05-04,1.57,1.62,1.55,1.57,171732,0
2017-05-05,1.56,1.6,1.5201,1.5979,145580,0
2017-05-08,1.59,1.65,1.5849,1.63,305200,0
2017-05-09,1.64,1.68,1.61,1.6786,142580,0
2017-05-10,1.68,1.71,1.65,1.68,130254,0
2017-05-11,1.68,1.72,1.66,1.66,107481,0
2017-05-12,1.68,1.683,1.64,1.64,115726,0
2017-05-15,1.62,1.68,1.62,1.65,56514,0
2017-05-16,1.62,1.64,1.6,1.61,65753,0
2017-05-17,1.63,1.64,1.59,1.59,33503,0
2017-05-18,1.6,1.6252,1.58,1.5999,45102,0
2017-05-19,1.59,1.64,1.56,1.61,47668,0
2017-05-22,1.61,1.6299,1.58,1.61,17778,0
