Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,48.49,48.49,48.49,48.49,167,0
2017-01-04,48.9,48.9,48.9,48.9,251,0
2017-01-05,48.22,48.859,48.22,48.76,1001,0
2017-01-06,48.32,48.32,48.3199,48.3199,400,0
2017-01-09,48.32,48.32,48.32,48.32,100,0
2017-01-10,48.9033,48.9033,48.4829,48.4829,450,0
2017-01-12,49,49.45,48.7212,49.45,510,0
2017-01-13,49.42,49.42,49.42,49.42,100,0
2017-01-19,49.01,49.01,49,49,542,0
2017-01-20,49.47,49.48,49,49,900,0
2017-01-23,49.655,49.9,49.655,49.75,700,0
2017-01-25,49.4997,49.95,49.4997,49.75,1765,0
2017-01-27,49.95,49.95,49.8014,49.8014,700,0
2017-01-30,49.95,50,49.9157,49.9257,1400,0
2017-01-31,49.9,49.9999,49.8513,49.9999,440,0
2017-02-01,49.798,49.798,49.6,49.61,700,0
2017-02-02,49.61,49.75,49.61,49.75,2000,0
2017-02-03,49.56,49.56,49.01,49.05,650,0
2017-02-06,49.6486,49.6486,49.25,49.25,600,0
2017-02-07,49.6647,49.998,49.33,49.36,1243,0
2017-02-08,49.8,49.85,49.12,49.14,1250,0
2017-02-09,49.5,50,49.5,50,1340,0
2017-02-10,49.8522,49.8522,49.8522,49.8522,100,0
2017-02-13,49.8778,49.98,49.8778,49.9001,1059,0
2017-02-14,49.29,49.29,49.29,49.29,100,0
2017-02-15,50,50.0835,49.355,49.99,3250,0
2017-02-16,49.99,49.99,49.99,49.99,200,0
2017-02-17,49.34,49.397,49.34,49.397,1500,0
2017-02-21,49.6519,49.99,49.6519,49.99,300,0
2017-02-23,49.6032,50.25,48.53,50,17838,0
2017-02-24,50.0001,50.0001,50.0001,50.0001,224,0
2017-02-27,50,50.2,49.99,50,2225,0
2017-02-28,49.8947,50,49.8947,50,1206,0
2017-03-02,49.8501,49.8501,49.8501,49.8501,100,0
2017-03-03,49.85,50.816,49.8,49.8102,3237,0
2017-03-08,49.8,49.925,49.75,49.925,1400,0
2017-03-09,49.93,49.93,49.93,49.93,204,0
2017-03-13,51.005,51.005,49.02,49.78,977,0
2017-03-15,49.049,49.64,49.049,49.49,500,0
2017-03-16,49.8583,49.95,49.7333,49.7333,2140,0
2017-03-17,49.999,50.75,49.999,50.75,2700,0
2017-03-20,50.0564,50.1701,50,50.1701,1403,0
2017-03-22,50,50,50,50,100,0
2017-03-23,50,50.01,50,50,1029,0
2017-03-24,50.12,50.12,50.05,50.06,1351,0
2017-03-28,50.93,50.93,49.9,49.9,1674,0
2017-03-29,49.9,49.9811,49.9,49.9,601,0
2017-03-30,49.9,49.9425,49.9,49.9425,300,0
2017-03-31,49.91,50.0597,49.91,50.0597,400,0
2017-04-03,50.15,50.2,50.1151,50.1251,1255,0
2017-04-04,50.2,50.3,50.2,50.205,801,0
2017-04-05,50.8,50.8,50.55,50.55,1761,0
2017-04-07,49.9101,49.9101,49.91,49.91,448,0
2017-04-11,50.25,50.25,50.22,50.25,400,0
2017-04-12,50.098,50.098,49.95,49.9911,540,0
2017-04-18,50.1,50.25,50.1,50.1577,1000,0
2017-04-19,50.21,50.25,50.1468,50.25,3800,0
2017-04-20,50.1231,50.1231,50.0112,50.0112,400,0
2017-04-21,50.4175,50.4175,50.4175,50.4175,151,0
2017-04-24,49.92,49.95,49.9,49.9,1500,0
2017-04-25,50.03,50.12,50,50.05,600,0
2017-04-26,50.2,50.2,50.2,50.2,300,0
2017-04-27,49.95,50.07,49.95,50.06,1400,0
2017-04-28,49.9,50.9316,49.9,50.25,1454,0
2017-05-01,50.25,50.25,50.24,50.25,1475,0
2017-05-02,50.25,50.64,50.1907,50.64,2078,0
2017-05-03,50.07,50.4199,50.07,50.4199,250,0
2017-05-08,50.3356,51.49,50.3356,51.49,520,0
2017-05-09,50.4,50.75,50.4,50.75,200,0
2017-05-10,50.75,50.75,50.75,50.75,200,0
2017-05-17,51.05,51.05,51.05,51.05,200,0
2017-05-18,51.05,51.4,51.05,51.4,700,0
2017-05-19,50.55,50.55,50.17,50.26,2780,0
2017-05-22,50.5,50.73,50.5,50.7,648,0
2017-05-23,51.1224,51.1224,51.1224,51.1224,100,0
2017-05-31,50.7,50.7,50.28,50.28,600,0
2017-06-06,50.55,51.4172,50.55,51.25,700,0
2017-06-07,50.55,50.6006,50.55,50.55,500,0
2017-06-12,51.191,51.44,51.191,51.44,200,0
2017-06-13,51.2,51.2,51.2,51.2,100,0
2017-06-14,51.39,51.5,51.36,51.45,1660,0
2017-06-19,51.205,51.205,51.205,51.205,100,0
2017-06-21,51.46,51.48,51.4092,51.4292,400,0
2017-06-26,51.45,51.4699,51.45,51.4699,500,0
2017-06-27,51.0101,51.0101,51.0101,51.0101,100,0
2017-06-30,51.3654,51.3654,51.3654,51.3654,1000,0
2017-07-03,51.47,51.47,51.47,51.47,165,0
2017-07-05,51.2855,51.39,51.2855,51.39,369,0
2017-07-12,51.02,51.2549,50.7,50.7,3296,0
