Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,17.538,17.967,17.538,17.802,155093,0
2017-01-04,17.821,18.172,17.821,18.065,116050,0
2017-01-05,18.075,18.094,17.597,17.83,97425,0
2017-01-06,17.909,17.909,17.607,17.617,106767,0
2017-01-09,17.528,17.607,17.199,17.335,84479,0
2017-01-10,17.305,17.51,17.209,17.471,173074,0
2017-01-11,17.501,17.528,17.305,17.52,131125,0
2017-01-12,17.412,17.413,16.935,17.11,83337,0
2017-01-13,17.189,17.431,17.119,17.246,96026,0
2017-01-17,17.149,17.149,16.652,16.662,72270,0
2017-01-18,16.701,16.798,16.535,16.771,59256,0
2017-01-19,16.789,16.852,16.535,16.575,70269,0
2017-01-20,16.575,16.808,16.555,16.633,78671,0
2017-01-23,16.585,16.701,16.379,16.497,55301,0
2017-01-24,16.555,16.877,16.497,16.761,109767,0
2017-01-25,17.724,17.909,17.528,17.85,502037,0
2017-01-26,17.929,18.162,17.84,17.958,166920,0
2017-01-27,17.967,18.075,17.87,17.948,137676,0
2017-01-30,17.783,17.783,17.412,17.471,199690,0
2017-01-31,17.412,17.647,17.412,17.577,166066,0
2017-02-01,17.774,17.931,17.43,17.47,160580,0
2017-02-02,17.48,17.48,16.96,17.049,98263,0
2017-02-03,17.283,17.44,17.141,17.421,83444,0
2017-02-06,17.391,17.48,17.196,17.303,67561,0
2017-02-07,17.353,17.575,17.146,17.225,84716,0
2017-02-08,17.206,17.273,16.818,16.999,82313,0
2017-02-09,17.069,17.293,16.979,17.126,79663,0
2017-02-10,17.293,17.293,17.029,17.273,64384,0
2017-02-13,17.45,17.637,17.44,17.607,127962,0
2017-02-14,17.5,17.823,17.273,17.764,110527,0
2017-02-15,17.911,17.911,17.647,17.842,105195,0
2017-02-16,17.842,18.038,17.675,18.009,143583,0
2017-02-17,17.989,18.127,17.823,18.048,121840,0
2017-02-21,18.127,18.215,17.852,18.117,107075,0
2017-02-22,17.97,18.127,17.911,17.999,88009,0
2017-02-23,18.088,18.127,17.842,18.108,96460,0
2017-02-24,17.97,18.068,17.744,17.941,75643,0
2017-02-27,17.979,18.098,17.734,17.784,79120,0
2017-02-28,17.734,17.999,17.43,17.51,114836,0
2017-03-01,17.911,18.068,17.49,17.989,101778,0
2017-03-02,18.078,18.078,17.51,17.51,88159,0
2017-03-03,17.528,17.637,17.411,17.51,57842,0
2017-03-06,17.353,17.47,17.283,17.373,68735,0
2017-03-07,17.343,17.411,17.156,17.206,76989,0
2017-03-08,17.343,17.401,17.019,17.019,72176,0
2017-03-09,17.136,17.225,16.94,17.009,78824,0
2017-03-10,17.196,17.206,16.813,16.912,85737,0
2017-03-13,16.872,17.059,16.785,16.842,70690,0
2017-03-14,16.725,16.755,16.431,16.646,82110,0
2017-03-15,16.675,16.817,16.538,16.608,110579,0
2017-03-16,16.675,16.902,16.637,16.842,80027,0
2017-03-17,16.685,16.969,16.49,16.912,217453,0
2017-03-20,16.882,16.931,16.665,16.852,94315,0
2017-03-21,17.019,17.019,15.803,15.823,143869,0
2017-03-22,15.686,15.99,15.509,15.863,173213,0
2017-03-23,15.833,16.284,15.441,16.117,112665,0
2017-03-24,16.167,16.323,16.029,16.157,80086,0
2017-03-27,15.793,16.186,15.754,16.137,95310,0
2017-03-28,16.029,16.411,15.965,16.401,116059,0
2017-03-29,16.323,16.381,16.117,16.167,66926,0
2017-03-30,16.137,16.568,16.137,16.499,121395,0
2017-03-31,16.471,16.735,16.371,16.675,140776,0
2017-04-03,16.675,16.822,16.406,16.528,134352,0
2017-04-04,16.431,16.518,16.284,16.371,134420,0
2017-04-05,16.548,16.593,16.176,16.196,150076,0
2017-04-06,16.176,16.381,16.117,16.371,114398,0
2017-04-07,16.244,16.396,16.214,16.274,231659,0
2017-04-10,16.254,16.471,15.99,16.214,117299,0
2017-04-11,16.147,16.471,16.127,16.451,63948,0
2017-04-12,16.401,16.441,16,16.127,70689,0
2017-04-13,16.029,16.139,15.754,15.783,152046,0
2017-04-17,15.843,16.176,15.755,16.127,111277,0
2017-04-18,16.02,16.314,15.98,16.176,81433,0
2017-04-19,17.715,17.715,16.49,17.039,196137,0
2017-04-20,17.685,17.931,17.577,17.842,254660,0
2017-04-21,17.814,17.832,17.216,17.333,170733,0
2017-04-24,17.734,17.842,17.51,17.568,172001,0
2017-04-25,17.647,17.744,17.568,17.597,227825,0
2017-04-26,17.538,17.755,17.203,17.686,432118,0
2017-04-27,17.706,17.706,17.429,17.479,91897,0
2017-04-28,17.489,17.494,17.035,17.045,128247,0
2017-05-01,17.232,17.361,16.966,17.262,93875,0
2017-05-02,17.301,17.4,17.109,17.262,121319,0
2017-05-03,17.163,17.331,17.153,17.203,80269,0
2017-05-04,17.311,17.439,17.005,17.183,67302,0
2017-05-05,17.271,17.271,16.837,17.084,106364,0
2017-05-08,16.995,17.291,16.946,17.271,93755,0
2017-05-09,17.232,17.38,16.956,17.094,84502,0
2017-05-10,17.074,17.223,16.897,17.163,123877,0
2017-05-11,17.065,17.291,16.759,16.788,175649,0
2017-05-12,16.709,17.39,16.492,16.581,116496,0
2017-05-15,16.669,16.837,16.541,16.601,202206,0
2017-05-16,16.65,16.837,16.383,16.837,104181,0
2017-05-17,16.63,16.897,16.433,16.482,211992,0
2017-05-18,16.403,16.621,16.393,16.423,94874,0
2017-05-19,16.443,16.591,16.157,16.215,168135,0
2017-05-22,16.275,16.334,16.127,16.295,65381,0
2017-05-23,16.354,16.63,16.117,16.551,70275,0
2017-05-24,16.561,16.621,16.057,16.315,145367,0
2017-05-25,16.354,16.551,16.23,16.363,99434,0
2017-05-26,16.344,17.223,16.186,16.324,93111,0
2017-05-30,16.245,16.245,15.811,15.949,89249,0
2017-05-31,15.979,17.193,15.633,15.979,139168,0
2017-06-01,16.067,16.847,15.87,16.403,87108,0
2017-06-02,16.245,16.64,16.245,16.285,138523,0
2017-06-05,16.265,16.453,16.167,16.186,72799,0
2017-06-06,16.067,16.167,15.9,16.107,90626,0
2017-06-07,16.137,16.344,16.077,16.285,75254,0
2017-06-08,16.255,17.015,16.191,16.729,90787,0
2017-06-09,16.847,17.331,16.65,17.213,162057,0
2017-06-12,17.203,17.558,16.887,17.291,105333,0
2017-06-13,17.39,17.548,17.213,17.4,124016,0
2017-06-14,17.321,17.499,16.975,17.459,168538,0
2017-06-15,17.271,17.538,17.005,17.519,130513,0
2017-06-16,17.094,17.519,17.045,17.223,234826,0
2017-06-19,17.331,17.449,17.079,17.133,104638,0
2017-06-20,17.074,17.094,15.95,16.837,78655,0
2017-06-21,16.857,16.857,16.363,16.423,81274,0
2017-06-22,16.482,17.055,16.285,16.453,52496,0
2017-06-23,16.492,16.502,16.245,16.453,194131,0
2017-06-26,16.463,16.739,16.393,16.423,129369,0
2017-06-27,16.453,16.551,16.285,16.511,103271,0
2017-06-28,16.601,16.778,16.463,16.719,79291,0
2017-06-29,16.778,17.143,16.482,16.769,95764,0
2017-06-30,16.798,16.798,16.423,16.472,90395,0
2017-07-03,16.531,17.055,16.482,16.975,59508,0
2017-07-05,16.995,16.995,16.571,16.788,53411,0
2017-07-06,16.749,16.877,16.601,16.749,98546,0
2017-07-07,16.857,16.975,16.443,16.936,88709,0
2017-07-10,16.817,16.877,16.581,16.611,84793,0
2017-07-11,16.601,16.601,16.295,16.472,57358,0
2017-07-12,16.492,16.877,16.492,16.827,108893,0
2017-07-13,16.759,16.877,16.64,16.837,80335,0
2017-07-14,16.601,16.946,16.383,16.827,106420,0
2017-07-17,16.817,17.065,16.601,16.985,111460,0
2017-07-18,16.827,17.291,16.778,17.025,191013,0
2017-07-19,17.183,17.943,17.183,17.893,310577,0
2017-07-20,17.992,18.199,17.449,17.963,246243,0
2017-07-21,18.091,18.091,17.795,17.933,213878,0
2017-07-24,17.825,18.051,17.657,17.943,133342,0
2017-07-25,18.14,18.259,17.992,18.051,164104,0
2017-07-26,18.131,18.19,17.892,18.032,115902,0
2017-07-27,18.061,18.22,17.922,18.071,104559,0
2017-07-28,18.032,18.081,17.579,18.022,112724,0
2017-07-31,18.061,18.161,17.813,17.972,234466,0
2017-08-01,18.151,18.181,17.913,18.131,87782,0
2017-08-02,18.131,18.141,17.882,18.032,79108,0
2017-08-03,18.061,18.141,17.674,17.724,75620,0
2017-08-04,17.833,17.952,17.724,17.783,88611,0
2017-08-07,17.773,17.773,17.351,17.555,63922,0
2017-08-08,17.495,17.972,17.406,17.584,95846,0
2017-08-09,17.515,17.7,17.247,17.267,89622,0
2017-08-10,17.187,17.366,17.054,17.108,126794,0
2017-08-11,17.237,17.237,16.71,16.849,103814,0
2017-08-14,16.929,17.336,16.929,17.286,115212,0
2017-08-15,17.406,17.406,17.058,17.078,58371,0
2017-08-16,17.187,17.296,17.038,17.118,102008,0
2017-08-17,17.048,17.187,16.73,16.73,102426,0
2017-08-18,16.551,16.899,16.382,16.75,135804,0
2017-08-21,16.611,16.909,16.611,16.869,76512,0
2017-08-22,16.919,17.098,16.819,16.919,44428,0
2017-08-23,16.79,16.998,16.511,16.869,61661,0
2017-08-24,16.959,17.018,16.755,16.988,37438,0
2017-08-25,17.038,17.286,16.929,17.137,42561,0
2017-08-28,17.137,17.316,17.137,17.296,66919,0
2017-08-29,17.247,17.386,17.098,17.217,99804,0
2017-08-30,17.237,17.416,17.187,17.346,76974,0
2017-08-31,17.386,17.525,17.098,17.207,181014,0
2017-09-01,17.227,17.336,17.094,17.237,73186,0
2017-09-05,17.137,17.137,16.68,16.71,79997,0
2017-09-06,16.76,16.869,16.541,16.551,110467,0
2017-09-07,16.591,16.591,16.164,16.253,78014,0
2017-09-08,16.243,16.442,16.239,16.432,146363,0
2017-09-11,16.452,16.879,16.452,16.75,83947,0
2017-09-12,16.8,17.068,16.72,16.8,110756,0
2017-09-13,16.77,16.939,16.7,16.859,140642,0
2017-09-14,16.839,16.949,16.76,16.859,118560,0
2017-09-15,16.879,16.988,16.651,16.849,353154,0
2017-09-18,16.859,17.187,16.859,16.978,144216,0
2017-09-19,16.929,17.098,16.869,16.959,135624,0
2017-09-20,16.889,17.048,16.78,16.978,170590,0
2017-09-21,16.949,17.286,16.909,17.237,135554,0
2017-09-22,17.147,17.525,17.147,17.425,86365,0
2017-09-25,17.386,17.624,17.296,17.346,122262,0
2017-09-26,17.386,17.624,17.296,17.505,118856,0
2017-09-27,17.694,18.121,17.54,18.012,213957,0
2017-09-28,18.041,18.151,17.902,18.131,126407,0
2017-09-29,18.121,18.26,18.012,18.161,365312,0
2017-10-02,18.181,18.538,18.081,18.379,231327,0
2017-10-03,18.379,18.379,18.22,18.27,119048,0
2017-10-04,18.33,18.379,18.131,18.21,106047,0
2017-10-05,18.28,18.379,18.21,18.23,122336,0
2017-10-06,18.3,18.429,18.26,18.339,208803,0
2017-10-09,18.359,18.439,18.22,18.3,137167,0
2017-10-10,18.28,18.379,18.19,18.33,256344,0
2017-10-11,18.33,18.647,18.23,18.528,154212,0
2017-10-12,18.568,18.568,18.399,18.459,99157,0
2017-10-13,18.469,18.479,18.26,18.409,89537,0
2017-10-16,18.498,18.851,18.419,18.558,81383,0
2017-10-17,18.628,18.677,18.32,18.608,379234,0
2017-10-18,18.866,18.866,18.082,18.359,194305,0
2017-10-19,18.31,18.608,18.285,18.429,206185,0
2017-10-20,18.677,18.677,18.22,18.32,174154,0
2017-10-23,18.33,18.419,18.091,18.141,123018,0
2017-10-24,18.151,18.384,17.773,18.181,164001,0
2017-10-25,18.2,18.374,18.061,18.26,99458,0
2017-10-26,18.37,18.47,18.282,18.46,122814,0
2017-10-27,18.5,18.71,18.36,18.71,122558,0
2017-10-30,18.63,18.64,18.15,18.17,105464,0
2017-10-31,18.2,18.48,18.165,18.31,102597,0
2017-11-01,18.44,18.5,18.13,18.24,56452,0
2017-11-02,18.24,18.49,18.04,18.42,95718,0
2017-11-03,18.41,18.41,18.13,18.14,138675,0
2017-11-06,18.08,18.26,18.08,18.12,43714,0
2017-11-07,18.08,18.25,17.53,17.55,86669,0
2017-11-08,17.47,17.47,17.09,17.38,119209,0
2017-11-09,17.3,17.53,17.09,17.4,119085,0
2017-11-10,17.41,17.63,17.35,17.48,120067,0
