Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,8.8513,8.9989,8.5274,8.7725,73383,0
2017-01-04,8.8316,9.0284,8.0637,8.9792,75710,0
2017-01-05,8.93,8.9989,8.6642,8.7135,49554,0
2017-01-06,8.7725,8.7824,8.616,8.7036,43077,0
2017-01-09,8.6543,8.7036,8.3786,8.5461,37140,0
2017-01-10,8.5953,8.802,8.5953,8.7331,100280,0
2017-01-11,8.8118,8.8118,8.5657,8.605,51072,0
2017-01-12,8.5558,8.5953,8.2309,8.3393,49541,0
2017-01-13,8.359,8.4968,8.2507,8.2704,59507,0
2017-01-17,8.2408,8.3197,8.0734,8.0833,57883,0
2017-01-18,8.1522,8.1719,8.0587,8.1522,38582,0
2017-01-19,8.1522,8.1719,7.9651,7.9848,79981,0
2017-01-20,7.9651,8.1129,7.9159,7.9651,59632,0
2017-01-23,7.9947,8.0734,7.8569,8.0045,115914,0
2017-01-24,8.0537,8.1719,7.9455,8.1423,139835,0
2017-01-25,8.3983,8.8414,8.2211,8.7625,160337,0
2017-01-26,8.674,8.7331,8.5558,8.5558,46442,0
2017-01-27,8.4968,8.6247,8.4774,8.5165,42662,0
2017-01-30,8.4771,8.4771,8.1325,8.2015,65840,0
2017-01-31,8.1619,8.418,8.1619,8.3687,100391,0
2017-02-01,8.5461,8.5657,8.3393,8.418,85215,0
2017-02-02,8.418,8.4475,8.3687,8.418,67373,0
2017-02-03,8.5361,8.6936,8.4771,8.5953,79583,0
2017-02-06,8.5165,8.6642,8.4771,8.5953,45097,0
2017-02-07,8.615,8.615,8.5067,8.5757,178080,0
2017-02-08,8.5854,8.5854,8.3879,8.4965,109986,0
2017-02-09,8.5065,8.6151,8.4768,8.5065,54165,0
2017-02-10,8.5262,8.5854,8.4965,8.5557,35827,0
2017-02-13,8.6348,8.6348,8.5262,8.6051,44817,0
2017-02-14,8.5954,8.6843,8.5262,8.5854,80259,0
2017-02-15,8.5657,8.7337,8.5557,8.7337,30630,0
2017-02-16,8.7435,8.8423,8.704,8.7237,49181,0
2017-02-17,8.7237,8.862,8.6546,8.7929,68990,0
2017-02-21,8.7929,8.8818,8.7237,8.862,44810,0
2017-02-22,8.8523,8.8523,8.715,8.7435,38521,0
2017-02-23,8.8126,8.8423,8.6249,8.6645,32420,0
2017-02-24,8.546,8.694,8.546,8.6448,25645,0
2017-02-27,8.6448,8.7831,8.546,8.6151,50206,0
2017-02-28,8.5854,8.6151,8.4965,8.5065,53920,0
2017-03-01,8.694,8.7337,8.546,8.714,75498,0
2017-03-02,8.6843,8.694,8.5757,8.5954,36951,0
2017-03-03,8.5757,8.7237,8.546,8.6051,65594,0
2017-03-06,8.5854,8.5854,8.4965,8.4965,49564,0
2017-03-07,8.5065,8.5557,8.4373,8.4571,96561,0
2017-03-08,8.546,8.546,8.4373,8.4373,55302,0
2017-03-09,8.4471,8.5065,8.4076,8.4076,42994,0
2017-03-10,8.4965,8.4965,8.3285,8.3977,57749,0
2017-03-13,8.3977,8.5262,8.3779,8.4471,63104,0
2017-03-14,8.4965,8.5262,8.3483,8.4471,34535,0
2017-03-15,8.4174,8.4965,8.3483,8.4174,87687,0
2017-03-16,8.4768,8.5557,8.4471,8.536,55689,0
2017-03-17,8.4076,8.6892,8.4076,8.546,145145,0
2017-03-20,8.4965,8.6843,8.4571,8.4571,39615,0
2017-03-21,8.5262,8.5262,8.2099,8.2891,122756,0
2017-03-22,8.2199,8.3879,8.0914,8.131,76492,0
2017-03-23,8.1408,8.3682,8.1064,8.1804,50606,0
2017-03-24,8.2496,8.2496,8.1013,8.1211,44685,0
2017-03-27,8.0519,8.1605,8.0519,8.1113,63007,0
2017-03-28,8.1013,8.3138,8.1013,8.299,38642,0
2017-03-29,8.2496,8.299,8.1655,8.2693,50899,0
2017-03-30,8.2693,8.4373,8.2644,8.3879,124812,0
2017-03-31,8.3779,8.4174,8.2002,8.2396,428940,0
2017-04-03,8.2693,8.299,8.1508,8.1605,65853,0
2017-04-04,8.2891,8.2891,8.0816,8.131,92025,0
2017-04-05,8.1408,8.2396,8.1408,8.1804,162965,0
2017-04-06,8.1408,8.2199,8.0222,8.0914,87193,0
2017-04-07,8.0816,8.1605,8.0519,8.1211,36049,0
2017-04-10,8.0791,8.1902,8.0222,8.0619,26171,0
