Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,20.468,20.682,20.419,20.594,434065,0
2017-01-04,20.526,20.672,20.478,20.556,388925,0
2017-01-05,20.712,20.926,20.667,20.838,408898,0
2017-01-06,20.672,20.692,20.458,20.566,420199,0
2017-01-09,20.662,20.819,20.589,20.614,403923,0
2017-01-10,20.809,20.848,20.639,20.731,1421789,0
2017-01-11,20.331,20.868,20.234,20.858,589640,0
2017-01-12,20.712,20.877,20.478,20.692,770772,0
2017-01-13,20.526,20.584,20.214,20.341,567607,0
2017-01-17,20.077,20.341,19.961,20.204,490531,0
2017-01-18,20.029,20.087,19.825,19.863,469987,0
2017-01-19,20.156,20.312,20.019,20.214,393357,0
2017-01-20,20.614,20.624,20.448,20.575,327203,0
2017-01-23,20.594,20.731,20.453,20.721,206587,0
2017-01-24,20.478,20.653,20.428,20.584,329588,0
2017-01-25,20.644,21.014,20.644,20.965,492354,0
2017-01-26,20.809,20.824,20.682,20.731,349718,0
2017-01-27,20.838,20.848,20.629,20.76,422887,0
2017-01-30,20.78,20.785,20.428,20.506,499086,0
2017-01-31,20.624,20.644,20.292,20.419,492358,0
2017-02-01,20.478,20.546,20.054,20.087,616764,0
2017-02-02,20.292,20.566,20.18,20.331,595170,0
2017-02-03,20.662,20.887,20.536,20.79,510542,0
2017-02-06,20.672,20.79,20.497,20.546,440559,0
2017-02-07,20.584,20.584,20.4,20.468,279988,0
2017-02-08,20.428,20.907,20.37,20.868,395139,0
2017-02-09,20.838,20.965,20.741,20.838,312950,0
2017-02-10,20.858,21.091,20.858,21.053,334925,0
2017-02-13,20.897,21.078,20.692,21.004,343786,0
2017-02-14,21.043,21.143,20.712,21.082,484560,0
2017-02-15,21.443,22.028,21.443,21.93,562733,0
2017-02-16,22.125,22.184,21.667,21.696,449852,0
2017-02-17,21.56,21.638,21.375,21.413,343002,0
2017-02-21,21.443,21.565,21.345,21.462,650880,0
2017-02-22,21.55,21.686,21.521,21.57,476571,0
2017-02-23,21.92,21.92,20.975,21.247,723920,0
2017-02-24,21.033,21.033,20.458,20.478,554830,0
2017-02-27,20.887,21.121,20.39,20.448,379393,0
2017-02-28,20.516,20.575,20.195,20.234,324185,0
2017-03-01,20.185,20.589,20.185,20.263,940065,0
2017-03-02,20.119,20.168,19.852,19.902,737721,0
2017-03-03,20.504,20.554,20.129,20.475,698453,0
2017-03-06,20.771,20.781,20.504,20.514,416651,0
2017-03-07,20.682,20.732,20.524,20.544,571795,0
2017-03-08,20.287,20.381,20.04,20.178,576238,0
2017-03-09,20.327,20.396,19.902,20.129,581790,0
2017-03-10,20.9,21.325,20.83,21.275,909550,0
2017-03-13,21.206,21.512,21.186,21.404,927406,0
2017-03-14,21.285,21.512,21.236,21.325,783177,0
2017-03-15,21.354,21.898,21.295,21.838,613183,0
2017-03-16,21.927,22.095,21.799,21.868,417905,0
2017-03-17,22.026,22.204,21.809,22.105,786250,0
2017-03-20,22.145,22.377,22.135,22.342,564813,0
2017-03-21,22.342,22.382,22.036,22.085,451296,0
2017-03-22,21.977,22.066,21.779,21.917,437222,0
2017-03-23,21.779,22.076,21.7,22.026,444243,0
2017-03-24,22.046,22.372,21.962,22.313,518117,0
2017-03-27,22.313,22.55,22.253,22.491,517994,0
2017-03-28,22.57,22.733,22.402,22.471,403402,0
2017-03-29,22.58,22.935,22.58,22.876,500700,0
2017-03-30,22.886,22.975,22.599,22.629,488549,0
2017-03-31,22.471,22.639,22.283,22.461,708682,0
2017-04-03,22.649,22.807,22.52,22.797,296222,0
2017-04-04,22.668,22.827,22.481,22.797,350994,0
2017-04-05,22.777,22.955,22.51,22.58,434680,0
2017-04-06,22.412,22.649,22.194,22.313,558705,0
2017-04-07,22.54,22.718,22.352,22.412,356791,0
2017-04-10,22.51,22.58,22.273,22.54,396024,0
2017-04-11,22.095,22.135,21.641,22.006,592662,0
2017-04-12,22.125,22.194,21.858,22.105,522424,0
2017-04-13,22.095,22.164,21.908,21.967,777900,0
2017-04-17,22.323,22.678,22.174,22.649,570839,0
2017-04-18,22.708,22.738,22.293,22.342,554237,0
2017-04-19,22.313,22.323,21.848,21.947,396034,0
2017-04-20,22.105,22.214,21.819,21.908,375044,0
2017-04-21,21.927,22.105,21.843,21.858,351263,0
2017-04-24,22.263,22.471,22.164,22.342,461409,0
2017-04-25,22.164,22.501,22.095,22.412,402190,0
2017-04-26,22.115,22.194,21.779,22.085,574957,0
2017-04-27,22.076,22.135,21.581,21.809,435163,0
2017-04-28,21.611,21.957,21.552,21.917,536262,0
2017-05-01,21.987,22.085,21.898,21.987,330116,0
2017-05-02,22.244,22.678,22.164,22.56,1551843,0
2017-05-03,22.441,22.609,22.164,22.402,1658488,0
2017-05-04,22.441,22.916,22.352,22.886,1048192,0
2017-05-05,22.925,22.985,22.817,22.965,707551,0
2017-05-08,22.945,22.975,22.619,22.767,369585,0
2017-05-09,22.916,23.103,22.827,22.935,527368,0
2017-05-10,23.222,23.578,23.222,23.548,578557,0
2017-05-11,23.538,23.548,23.281,23.508,417329,0
2017-05-12,23.667,24.086,23.597,23.963,649798,0
2017-05-15,23.973,24.156,23.933,24.052,416034,0
2017-05-16,24.24,24.487,24.2,24.447,442271,0
2017-05-17,24.259,24.338,23.607,23.676,515501,0
2017-05-18,22.609,23.222,20.662,21.048,2701273,0
2017-05-19,21.265,22.293,21.196,22.125,1367288,0
2017-05-22,21.759,22.174,21.532,22.066,742582,0
2017-05-23,22.095,22.688,22.095,22.56,617111,0
2017-05-24,22.738,22.856,22.51,22.58,425180,0
2017-05-25,22.58,22.708,22.392,22.659,378178,0
2017-05-26,22.807,23.123,22.698,23.044,583120,0
2017-05-30,22.846,22.955,22.708,22.846,257464,0
2017-05-31,22.945,23.113,22.678,22.787,852867,0
2017-06-01,23.103,23.489,23.004,23.242,543985,0
2017-06-02,23.528,23.746,23.419,23.657,628321,0
2017-06-05,23.36,23.568,23.291,23.449,601152,0
2017-06-06,23.459,23.933,23.419,23.874,434252,0
2017-06-07,23.746,23.884,23.696,23.874,397967,0
2017-06-08,23.578,23.973,23.479,23.953,369157,0
2017-06-09,23.923,23.983,23.39,23.469,573121,0
2017-06-12,23.331,23.429,22.955,23.103,541832,0
2017-06-13,23.222,23.331,22.935,23.311,326793,0
2017-06-14,23.508,23.637,22.856,23.083,649725,0
2017-06-15,22.649,22.995,22.451,22.975,476463,0
2017-06-16,23.064,23.281,23.004,23.212,812417,0
2017-06-19,23.113,23.35,22.99,23.271,396268,0
2017-06-20,23.083,23.113,22.57,22.639,415466,0
2017-06-21,22.688,22.777,22.402,22.491,364342,0
2017-06-22,22.51,22.639,22.293,22.639,435595,0
2017-06-23,22.461,22.58,22.332,22.421,590265,0
2017-06-26,22.777,23.054,22.767,23.004,401893,0
2017-06-27,22.836,22.945,22.668,22.827,433056,0
2017-06-28,22.846,22.886,22.599,22.817,717697,0
2017-06-29,22.846,22.906,22.58,22.708,724464,0
2017-06-30,22.906,23.37,22.906,23.251,433073,0
2017-07-03,23.35,23.469,23.222,23.261,153296,0
2017-07-05,23.083,23.38,22.906,23.36,565675,0
2017-07-06,23.291,23.301,22.866,22.955,398870,0
2017-07-07,23.202,23.271,22.728,23.054,470577,0
2017-07-10,23.251,23.36,22.995,23.113,276347,0
2017-07-11,23.093,23.429,23.064,23.301,455022,0
2017-07-12,23.508,24.022,23.439,23.914,658225,0
2017-07-13,24.022,24.121,23.83,24.012,396293,0
2017-07-14,24.161,24.408,24.161,24.319,324795,0
2017-07-17,23.923,23.933,23.528,23.548,404048,0
2017-07-18,23.627,23.627,23.044,23.143,677244,0
2017-07-19,23.182,23.212,22.925,23.212,441323,0
2017-07-20,23.528,23.711,23.41,23.647,448571,0
2017-07-21,23.676,23.716,23.479,23.548,178759,0
2017-07-24,23.597,23.617,23.321,23.439,242751,0
2017-07-25,23.667,23.667,23.074,23.232,365553,0
2017-07-26,23.192,23.242,22.688,22.925,720275,0
2017-07-27,23.133,23.242,23.004,23.133,453360,0
2017-07-28,23.123,23.271,23.044,23.251,311060,0
2017-07-31,23.321,23.41,23.192,23.39,428202,0
2017-08-01,23.34,23.622,23.311,23.617,809931,0
2017-08-02,23.627,24.497,22.481,22.5,2032824,0
2017-08-03,22.738,22.906,22.5,22.896,1682108,0
2017-08-04,22.925,23.034,22.609,22.639,220402,0
2017-08-07,22.678,22.757,22.56,22.718,275554,0
2017-08-08,22.619,22.718,22.412,22.58,427852,0
2017-08-09,22.253,22.372,22.164,22.362,333296,0
2017-08-10,21.166,21.908,20.959,21.601,1193717,0
2017-08-11,21.344,22.174,21.196,22.056,682201,0
2017-08-14,21.987,22.619,21.987,22.293,1064644,0
2017-08-15,22.332,22.451,22.253,22.342,600891,0
2017-08-16,22.313,22.639,22.125,22.54,595255,0
2017-08-17,22.23,22.38,22.03,22.11,912473,0
2017-08-18,22.2,22.41,22.145,22.26,609479,0
2017-08-21,22.26,22.39,22.155,22.21,824931,0
2017-08-22,22.52,22.93,22.49,22.54,563982,0
2017-08-23,22.58,22.855,22.39,22.83,395458,0
2017-08-24,22.96,23.49,22.96,23.28,674330,0
2017-08-25,23.38,23.49,23,23.08,387473,0
2017-08-28,23.2,23.525,23.16,23.29,334147,0
2017-08-29,23.04,23.31,22.99,23.24,342918,0
2017-08-30,23.18,23.45,23.08,23.28,618015,0
2017-08-31,23.38,23.43,23.18,23.28,628011,0
2017-09-01,23.6,23.68,23.35,23.48,687655,0
2017-09-05,23.9,23.93,23.3,23.34,564018,0
2017-09-06,23.67,23.77,23.43,23.73,330532,0
2017-09-07,23.83,24.04,23.83,23.97,256170,0
2017-09-08,23.94,24.18,23.94,23.99,301065,0
2017-09-11,24.25,24.34,23.97,24.09,380637,0
2017-09-12,23.96,24.54,23.92,24.25,546369,0
2017-09-13,24.24,24.71,24.13,24.47,457966,0
2017-09-14,24.34,24.77,24.23,24.76,407991,0
