Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,102.73,103.51,100.35,100.8,3889777,0
2017-01-04,101.17,102.56,100.79,101.4,3731020,0
2017-01-05,101.3,101.61,99.52,100.41,4251956,0
2017-01-06,100.31,102.02,99.51,101.44,3928543,0
2017-01-09,101.98,101.99,100.18,100.7,3019684,0
2017-01-10,100.84,102.49,100.19,101.67,3624123,0
2017-01-11,101.6,103.08,101.3,102.52,2913829,0
2017-01-12,102.52,103.18,101.6,102.95,2438010,0
2017-01-13,102.76,103.67,102.53,103.47,2790482,0
2017-01-17,102.95,103.07,101.13,101.62,3459977,0
2017-01-18,100.54,102.62,99.81,102.02,5454226,0
2017-01-19,106.4,107.14,103.66,104.46,10276826,0
2017-01-20,105.02,106.8,104.82,106.76,6550011,0
2017-01-23,106.8,106.8,105.12,106.18,3999471,0
2017-01-24,106.34,107.41,105.79,106.88,4642166,0
2017-01-25,107.45,109.13,107.17,108.55,5225879,0
2017-01-26,108.39,109.51,107.64,108.3,4686073,0
2017-01-27,108.48,108.49,106.33,107.36,3616270,0
2017-01-30,107.1,107.12,104.56,106.19,5425545,0
2017-01-31,106.32,106.74,104.44,104.8,4612263,0
2017-02-01,105.23,106.26,104.62,105.89,4449423,0
2017-02-02,105.39,105.77,104.12,105.49,4298233,0
2017-02-03,105.67,107,105.54,106.67,3305244,0
2017-02-06,106.55,106.85,105.77,105.88,2907016,0
2017-02-07,106.38,106.92,105.54,105.84,3553213,0
2017-02-08,105.71,106.11,104.49,105.53,3968152,0
2017-02-09,105.77,106.07,105.31,105.61,3665604,0
2017-02-10,106.07,106.66,105.9,106.06,2825485,0
2017-02-13,106.28,107.46,106.08,106.51,2685737,0
2017-02-14,106.26,107.32,105.93,107.32,2939962,0
2017-02-15,106.69,108.15,106.36,107.94,3410338,0
2017-02-16,107.64,108.16,106.67,107.55,2859263,0
2017-02-17,107.59,107.98,106.15,107.98,4319140,0
2017-02-21,108.16,108.95,107.51,107.83,4241160,0
2017-02-22,107.34,107.6,106.14,107.03,4278111,0
2017-02-23,107.3,107.66,104.48,104.89,4957804,0
2017-02-24,104.43,106.55,103.99,106.54,4685078,0
2017-02-27,106.61,106.78,105.28,106.3,3325775,0
2017-02-28,106.33,106.86,105.89,106.72,3799182,0
2017-03-01,107.82,109.41,107.82,108.87,4111078,0
2017-03-02,108.81,109,107.69,107.83,2771028,0
2017-03-03,107.86,108.06,107.02,107.8,2331067,0
2017-03-06,107.54,108.41,107.28,108.21,3023057,0
2017-03-07,107.88,108.29,106.94,107.14,3368976,0
2017-03-08,107.14,107.24,105.22,105.51,3499913,0
2017-03-09,105.61,105.94,104.56,104.98,4178108,0
2017-03-10,105.69,105.79,104.54,105.08,3353794,0
2017-03-13,105.16,105.59,104.77,105.25,3554646,0
2017-03-14,104.77,105.08,103.14,103.19,4352615,0
2017-03-15,103.41,104.94,102.94,104.4,3535759,0
2017-03-16,104.32,105.12,103.82,104.27,3686656,0
2017-03-17,104.25,104.86,103.92,104.81,11524699,0
2017-03-20,104.57,104.8,103.82,103.9,3483982,0
2017-03-21,104.26,104.43,102.04,102.49,3890470,0
2017-03-22,102.39,103.32,101.91,102.9,4147741,0
2017-03-23,102.83,103.96,102.44,102.71,2617032,0
2017-03-24,102.83,103.43,102.28,102.8,2765695,0
2017-03-27,101.74,103.34,101.27,102.86,3855252,0
2017-03-28,102.89,104.71,102.67,104.32,4285201,0
2017-03-29,103.63,104.97,103.23,104.4,2937933,0
2017-03-30,104.56,106.25,104.14,105.74,2994649,0
2017-03-31,105.78,105.89,104.72,104.74,2921081,0
2017-04-03,104.96,105.58,103.9,104.32,2921781,0
2017-04-04,104.53,106.04,103.95,106,3484521,0
2017-04-05,106.73,108.31,105.37,105.56,2971464,0
2017-04-06,103.61,106.19,103.59,105.87,4607845,0
2017-04-07,106.13,106.57,105.37,105.83,2229983,0
2017-04-10,106.37,107.17,106.25,106.42,2661581,0
2017-04-11,106.01,106.56,105.06,106.41,2324900,0
2017-04-12,106.86,106.91,104.3,104.39,3080672,0
2017-04-13,104.32,104.88,103.6,103.6,2399669,0
2017-04-17,103.72,104.82,102.96,104.8,2805396,0
2017-04-18,104.3,105.48,104.01,105.04,2798444,0
2017-04-19,105.59,106.57,105.07,105.59,3382299,0
2017-04-20,106.95,108.13,106.66,106.68,4245204,0
2017-04-21,106.98,107.56,106.43,107.06,3176115,0
2017-04-24,108.28,108.74,107.94,108.11,3253965,0
2017-04-25,108.11,109.51,107.84,109.24,4035960,0
2017-04-26,109.31,110.7,108.59,108.93,6373483,0
2017-04-27,110.76,113.85,110.63,112.25,5215128,0
2017-04-28,112.25,112.67,110.06,110.7,3595022,0
2017-05-01,111.17,111.42,110.34,110.34,2921066,0
2017-05-02,110.49,111.02,109.7,109.85,3863627,0
2017-05-03,109.42,109.97,109.1,109.64,2720719,0
2017-05-04,109.97,110.34,108.88,109.09,2654668,0
2017-05-05,109.35,109.51,108.88,109.48,3113817,0
2017-05-08,109.15,109.55,108.51,108.78,3465019,0
2017-05-09,108.62,109.38,108.29,108.72,2451135,0
2017-05-10,108.88,108.88,107.75,108.1,3591523,0
2017-05-11,107.77,109.38,107.52,108.86,3881256,0
2017-05-12,108.42,109.55,108.42,109.24,3650860,0
2017-05-15,109.32,110.27,109.26,110.03,2378204,0
2017-05-16,110.46,110.57,109.36,109.76,2597007,0
2017-05-17,108.78,108.99,105.18,105.36,4495382,0
2017-05-18,104.93,107.4,104.32,105.94,4695018,0
2017-05-19,106.2,106.91,105.64,105.85,3626348,0
2017-05-22,106.33,106.88,105.61,106.62,3058058,0
2017-05-23,106.74,107.23,106.09,106.78,2763579,0
2017-05-24,106.68,107.42,106.24,106.83,3005326,0
2017-05-25,107.4,108.72,106.96,108.46,3913744,0
2017-05-26,108.19,110.11,107.92,109.94,3910444,0
2017-05-30,109.44,110.4,109.17,110.17,2975224,0
2017-05-31,110.34,110.36,108.73,109.67,5024687,0
2017-06-01,109.95,110.55,109.36,109.96,2799531,0
2017-06-02,110.25,111.62,109.62,110.56,3423007,0
2017-06-05,110.76,110.83,109.4,109.56,2841337,0
2017-06-06,109.06,109.49,108.28,108.33,2939327,0
2017-06-07,108.57,108.85,107.86,108.48,2551938,0
2017-06-08,108.56,109.39,108.14,109.21,3171972,0
2017-06-09,109.37,109.66,107.89,109.12,2510503,0
2017-06-12,109.1,109.61,108.66,109.5,3560844,0
2017-06-13,109.56,111.02,109.37,110.9,2395722,0
2017-06-14,111.06,111.07,108.72,109.17,3050913,0
2017-06-15,108.4,110.17,108.2,110.03,2843162,0
2017-06-16,110.22,110.74,109.31,110.74,4117177,0
2017-06-19,111.06,111.47,110.12,111.19,3253632,0
2017-06-20,110.61,110.89,107.65,107.73,4432335,0
2017-06-21,107.9,107.92,106.96,107,3745128,0
2017-06-22,107.28,107.28,105.98,106.77,3041871,0
2017-06-23,106.57,108.41,106.2,107.48,14196930,0
2017-06-26,107.81,108.51,106.85,107.41,2954585,0
2017-06-27,107.52,107.78,106.71,106.73,3191804,0
2017-06-28,107.66,108.33,107.08,108.15,3589203,0
2017-06-29,108.53,108.71,107.19,107.27,2414591,0
2017-06-30,107.58,108.92,107.24,108.28,3499283,0
2017-07-03,108.39,109.74,108.39,109.41,1817052,0
2017-07-05,109.5,109.51,107.62,107.63,2678996,0
2017-07-06,107.13,107.84,106.71,107.14,2998485,0
2017-07-07,107.27,107.94,106.23,107.73,2747095,0
2017-07-10,107.38,108.85,107.23,107.88,3487087,0
2017-07-11,108.09,108.41,107.08,107.97,2370483,0
2017-07-12,108.43,109.59,108.23,108.58,2504539,0
2017-07-13,108.61,108.93,107.77,108.23,2167580,0
2017-07-14,108.51,109.09,108.11,108.9,2118826,0
2017-07-17,108.76,108.81,108.04,108.42,2440464,0
2017-07-18,108.36,108.94,107.9,108.62,2363075,0
2017-07-19,107.59,108.34,106.25,107.22,4141608,0
2017-07-20,108.15,108.42,103.67,105.53,6786213,0
2017-07-21,104.49,105.14,104.1,104.25,5594670,0
2017-07-24,104.16,104.82,103.06,103.07,5306993,0
2017-07-25,103.69,104.74,103.1,104.36,3945845,0
2017-07-26,104.49,104.67,103.27,103.82,3281119,0
2017-07-27,103.37,103.39,100.48,100.82,6410988,0
2017-07-28,100.83,102.8,100.83,102.71,4496851,0
2017-07-31,102.87,103.37,102.32,102.37,4288664,0
2017-08-01,102.37,102.4,101.15,101.39,4403338,0
2017-08-02,101.25,102.16,101.14,101.74,4496425,0
2017-08-03,101.98,102.44,101.68,101.96,4777619,0
2017-08-04,102.1,102.83,101.41,101.89,4166513,0
2017-08-07,101.76,102.15,101.41,101.98,2558049,0
2017-08-08,101.61,103.72,101.32,102.47,3299692,0
2017-08-09,102.04,103.22,101.92,103.17,3081453,0
2017-08-10,102.81,103.84,102.05,102.1,3454600,0
2017-08-11,102.62,103.99,102.31,102.98,3360207,0
2017-08-14,103.71,104.57,103.6,104.13,3208167,0
2017-08-15,104.35,104.37,103.71,104.25,2667575,0
2017-08-16,104.51,105.52,104.12,105.24,2932313,0
2017-08-17,104.77,105.03,102.57,102.59,3228489,0
2017-08-18,102.77,104.01,102.28,103.3,3205002,0
2017-08-21,103.43,103.85,102.78,103.71,2267863,0
2017-08-22,104.16,105.84,104.16,105.6,3010923,0
2017-08-23,105.17,105.77,104.31,104.44,2860404,0
2017-08-24,104.79,104.89,103.83,103.97,2784722,0
2017-08-25,104.7,105.64,104.53,104.65,2487544,0
2017-08-28,104.8,105.04,103.72,103.95,2780218,0
2017-08-29,103.77,105.214,103.41,104.97,3191604,0
2017-08-30,105,105.58,104.79,104.94,2593256,0
2017-08-31,105.31,105.79,104.84,105.3,2744371,0
2017-09-01,105.64,106.27,104.78,105.47,2347736,0
2017-09-05,105.09,105.35,103.85,104.1,2598741,0
2017-09-06,104.65,106.273,104.51,105.01,4183836,0
2017-09-07,105.21,105.74,104.8,105.49,3622892,0
2017-09-08,105.64,107.29,104.97,107.21,3228219,0
2017-09-11,107.3,108.11,107.2,108.1,3818035,0
2017-09-12,107.91,108.94,107.775,108.48,2322913,0
2017-09-13,108.22,108.69,107.89,108.66,2106080,0
2017-09-14,108.68,110.87,108.31,110.86,4272274,0
2017-09-15,111.8,113.4,111.11,113.4,8253245,0
2017-09-18,113.2,113.28,111.93,112.03,3669296,0
2017-09-19,112.39,113.18,112.11,113,4168929,0
2017-09-20,113,115.03,112.81,115,3958813,0
2017-09-21,114.99,115.68,113.75,115.44,2966462,0
2017-09-22,115.2,115.575,114.65,115.34,2189803,0
2017-09-25,115.45,115.96,114.73,115.79,2782976,0
2017-09-26,115.9,115.9,115.09,115.43,2971831,0
2017-09-27,115.72,116.74,114.946,116.64,2614637,0
2017-09-28,116.29,116.93,115.9,115.97,1982797,0
2017-09-29,115.92,116.26,115.63,115.97,2290510,0
2017-10-02,115.38,115.55,114.33,115.26,3086871,0
2017-10-03,115.02,115.22,114.37,114.89,2781874,0
2017-10-04,114.15,114.46,113.375,113.77,3229398,0
2017-10-05,113.57,114.07,112.88,114.02,2811478,0
2017-10-06,113.94,114.72,113.04,113.95,2196139,0
2017-10-09,113.67,114,113.37,113.88,1740518,0
2017-10-10,114,114.305,112.49,112.63,2770912,0
2017-10-11,112.69,113.22,112.56,113.05,2854389,0
2017-10-12,113.16,113.98,112.95,113.69,2511324,0
2017-10-13,114.35,114.74,112.17,112.28,2079682,0
2017-10-16,112.52,112.69,111.76,112.09,2308989,0
2017-10-17,109.34,111.63,108.714,110.57,3896014,0
2017-10-18,110.79,111.375,110.32,110.38,4151017,0
2017-10-19,110.03,112.11,109.375,112.01,4032213,0
2017-10-20,112.95,113.29,112.28,112.99,4980023,0
2017-10-23,113,113.6,112.24,113.19,3058982,0
2017-10-24,113.42,114.26,112.68,112.9,3951797,0
2017-10-25,113.08,113.49,109.83,110.27,6487136,0
2017-10-26,111.72,116.8,110.82,116.47,6288379,0
2017-10-27,116.5,119.71,116.475,117.08,7139258,0
2017-10-30,116.96,117.98,116.3,116.37,3461302,0
2017-10-31,116.86,116.875,115.341,115.79,2981317,0
2017-11-01,116.59,117.24,116.09,117,2787083,0
2017-11-02,116.47,118.7,116.35,118.39,2913912,0
2017-11-03,118.23,118.3,116.75,117.18,1935969,0
2017-11-06,117.34,117.7,116.49,117.33,1682886,0
2017-11-07,117.05,117.36,116.91,117.04,1732852,0
2017-11-08,116.62,118.17,116.05,117.8,3226113,0
2017-11-09,116.92,117.79,116.5,117.07,2335004,0
2017-11-10,116.75,117.3,116.34,116.7,1840123,0
