Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,27.72,28.7352,26.34,27.66,1085735,0
2017-01-04,27.72,29.28,27.49,29.25,867127,0
2017-01-05,29.38,30.06,28.6,29.94,737916,0
2017-01-06,29.61,30.629,28.66,30.25,740535,0
2017-01-09,29.17,29.41,27.18,27.45,931403,0
2017-01-10,27.6,28.03,26.81,27.29,754504,0
2017-01-11,27.38,27.96,26.89,27.55,706008,0
2017-01-12,28.19,28.32,26.48,26.87,509615,0
2017-01-13,26.51,27.1,26.34,26.54,467556,0
2017-01-17,27.02,27.21,26.525,26.88,707464,0
2017-01-18,26.18,26.31,25.092,25.6,832549,0
2017-01-19,25.64,27.3299,25.56,26.77,739464,0
2017-01-20,27.32,27.86,26.76,27.65,610711,0
2017-01-23,27,27.38,26.19,26.56,390637,0
2017-01-24,26.79,27.7594,26.57,27.46,327393,0
2017-01-25,27.53,28.34,27.07,28.04,360688,0
2017-01-26,28.27,28.47,27.58,27.79,504747,0
2017-01-27,27.39,27.5,26.66,27.34,488220,0
2017-01-30,26.63,26.67,25.14,25.72,691919,0
2017-01-31,25.82,26.08,25.11,26,592621,0
2017-02-01,26.475,26.98,25.28,25.91,512300,0
2017-02-02,26.06,26.1,25.33,25.78,365028,0
2017-02-03,25.93,27.48,25.77,27.43,470840,0
2017-02-06,27.53,27.7,25.86,26.3,430725,0
2017-02-07,26.07,26.51,25.14,25.59,554030,0
2017-02-08,24.89,25.77,23.91,25.51,544116,0
2017-02-09,26,26.5,25.62,26.23,548738,0
2017-02-10,26.91,27.66,26.621,27.36,552905,0
2017-02-13,27.02,27.78,26.76,27.4,431851,0
2017-02-14,27.48,28.48,27.2,28.43,433401,0
2017-02-15,28.08,28.37,27.54,27.6,636856,0
2017-02-16,27.63,27.68,26.14,26.64,552358,0
2017-02-17,26.36,26.79,25.82,26.09,369103,0
2017-02-21,26.68,26.93,26.21,26.32,584083,0
2017-02-22,25.95,26.04,25.21,25.38,671357,0
2017-02-23,26.08,28.04,25.86,27.07,1034238,0
2017-02-24,26.83,27.33,25.965,26.09,525300,0
2017-02-27,26.27,27.1,25.74,26.89,536413,0
2017-02-28,26.47,27.37,26.39,27.14,581096,0
2017-03-01,28,28.44,27.57,27.59,938395,0
2017-03-02,27.13,27.48,25.4,25.42,690678,0
2017-03-03,25.45,25.96,24.95,25.21,788522,0
2017-03-06,25.14,25.555,24.81,25.49,546923,0
2017-03-07,25.63,25.85,24.99,25.27,640013,0
2017-03-08,25.03,25.52,22.69,22.91,841081,0
2017-03-09,22.24,22.97,21.225,22.15,1011428,0
2017-03-10,22.54,22.9,21.55,22.15,672184,0
2017-03-13,22,22.77,22,22.26,370411,0
2017-03-14,21.71,21.73,19.515,20.73,1135933,0
2017-03-15,21.31,22.13,20.74,21.99,802082,0
2017-03-16,22.17,23.164,21.81,22.43,1264197,0
2017-03-17,22.52,22.7582,22.09,22.21,1335438,0
2017-03-20,21.82,22.68,21.51,22.55,668801,0
2017-03-21,22.74,22.74,21.61,21.67,691941,0
2017-03-22,21.33,22.22,21.08,22.06,747448,0
2017-03-23,21.78,22.3,21.59,22.06,518961,0
2017-03-24,22.24,22.566,22.03,22.18,465675,0
2017-03-27,21.55,21.91,21.08,21.77,431955,0
2017-03-28,21.97,22.615,21.53,22.37,514524,0
2017-03-29,22.29,23.51,22.04,23.27,467125,0
2017-03-30,23.55,24,23.27,23.55,628752,0
2017-03-31,23.45,24.3246,23.34,24.16,657993,0
2017-04-03,24.18,24.37,22.74,23.29,703030,0
2017-04-04,23.29,23.9862,22.73,23.95,698285,0
2017-04-05,24.38,25.12,23.27,23.4,844597,0
2017-04-06,23.75,24.16,23.47,23.98,476990,0
2017-04-07,23.96,24.21,23.7201,23.88,749479,0
2017-04-10,24.17,24.4,23.84,24.22,804746,0
2017-04-11,24.2,24.38,23.75,24.26,1174883,0
2017-04-12,24.2,24.32,23.08,23.17,657146,0
2017-04-13,23.23,23.795,22.61,22.75,764440,0
2017-04-17,22.82,22.93,22.26,22.64,660964,0
2017-04-18,22.33,22.83,21.805,21.89,455504,0
2017-04-19,22.03,22.19,20.8,20.94,592464,0
2017-04-20,21.1,21.21,20.76,20.9,356377,0
2017-04-21,20.73,21.31,20.56,21.24,531443,0
2017-04-24,21.73,21.96,21.25,21.5,678656,0
2017-04-25,21.76,22.64,21.42,22.57,517445,0
2017-04-26,22.29,23.42,22.28,22.76,681508,0
2017-04-27,22.01,22.05,20.71,21.4,675262,0
2017-04-28,21.76,22.13,21.17,21.49,593395,0
