Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,15.593,15.94,15.446,15.496,32409,0
2017-01-04,15.593,15.89,15.446,15.496,10888,0
2017-01-05,15.545,16.188,15.199,16.188,13625,0
2017-01-06,16.09,16.188,15.793,15.94,7224,0
2017-01-09,15.873,15.94,15.793,15.843,3865,0
2017-01-10,15.89,16.139,15.89,16.139,1169,0
2017-01-11,15.99,15.99,15.793,15.843,5395,0
2017-01-12,15.793,15.843,15.204,15.593,5132,0
2017-01-13,15.232,15.743,15.232,15.643,4206,0
2017-01-17,15.248,15.593,15.248,15.593,7324,0
2017-01-18,15.545,15.693,15.396,15.396,8622,0
2017-01-19,15.396,16.139,15.396,15.99,9389,0
2017-01-20,16.188,16.188,16.09,16.139,695,0
2017-01-23,16.139,16.683,15.346,16.387,32635,0
2017-01-24,16.387,16.387,16.287,16.337,4420,0
2017-01-25,15.89,16.387,15.643,16.188,5265,0
2017-01-26,16.387,16.728,16.242,16.436,7098,0
2017-01-27,16.436,16.436,16.272,16.436,2219,0
2017-01-30,16.436,16.436,16.139,16.337,6185,0
2017-01-31,16.262,16.337,16.188,16.287,11168,0
2017-02-01,16.683,16.683,16.337,16.535,17102,0
2017-02-02,16.634,17.082,16.535,16.634,14723,0
2017-02-03,16.584,16.782,16.337,16.485,8754,0
2017-02-06,16.535,17.327,16.535,17.228,12726,0
2017-02-07,17.327,17.822,17.277,17.327,13289,0
2017-02-08,17.327,17.475,17.129,17.228,15200,0
2017-02-09,17.426,17.426,16.832,17.08,5677,0
2017-02-10,17.674,17.722,16.272,17.08,4978,0
2017-02-13,17.624,17.624,16.882,17.03,5421,0
2017-02-14,17.327,17.327,16.778,16.98,110306,0
2017-02-15,16.93,17.228,16.337,16.733,38042,0
2017-02-16,16.683,16.837,16.237,16.584,15816,0
2017-02-17,16.782,16.882,16.666,16.832,6140,0
2017-02-21,16.907,16.98,16.237,16.387,9731,0
2017-02-22,16.337,16.832,16.287,16.782,5924,0
2017-02-23,16.822,16.822,16.683,16.683,4071,0
2017-02-24,16.733,16.832,16.706,16.832,4128,0
2017-02-27,16.782,16.93,16.733,16.832,11927,0
2017-02-28,16.93,16.93,16.634,16.733,3600,0
2017-03-01,16.832,17.03,16.584,16.782,74191,0
2017-03-02,16.584,16.733,16.535,16.584,3521,0
2017-03-03,16.579,17.08,16.436,17.03,8765,0
2017-03-06,16.733,17.277,16.593,17.277,4916,0
2017-03-07,17.142,17.426,17.08,17.228,9732,0
2017-03-08,17.228,17.341,16.937,17.08,9387,0
2017-03-09,17.228,17.575,17.129,17.228,9402,0
2017-03-10,17.327,17.327,17.228,17.228,6439,0
2017-03-13,17.277,17.377,16.93,17.179,14811,0
2017-03-14,17.129,17.377,17.08,17.08,69068,0
2017-03-15,17.129,17.228,16.682,16.682,17437,0
2017-03-16,16.881,16.93,16.732,16.881,7605,0
2017-03-17,16.881,17.03,16.285,16.285,50137,0
2017-03-20,16.533,16.682,16.483,16.682,8416,0
2017-03-21,16.444,16.682,15.887,16.037,16976,0
2017-03-22,16.087,16.087,15.391,15.541,14775,0
2017-03-23,15.589,16.003,15.491,15.689,3702,0
2017-03-24,16.483,16.483,16.235,16.235,3223,0
2017-03-27,16.732,16.881,16.434,16.881,5537,0
2017-03-28,16.707,16.93,16.682,16.781,212774,0
2017-03-29,16.732,16.881,16.434,16.781,15441,0
2017-03-30,16.781,16.881,16.385,16.583,19670,0
2017-03-31,16.831,16.881,16.633,16.831,6912,0
2017-04-03,16.633,16.831,16.434,16.434,12214,0
2017-04-04,16.583,16.781,16.518,16.682,5741,0
2017-04-05,16.677,16.781,16.136,16.185,10851,0
2017-04-06,16.185,16.285,16.087,16.285,2221,0
2017-04-07,16.335,16.633,16.335,16.633,2916,0
2017-04-10,16.633,16.732,16.483,16.633,11937,0
2017-04-11,16.533,16.732,16.497,16.682,22835,0
2017-04-12,16.732,16.732,16.633,16.732,2142,0
2017-04-13,16.633,16.732,16.633,16.682,15187,0
2017-04-17,16.633,16.633,16.533,16.633,4453,0
2017-04-18,16.668,16.682,16.335,16.434,7986,0
2017-04-19,16.633,16.633,16.285,16.385,4142,0
2017-04-20,16.385,16.385,16.235,16.285,8028,0
2017-04-21,16.285,16.385,16.235,16.285,6736,0
2017-04-24,16.285,16.633,16.285,16.533,20435,0
2017-04-25,16.682,16.781,16.483,16.732,23169,0
2017-04-26,16.93,16.93,16.682,16.682,6987,0
2017-04-27,16.664,16.781,16.483,16.483,4066,0
2017-04-28,16.533,16.633,16.136,16.235,4624,0
2017-05-01,16.082,16.285,15.739,16.136,11555,0
2017-05-02,15.987,16.161,15.937,16.037,9595,0
2017-05-03,16.037,16.037,15.789,15.987,5417,0
2017-05-04,16.201,16.235,16.037,16.136,11053,0
2017-05-05,16.235,16.434,16.136,16.385,10936,0
2017-05-08,16.235,16.385,16.235,16.335,6784,0
2017-05-09,16.434,16.457,16.285,16.335,6000,0
2017-05-10,16.533,16.583,16.385,16.533,3890,0
2017-05-11,16.483,16.483,16.185,16.185,11511,0
2017-05-12,16.235,16.235,15.887,16.136,22419,0
2017-05-15,16.235,16.235,16.136,16.185,1810,0
2017-05-16,16.285,16.434,16.235,16.385,5894,0
2017-05-17,16.335,16.335,15.942,16.235,9437,0
2017-05-18,16.18,16.185,16.097,16.112,5125,0
2017-05-19,16.35,16.35,16.037,16.235,6701,0
2017-05-22,16.185,16.285,15.987,16.136,6271,0
2017-05-23,15.942,16.285,15.942,16.136,10080,0
2017-05-24,16.285,16.285,15.987,15.987,6184,0
2017-05-25,16.037,16.067,15.937,16.037,4630,0
2017-05-26,16.136,16.235,15.937,16.087,4556,0
2017-05-30,16.185,16.235,15.937,16.087,5202,0
2017-05-31,15.942,15.987,15.341,15.839,8785,0
2017-06-01,15.839,16.185,15.739,16.037,13210,0
2017-06-02,16.185,16.185,15.937,16.037,12792,0
2017-06-05,15.292,16.185,15.243,16.136,26320,0
2017-06-06,15.987,16.136,15.391,15.689,18313,0
2017-06-07,16.037,16.136,15.839,16.037,10352,0
2017-06-08,16.235,16.235,15.962,16.087,12031,0
2017-06-09,16.037,16.385,16.037,16.335,8092,0
2017-06-12,16.012,16.185,15.937,15.987,15682,0
2017-06-13,16.097,16.346,15.997,16.196,15628,0
2017-06-14,16.246,16.346,16.196,16.196,14560,0
2017-06-15,16.296,16.396,16.246,16.396,19407,0
2017-06-16,16.396,16.495,16.296,16.296,8945,0
2017-06-19,16.545,16.545,16.421,16.495,116044,0
2017-06-20,16.545,16.645,16.52,16.595,11633,0
2017-06-21,16.645,16.695,16.545,16.545,14792,0
2017-06-22,16.645,16.645,16.495,16.495,26015,0
2017-06-23,16.495,16.645,16.396,16.595,832273,0
2017-06-26,16.545,16.745,16.545,16.595,28561,0
2017-06-27,16.595,16.994,16.595,16.894,45614,0
2017-06-28,16.894,16.944,16.745,16.944,13622,0
2017-06-29,16.944,16.944,16.844,16.944,12773,0
2017-06-30,16.944,17.193,16.944,17.093,6632,0
2017-07-03,17.288,17.343,17.193,17.343,9610,0
2017-07-05,17.891,17.891,17.343,17.392,16415,0
2017-07-06,17.392,17.442,17.343,17.417,16281,0
2017-07-07,17.442,17.442,17.442,17.442,5184,0
2017-07-10,17.442,17.791,17.343,17.691,20841,0
2017-07-11,17.741,17.891,17.741,17.841,21248,0
2017-07-12,17.941,18.04,17.888,18.04,10227,0
2017-07-13,18.04,18.24,17.99,18.24,9546,0
2017-07-14,18.24,18.24,17.891,17.99,7150,0
2017-07-17,17.891,17.941,17.741,17.941,8018,0
2017-07-18,17.791,17.941,17.791,17.891,3366,0
2017-07-19,18.09,18.14,17.941,18.04,10669,0
2017-07-20,17.99,17.99,17.841,17.891,7645,0
2017-07-21,17.941,17.941,17.741,17.841,12453,0
2017-07-24,17.791,17.841,17.741,17.841,9903,0
2017-07-25,17.741,18.19,17.741,18.14,10810,0
2017-07-26,18.24,18.24,17.99,18.14,7347,0
2017-07-27,18.14,18.339,17.793,18.29,6200,0
2017-07-28,18.24,18.339,18.24,18.29,3298,0
2017-07-31,18.339,18.539,18.29,18.439,10888,0
2017-08-01,18.638,18.638,18.638,18.638,2561,0
2017-08-02,18.688,18.788,18.688,18.738,3182,0
2017-08-03,18.838,18.838,18.589,18.589,2311,0
2017-08-04,18.439,18.439,18.439,18.439,1044,0
2017-08-07,18.24,18.24,17.841,17.891,3450,0
2017-08-08,17.941,18.19,17.841,18.04,3187,0
2017-08-09,17.691,17.791,17.691,17.691,1965,0
2017-08-10,17.642,17.642,16.844,16.894,7697,0
2017-08-11,16.994,16.994,16.595,16.794,6452,0
2017-08-14,16.844,16.944,16.844,16.944,4232,0
2017-08-15,17.044,17.093,16.969,17.093,4574,0
2017-08-16,17.143,17.143,16.994,16.994,2130,0
2017-08-17,17.143,17.143,16.495,16.595,6911,0
2017-08-18,16.346,17.442,16.346,17.044,10339,0
2017-08-21,16.894,17.293,16.894,17.193,9244,0
2017-08-22,17.243,17.243,17.243,17.243,1095,0
2017-08-23,17.044,17.492,17.044,17.442,8599,0
2017-08-24,17.691,17.891,17.642,17.642,7924,0
2017-08-25,17.193,17.492,17.193,17.492,2474,0
2017-08-28,17.392,17.392,17.093,17.343,5830,0
2017-08-29,17.143,17.635,17.143,17.442,3034,0
2017-08-30,17.293,17.442,17.093,17.243,4557,0
2017-08-31,17.343,17.392,16.944,17.293,10422,0
2017-09-01,17.442,17.442,17.293,17.442,2988,0
2017-09-05,17.392,17.442,17.143,17.193,7186,0
2017-09-06,17.143,17.243,17.044,17.193,3095,0
2017-09-07,17.293,17.343,16.894,17.293,3596,0
2017-09-08,17.343,17.392,17.243,17.392,2149,0
2017-09-11,17.492,17.716,17.442,17.642,24183,0
2017-09-12,16.097,18.04,16.097,18.04,10123,0
2017-09-13,17.293,18.14,17.293,18.14,8827,0
2017-09-14,18.15,18.2,18.1,18.2,7611,0
2017-09-15,18.25,18.6531,18.1,18.6,28564,0
2017-09-18,18.65,18.85,18.6,18.85,8874,0
2017-09-19,18.95,18.95,18.4,18.8,18734,0
2017-09-20,18.9,18.9,18.6,18.65,9339,0
2017-09-21,18.75,18.75,18.35,18.6,6537,0
2017-09-22,18.6,18.7,18.6,18.7,4159,0
2017-09-25,18.7,18.95,18.6,18.95,18410,0
2017-09-26,18.8,19.45,18.8,19.25,16067,0
2017-09-27,19.25,20,19.25,20,25436,0
2017-09-28,19.95,20.4,19.9,20.1,15810,0
2017-09-29,20.35,20.35,19.8,19.8,6650,0
2017-10-02,19.75,19.9,19.67,19.9,13982,0
2017-10-03,20.05,20.05,19.3997,19.9,12664,0
2017-10-04,19.7,20.01,19.55,19.85,12866,0
2017-10-05,20,20.05,19.4,20.05,7261,0
2017-10-06,20.05,20.05,19.5,19.8,12071,0
2017-10-09,19.5,19.8,19.5,19.8,9403,0
2017-10-10,19.85,20.2,19.85,20.05,81858,0
2017-10-11,20.05,20.25,20,20.05,10828,0
2017-10-12,20.2011,20.2011,19.9,19.9,10876,0
2017-10-13,19.9,19.95,19.7,19.95,11622,0
2017-10-16,20.05,20.1,19.85,20,14177,0
2017-10-17,19.8,19.9064,19.75,19.9,3899,0
2017-10-18,19.95,20.05,19.7,19.8,16214,0
2017-10-19,19.85,20.05,19.85,20,23641,0
2017-10-20,20,20.175,19.85,19.95,16532,0
2017-10-23,20,20,19.65,19.8,16020,0
2017-10-24,20,20.05,19.8,19.8,4214,0
2017-10-25,19.75,20,19.6,19.8,24049,0
2017-10-26,19.5,19.95,19.45,19.85,16974,0
2017-10-27,19.85,20.025,19.85,19.9,40523,0
