Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,30.344,30.491,29.855,30.197,123898,0
2017-01-04,30.099,30.344,29.952,30.05,83139,0
2017-01-05,30.002,30.002,29.317,29.611,150655,0
2017-01-06,29.855,29.904,29.023,29.12,111842,0
2017-01-09,28.876,28.926,28.141,28.533,214238,0
2017-01-10,28.338,29.023,28.191,28.973,143523,0
2017-01-11,29.073,29.365,28.826,29.365,99671,0
2017-01-12,29.365,29.365,28.46,28.582,138368,0
2017-01-13,28.729,29.023,28.288,28.632,148471,0
2017-01-17,28.485,28.485,27.065,27.065,130308,0
2017-01-18,27.163,27.653,26.625,27.653,142959,0
2017-01-19,27.653,27.947,27.603,27.8,133633,0
2017-01-20,27.848,28.044,27.603,27.947,134194,0
2017-01-23,27.947,28.288,27.848,28.044,103846,0
2017-01-24,28.141,28.679,27.897,28.533,101451,0
2017-01-25,28.729,29.17,28.679,29.12,136986,0
2017-01-26,28.876,29.267,28.679,28.729,120107,0
2017-01-27,28.689,28.876,28.533,28.632,79450,0
2017-01-30,28.386,28.533,27.653,27.8,134857,0
2017-01-31,27.8,27.947,27.31,27.554,76150,0
2017-02-01,27.653,27.995,27.114,27.261,129508,0
2017-02-02,27.212,27.359,27.016,27.31,102989,0
2017-02-03,27.456,27.8,27.31,27.603,100005,0
2017-02-06,27.506,27.603,27.016,27.016,113605,0
2017-02-07,27.212,27.212,26.575,26.772,130912,0
2017-02-08,26.527,26.772,26.282,26.722,74660,0
2017-02-09,26.625,27.163,26.625,27.016,48801,0
2017-02-10,27.212,27.408,26.918,27.31,58959,0
2017-02-13,27.506,27.725,26.722,27.285,148670,0
2017-02-14,27.31,27.75,27.163,27.554,55518,0
2017-02-15,27.506,28.044,27.506,27.947,65960,0
2017-02-16,27.995,27.995,27.653,27.8,150680,0
2017-02-17,27.848,28.288,27.775,28.288,76731,0
2017-02-21,28.338,28.338,27.603,27.701,49935,0
2017-02-22,27.554,27.947,27.506,27.897,92495,0
2017-02-23,28.044,28.044,27.554,27.897,48126,0
2017-02-24,27.554,27.897,27.163,27.701,42625,0
2017-02-27,27.8,27.947,27.554,27.75,55837,0
2017-02-28,27.8,27.8,27.212,27.261,91785,0
2017-03-01,27.653,27.848,27.554,27.701,113034,0
2017-03-02,27.653,27.653,27.016,27.016,43093,0
2017-03-03,27.212,27.31,26.869,27.114,46174,0
2017-03-06,26.917,27.262,26.325,27.065,63683,0
2017-03-07,26.966,27.262,26.818,27.213,91712,0
2017-03-08,27.262,27.361,26.572,26.572,90024,0
2017-03-09,26.572,26.966,26.424,26.424,36713,0
2017-03-10,26.719,26.719,26.227,26.473,49098,0
2017-03-13,26.523,26.675,26.375,26.523,24110,0
2017-03-14,26.424,26.769,26.177,26.719,58306,0
2017-03-15,26.818,27.213,26.671,27.065,119097,0
2017-03-16,27.114,27.557,27.114,27.557,147916,0
2017-03-17,27.459,27.903,27.361,27.805,181010,0
2017-03-20,27.755,27.755,27.262,27.361,72320,0
2017-03-21,27.459,27.755,26.029,26.079,93146,0
2017-03-22,25.832,26.079,25.438,25.684,92475,0
2017-03-23,25.684,26.276,25.635,25.931,59747,0
2017-03-24,25.881,26.375,25.734,25.881,69756,0
2017-03-27,25.389,26.029,25.389,25.881,32269,0
2017-03-28,25.832,26.128,25.684,26.079,52112,0
2017-03-29,26.029,26.128,25.684,25.783,47833,0
2017-03-30,25.931,26.103,25.808,26.029,100591,0
2017-03-31,26.029,26.029,25.536,25.536,168445,0
2017-04-03,25.684,26.123,25.389,25.487,131090,0
2017-04-04,25.438,25.832,25.29,25.734,156206,0
2017-04-05,25.931,25.98,25.438,25.438,116882,0
2017-04-06,25.438,25.881,25.389,25.783,84752,0
2017-04-07,25.684,25.931,25.586,25.783,67448,0
2017-04-10,25.734,25.931,25.734,25.881,84081,0
2017-04-11,25.684,26.424,25.684,26.424,82581,0
2017-04-12,26.424,26.572,26.276,26.523,109799,0
2017-04-13,26.375,26.473,26.177,26.325,124448,0
2017-04-17,26.375,26.719,26.128,26.719,79375,0
2017-04-18,26.523,26.867,26.375,26.867,117280,0
2017-04-19,26.867,27.262,26.719,26.917,100502,0
2017-04-20,27.015,27.705,26.966,27.705,99723,0
2017-04-21,27.557,28.001,27.557,27.755,94932,0
2017-04-24,28.247,28.543,28.1,28.297,95310,0
2017-04-25,28.593,28.791,28.445,28.593,149737,0
2017-04-26,28.543,29.529,28.445,29.135,154469,0
2017-04-27,29.233,30.319,27.936,30.269,137680,0
2017-04-28,29.825,30.319,29.481,29.875,185038,0
2017-05-01,30.023,30.22,29.431,29.481,128773,0
2017-05-02,29.481,29.677,29.086,29.185,87052,0
2017-05-03,28.987,29.283,28.914,29.135,66845,0
2017-05-04,29.381,29.875,29.185,29.776,86509,0
2017-05-05,29.973,30.047,29.381,30.023,77761,0
2017-05-08,30.023,30.171,29.825,29.973,67550,0
2017-05-09,30.072,30.121,29.629,29.924,63593,0
2017-05-10,29.825,29.973,29.308,29.333,60884,0
2017-05-11,29.283,29.431,28.741,28.889,33757,0
2017-05-12,28.691,28.987,28.495,28.691,57274,0
2017-05-15,28.691,29.086,28.593,28.987,149912,0
2017-05-16,29.037,29.135,28.643,28.839,44705,0
2017-05-17,28.297,28.691,27.657,27.805,73955,0
2017-05-18,27.755,28.199,27.705,27.853,59904,0
2017-05-19,27.805,28.1,27.409,27.755,83714,0
2017-05-22,27.952,28.1,27.648,28.051,47823,0
2017-05-23,28.149,28.495,27.952,28.395,36468,0
2017-05-24,28.297,28.741,27.903,28.1,48013,0
2017-05-25,28.199,28.5,27.705,28.149,92266,0
2017-05-26,28.1,28.297,27.755,27.805,104106,0
2017-05-30,27.755,27.805,27.163,27.163,66149,0
2017-05-31,27.114,27.409,26.719,27.163,49978,0
2017-06-01,28.297,28.297,26.917,27.657,52636,0
2017-06-02,27.509,28.247,27.459,27.755,56903,0
2017-06-05,27.755,28.102,27.755,28.053,181951,0
2017-06-06,27.953,28.301,27.705,28.053,165726,0
2017-06-07,28.102,28.45,27.904,28.202,50565,0
2017-06-08,28.227,29.542,28.202,29.046,53096,0
2017-06-09,29.145,29.989,29.145,29.89,92444,0
2017-06-12,29.791,30.486,29.046,29.493,69408,0
2017-06-13,29.597,30.088,29.443,30.039,95007,0
2017-06-14,29.791,29.94,29.244,29.642,63495,0
2017-06-15,29.294,29.94,29.294,29.741,71999,0
2017-06-16,29.344,29.84,29.344,29.542,161211,0
2017-06-19,29.542,29.84,29.195,29.294,37822,0
2017-06-20,29.145,29.393,29.095,29.095,37476,0
2017-06-21,29.195,29.269,28.996,29.046,73516,0
2017-06-22,29.095,29.145,28.798,28.996,64258,0
2017-06-23,29.095,29.095,28.798,28.947,184728,0
2017-06-26,28.947,29.145,28.748,28.996,62302,0
2017-06-27,28.996,29.344,28.798,29.195,97631,0
2017-06-28,29.244,29.94,28.475,29.84,75691,0
2017-06-29,30.188,30.188,29.592,30.138,61164,0
2017-06-30,30.039,30.088,29.493,29.741,61694,0
2017-07-03,30.039,30.386,29.542,30.039,42531,0
2017-07-05,29.989,30.088,29.443,30.039,52139,0
2017-07-06,29.989,30.287,29.542,29.592,110267,0
2017-07-07,29.691,30.188,28.698,30.188,121852,0
2017-07-10,30.039,30.088,29.592,29.642,41523,0
2017-07-11,29.691,29.791,29.294,29.617,62315,0
2017-07-12,29.542,30.039,29.493,29.791,42046,0
2017-07-13,29.741,29.989,29.642,29.94,47761,0
2017-07-14,29.691,29.89,29.443,29.642,71875,0
2017-07-17,29.592,29.94,29.493,29.642,54951,0
2017-07-18,29.443,29.989,29.393,29.642,49455,0
2017-07-19,29.592,30.088,29.493,29.94,86246,0
2017-07-20,29.89,30.287,29.691,29.791,74182,0
2017-07-21,30.088,30.088,29.443,29.542,66163,0
2017-07-24,29.493,29.791,29.344,29.642,43818,0
2017-07-25,29.791,30.237,29.63,30.088,92995,0
2017-07-26,30.138,30.237,29.493,29.791,39866,0
2017-07-27,29.791,30.088,29.344,30.088,57377,0
2017-07-28,30.039,30.188,29.94,30.138,34062,0
2017-07-31,30.188,30.486,30.039,30.287,48375,0
2017-08-01,30.486,30.585,30.237,30.585,104815,0
