Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,30.102,30.102,29.17,29.44,44935,0
2017-01-04,29.606,29.926,29.48,29.635,49717,0
2017-01-05,29.431,29.518,28.771,29.139,55704,0
2017-01-06,29.305,29.305,28.693,29.129,43816,0
2017-01-09,29.139,29.169,28.79,29.052,23387,0
2017-01-10,29.013,29.741,28.93,29.615,25853,0
2017-01-11,29.625,29.703,29.343,29.499,29827,0
2017-01-12,29.431,29.732,28.897,29.246,19901,0
2017-01-13,29.266,29.712,29.266,29.625,29660,0
2017-01-17,29.547,29.936,29.295,29.499,54041,0
2017-01-18,29.46,29.703,29.286,29.635,26461,0
2017-01-19,29.508,29.862,29.091,29.091,25651,0
2017-01-20,29.236,29.625,29.236,29.324,25181,0
2017-01-23,29.363,29.605,29.023,29.188,34851,0
2017-01-24,29.227,29.537,29.11,29.227,18508,0
2017-01-25,29.499,29.615,29.217,29.596,24429,0
2017-01-26,29.781,30.184,29.771,29.819,32153,0
2017-01-27,29.975,29.975,29.188,29.537,29198,0
2017-01-30,29.47,29.644,29.12,29.537,19536,0
2017-01-31,29.606,29.625,29.032,29.421,25015,0
2017-02-01,29.47,29.839,29.343,29.44,26215,0
2017-02-02,29.567,29.712,29.305,29.421,27941,0
2017-02-03,29.508,29.781,29.431,29.771,27411,0
2017-02-06,29.781,29.965,29.664,29.722,23979,0
2017-02-07,29.868,29.868,29.052,29.091,24114,0
2017-02-08,29.11,29.392,28.858,29.149,21155,0
2017-02-09,29.217,29.266,29.082,29.12,36715,0
2017-02-10,29.286,29.383,29.023,29.072,25922,0
2017-02-13,29.333,29.557,29.179,29.45,19455,0
2017-02-14,29.45,29.592,29.363,29.528,30030,0
2017-02-15,29.47,29.781,29.333,29.46,16899,0
2017-02-16,29.577,29.606,29.383,29.537,17456,0
2017-02-17,29.49,29.684,29.48,29.508,25390,0
2017-02-21,29.547,29.669,29.236,29.353,29682,0
2017-02-22,29.169,30.199,29.169,30.14,24063,0
2017-02-23,30.334,30.441,29.722,30.033,23401,0
2017-02-24,30.033,30.13,29.732,29.936,16463,0
2017-02-27,30.062,30.14,29.139,29.159,28372,0
2017-02-28,29.139,29.45,28.664,28.761,72930,0
2017-03-01,28.935,29.217,28.654,28.664,37060,0
2017-03-02,28.654,28.848,28.149,28.246,58523,0
2017-03-03,28.372,28.69,27.245,27.459,17679,0
2017-03-06,27.168,27.459,26.993,27.391,16169,0
2017-03-07,27.362,27.498,27.109,27.158,24933,0
2017-03-08,27.09,27.099,26.275,26.283,38424,0
2017-03-09,26.051,26.459,26.051,26.196,31216,0
2017-03-10,26.225,26.337,26.071,26.089,31371,0
2017-03-13,26.099,26.352,26.089,26.255,16429,0
2017-03-14,26.225,26.4,25.808,26.071,27416,0
2017-03-15,26.109,27.206,25.623,25.633,28871,0
2017-03-16,25.681,26.235,25.506,25.944,32987,0
2017-03-17,25.934,26.536,25.798,26.439,68350,0
2017-03-20,26.487,26.571,25.691,26.041,29644,0
2017-03-21,26.031,26.118,25.584,25.778,52277,0
2017-03-22,25.566,25.924,25.332,25.439,43633,0
2017-03-23,25.371,25.673,25.352,25.39,27919,0
2017-03-24,25.39,25.469,25.167,25.283,46840,0
2017-03-27,25.245,25.574,25.108,25.409,25470,0
2017-03-28,25.283,25.409,25.089,25.235,13148,0
2017-03-29,25.167,25.546,25.089,25.39,44334,0
2017-03-30,25.273,25.798,25.273,25.691,22949,0
2017-03-31,25.681,26.168,25.439,25.74,85733,0
2017-04-03,25.788,25.954,25.371,25.556,38005,0
2017-04-04,25.664,25.78,25.496,25.594,20830,0
2017-04-05,25.83,26.016,25.408,25.536,44265,0
2017-04-06,25.476,25.654,25.476,25.634,18950,0
2017-04-07,25.566,26.398,25.566,26.272,27917,0
2017-04-10,26.38,26.928,25.986,26.036,35061,0
2017-04-11,26.114,26.566,25.79,26.29,24367,0
2017-04-12,26.174,26.32,25.732,26.154,18119,0
2017-04-13,26.056,26.232,25.986,25.996,15093,0
2017-04-17,26.026,26.182,25.79,26.104,15598,0
2017-04-18,25.928,26.468,25.712,26.134,32447,0
2017-04-19,26.428,26.8,26.35,26.566,23950,0
2017-04-20,26.674,26.958,26.438,26.546,24278,0
2017-04-21,26.536,26.825,26.061,26.32,18547,0
2017-04-24,26.566,26.566,25.644,26.34,46979,0
2017-04-25,26.398,26.594,26.056,26.124,26634,0
2017-04-26,26.076,26.458,25.86,26.35,25478,0
2017-04-27,26.222,26.428,26.114,26.272,33443,0
2017-04-28,26.281,26.428,25.86,25.878,43122,0
2017-05-01,25.81,26.114,25.692,25.79,15725,0
2017-05-02,25.87,26.81,25.486,25.614,28727,0
2017-05-03,25.516,26.076,25.516,26.056,23190,0
2017-05-04,26.036,26.154,25.566,25.81,16206,0
2017-05-05,25.862,26.036,25.496,25.888,14429,0
2017-05-08,26.016,26.419,25.772,26.066,23867,0
2017-05-09,26.084,26.212,25.476,25.654,17734,0
2017-05-10,25.702,25.968,25.506,25.692,13581,0
2017-05-11,25.673,25.986,25.556,25.594,17654,0
2017-05-12,25.516,25.79,24.81,24.84,29426,0
2017-05-15,24.967,25.673,24.952,25.408,28006,0
2017-05-16,25.369,25.369,24.564,24.634,16766,0
2017-05-17,24.564,25.074,24.418,24.77,38280,0
2017-05-18,24.84,24.84,24.486,24.516,23423,0
2017-05-19,24.448,24.614,24.448,24.526,28618,0
2017-05-22,24.506,24.996,24.506,24.918,16554,0
2017-05-23,24.918,24.976,24.526,24.594,9521,0
2017-05-24,24.692,24.938,24.466,24.584,23693,0
2017-05-25,24.584,24.702,24.476,24.516,12482,0
2017-05-26,24.516,24.938,24.486,24.555,21244,0
2017-05-30,24.418,24.649,24.418,24.476,23730,0
2017-05-31,24.526,24.526,24.398,24.398,30917,0
2017-06-01,24.486,24.923,24.406,24.644,33304,0
2017-06-02,24.672,25.171,24.594,24.654,36304,0
2017-06-05,24.761,25.046,24.712,24.77,15536,0
2017-06-06,24.79,25.104,24.398,24.584,25503,0
2017-06-07,24.594,26.889,24.594,26.526,40807,0
2017-06-08,26.388,26.458,25.584,25.634,30610,0
2017-06-09,25.644,25.948,25.262,25.654,48087,0
2017-06-12,25.654,26.006,25.448,25.732,26326,0
2017-06-13,25.732,25.82,25.016,25.496,26698,0
2017-06-14,25.506,25.506,25.252,25.369,21971,0
2017-06-15,25.36,25.468,24.466,24.555,29422,0
2017-06-16,24.32,24.628,22,24.546,129856,0
2017-06-19,24.162,25.056,23.78,24.8,60948,0
2017-06-20,24.81,25.02,24.398,24.516,42343,0
2017-06-21,24.526,24.87,24.516,24.516,26037,0
2017-06-22,24.516,24.644,24.428,24.516,33303,0
2017-06-23,24.722,24.81,24.516,24.742,83217,0
2017-06-26,25.104,25.35,24.82,25.31,31310,0
2017-06-27,25.182,25.428,24.928,25.046,29941,0
2017-06-28,25.094,25.928,25.094,25.614,48211,0
2017-06-29,25.614,25.702,25.084,25.682,53787,0
2017-06-30,25.742,25.86,25.388,25.418,42342,0
2017-07-03,25.973,25.973,25.012,25.616,26485,0
2017-07-05,25.497,25.497,24.774,24.933,23966,0
2017-07-06,24.814,24.814,24.309,24.339,44161,0
2017-07-07,24.359,24.687,23.715,24.23,45954,0
2017-07-10,24.21,24.745,23.556,23.725,36087,0
2017-07-11,23.715,23.982,23.527,23.735,36671,0
2017-07-12,23.903,24.23,23.814,23.903,35561,0
2017-07-13,24.022,24.339,23.994,24.151,39232,0
2017-07-14,24.151,24.151,23.764,23.953,28705,0
2017-07-17,23.962,24.279,23.784,23.923,50895,0
2017-07-18,23.903,24.161,23.705,24.081,38828,0
2017-07-19,24.081,24.21,23.943,24.052,36523,0
2017-07-20,24.141,24.21,23.962,24.141,48508,0
2017-07-21,24.339,24.339,23.854,23.943,38538,0
2017-07-24,24.131,24.131,23.517,23.854,54109,0
2017-07-25,24.002,24.576,23.982,24.18,51677,0
2017-07-26,24.289,24.507,24.172,24.319,30479,0
2017-07-27,24.339,24.507,23.923,23.992,40919,0
2017-07-28,24.061,24.299,23.923,24.012,32882,0
2017-07-31,24.091,24.557,23.99,24.487,37116,0
2017-08-01,24.527,24.903,24.18,24.794,44266,0
2017-08-02,24.784,24.784,24.309,24.557,19860,0
2017-08-03,24.606,24.636,23.883,23.992,33473,0
2017-08-04,24.012,24.309,23.883,24.24,19721,0
2017-08-07,24.25,24.665,24.187,24.576,35909,0
2017-08-08,24.566,24.665,23.883,23.992,26222,0
2017-08-09,23.962,24.19,23.764,23.903,28446,0
2017-08-10,23.844,24.052,23.764,23.923,21731,0
2017-08-11,23.962,23.982,23.695,23.824,21674,0
2017-08-14,23.972,24.21,23.67,24.21,30067,0
2017-08-15,24.081,24.081,23.72,23.784,25734,0
2017-08-16,23.883,23.913,23.715,23.735,16982,0
2017-08-17,23.715,23.764,23.279,23.358,37730,0
2017-08-18,23.269,23.552,22.883,23.23,50197,0
2017-08-21,23.349,23.636,22.774,23.556,44596,0
2017-08-22,23.566,23.814,23.383,23.646,25122,0
2017-08-23,23.596,23.626,23.329,23.368,25468,0
2017-08-24,23.428,23.665,22.92,22.982,39587,0
2017-08-25,23.032,23.22,22.834,23.101,42465,0
2017-08-28,23.121,23.428,22.581,22.675,26270,0
2017-08-29,22.646,23.21,22.58,22.962,27652,0
2017-08-30,22.972,23.22,22.794,22.982,14808,0
2017-08-31,22.992,23.324,22.774,22.903,30757,0
2017-09-01,22.982,23.398,22.982,23.269,18761,0
2017-09-05,23.279,23.329,22.774,22.913,26639,0
2017-09-06,22.913,23.408,22.913,23.012,25048,0
2017-09-07,22.992,23.061,22.85,22.952,22394,0
2017-09-08,22.923,23.121,22.794,22.873,21230,0
2017-09-11,22.943,23.106,22.943,22.992,86884,0
2017-09-12,22.992,23.472,22.992,23.418,21913,0
2017-09-13,23.358,24.151,23.349,23.507,28704,0
2017-09-14,23.586,23.586,23.081,23.23,20932,0
2017-09-15,23.329,23.607,23.101,23.18,61395,0
2017-09-18,23.329,23.367,23.111,23.151,42297,0
2017-09-19,23.289,23.472,23.121,23.22,130979,0
2017-09-20,23.131,24.319,23.131,24.19,59545,0
2017-09-21,24.061,24.161,23.646,23.705,56460,0
2017-09-22,23.824,24.022,23.665,23.774,18133,0
2017-09-25,23.903,24.25,23.893,24.121,15318,0
2017-09-26,24.131,24.576,23.834,24.398,17934,0
2017-09-27,24.537,24.765,24.2,24.695,33523,0
2017-09-28,24.566,24.697,24.378,24.458,14612,0
2017-09-29,24.577,24.715,24.448,24.467,25950,0
2017-10-02,24.656,24.883,24.507,24.755,34191,0
2017-10-03,24.873,25.25,24.873,25.22,40115,0
2017-10-04,25.38,25.8513,25.33,25.44,38194,0
2017-10-05,25.59,26.37,25.505,25.8,54914,0
2017-10-06,25.94,25.94,24.81,24.98,80035,0
2017-10-09,25.18,25.2,24.59,24.9,50501,0
2017-10-10,25.06,25.39,24.93,25.29,29591,0
2017-10-11,25.4,25.4,24.71,24.9,13975,0
2017-10-12,24.89,24.942,24.5,24.68,23880,0
2017-10-13,24.605,25.29,24.53,24.91,26223,0
2017-10-16,24.92,25.19,24.21,24.23,135094,0
2017-10-17,24.39,24.85,24.22,24.55,37884,0
2017-10-18,24.73,24.9,24.24,24.31,40456,0
2017-10-19,24.32,24.63,24.07,24.13,35442,0
2017-10-20,24.3,24.3,23.82,23.87,27166,0
2017-10-23,23.88,24.35,23.88,24.19,27939,0
2017-10-24,24.27,24.32,23.98,24.23,26978,0
2017-10-25,24.24,24.24,23.984,24.22,24822,0
2017-10-26,24.41,24.8,24.35,24.42,31305,0
2017-10-27,24.46,24.51,24.1215,24.37,27642,0
2017-10-30,24.37,24.39,23.6,23.71,48219,0
2017-10-31,23.71,24.1,23.42,23.99,63271,0
2017-11-01,24,24.839,23.69,23.81,87384,0
2017-11-02,23.89,24.3,23.75,24.22,30225,0
2017-11-03,24.23,24.3982,23.77,23.9,31422,0
2017-11-06,23.9,24.25,23.63,24.09,27955,0
2017-11-07,24.11,24.24,23.26,23.67,50808,0
2017-11-08,23.59,23.705,23.4,23.51,33210,0
2017-11-09,23.49,23.57,23,23.3,33298,0
2017-11-10,23.35,23.98,23.35,23.53,17007,0
