Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,11.503,11.533,11.231,11.358,1763116,0
2017-01-04,11.396,11.61,11.358,11.6,3101289,0
2017-01-05,11.465,11.518,11.27,11.358,1920742,0
2017-01-06,11.445,11.484,11.28,11.309,1843590,0
2017-01-09,11.27,11.29,11.134,11.153,1817929,0
2017-01-10,11.173,11.299,11.105,11.27,2018414,0
2017-01-11,11.27,11.401,11.202,11.396,1893439,0
2017-01-12,11.328,11.358,11.036,11.212,1649911,0
2017-01-13,11.328,11.562,11.28,11.319,1358850,0
2017-01-17,11.202,11.202,10.959,10.969,1513224,0
2017-01-18,11.027,11.036,10.882,11.036,1856957,0
2017-01-19,11.095,11.183,10.939,10.998,1521312,0
2017-01-20,10.989,11.134,10.949,10.989,2013310,0
2017-01-23,10.91,11.017,10.89,10.979,1325017,0
2017-01-24,11.076,11.143,10.905,11.105,2258195,0
2017-01-25,11.328,11.62,11.234,11.552,6117825,0
2017-01-26,11.62,11.931,11.547,11.864,3945095,0
2017-01-27,11.883,11.978,11.794,11.951,2841156,0
2017-01-30,11.854,11.854,11.552,11.737,2972570,0
2017-01-31,11.727,11.834,11.635,11.776,2349529,0
2017-02-01,11.951,12.002,11.533,11.572,3070653,0
2017-02-02,11.523,11.62,11.396,11.455,2076574,0
2017-02-03,11.63,11.814,11.577,11.794,2032190,0
2017-02-06,11.669,11.829,11.62,11.65,1328714,0
2017-02-07,11.65,11.732,11.576,11.64,1748941,0
2017-02-08,11.61,11.61,11.377,11.513,1535647,0
2017-02-09,11.562,11.717,11.523,11.697,1909253,0
2017-02-10,11.747,11.776,11.679,11.766,1588015,0
2017-02-13,11.814,11.931,11.766,11.844,1616217,0
2017-02-14,11.854,12.038,11.757,12.028,1894757,0
2017-02-15,12.115,12.115,11.961,12.078,1818111,0
2017-02-16,12.068,12.096,11.951,12.096,1743276,0
2017-02-17,11.971,12.083,11.901,12.068,1727802,0
2017-02-21,12.155,12.203,12.048,12.165,2018709,0
2017-02-22,12.096,12.203,12.078,12.155,1259909,0
2017-02-23,12.155,12.19,12.038,12.145,1535728,0
