Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,54.055,54.098,53.488,54.046,438306,0
2017-01-04,54.407,55.043,54.329,54.535,529809,0
2017-01-05,54.496,54.809,54.241,54.584,560914,0
2017-01-06,54.662,55.19,54.417,55.15,549243,0
2017-01-09,55.132,55.132,54.339,54.525,465202,0
2017-01-10,54.76,55.307,54.447,55.053,509175,0
2017-01-11,55.063,55.626,54.867,55.542,608995,0
2017-01-12,55.434,55.797,55.033,55.571,623174,0
2017-01-13,55.788,56.032,55.21,55.406,375495,0
2017-01-17,55.562,55.856,55.228,55.661,535246,0
2017-01-18,55.866,56.247,55.534,56.188,457438,0
2017-01-19,56.247,56.453,55.699,55.875,446844,0
2017-01-20,56.1,56.325,55.88,55.944,488540,0
2017-01-23,55.679,56.081,55.504,55.621,406841,0
2017-01-24,55.788,56.081,55.763,55.905,301007,0
2017-01-25,56.218,56.369,56.003,56.051,336481,0
2017-01-26,56.081,56.374,55.816,56.032,433780,0
2017-01-27,56.051,56.071,55.542,55.699,331640,0
2017-01-30,55.415,55.621,54.906,55.297,445467,0
2017-01-31,55.397,55.778,54.896,55.778,759555,0
2017-02-01,56.003,56.541,55.733,56.384,1063386,0
2017-02-02,56.208,57.499,56.051,57.402,694434,0
2017-02-03,56.384,57.088,56.003,56.492,971384,0
2017-02-06,55.973,56.325,55.337,55.524,825948,0
2017-02-07,55.699,56.14,55.689,55.895,481638,0
2017-02-08,55.836,55.973,55.641,55.758,219275,0
2017-02-09,55.611,56.051,55.611,55.924,237997,0
2017-02-10,56.16,56.297,55.915,55.924,524162,0
2017-02-13,55.866,56.335,55.866,56.198,880232,0
2017-02-14,56.071,56.359,55.866,56.14,604916,0
2017-02-15,56.384,56.922,56.14,56.922,302508,0
2017-02-16,56.922,57.382,56.795,57.314,322445,0
2017-02-17,57.235,57.235,56.727,57.078,287704,0
2017-02-21,57.088,57.215,56.511,56.629,446296,0
2017-02-22,56.678,56.864,56.424,56.501,425670,0
2017-02-23,56.697,56.874,56.218,56.306,780338,0
2017-02-24,55.924,56.394,55.924,56.081,516741,0
2017-02-27,56.061,56.306,55.924,56.257,526078,0
2017-02-28,56.218,56.506,55.993,56.424,554868,0
2017-03-01,56.903,57.197,56.737,57.158,305335,0
2017-03-02,56.991,57.088,56.472,56.521,281308,0
2017-03-03,56.384,56.609,56.11,56.462,726986,0
2017-03-06,56.297,56.359,56.09,56.267,716573,0
2017-03-07,56.09,56.404,56.071,56.345,500386,0
2017-03-08,56.364,56.727,56.237,56.335,504607,0
2017-03-09,56.345,56.531,55.953,56.169,468366,0
2017-03-10,56.364,56.433,56.003,56.237,257796,0
2017-03-13,56.198,56.474,55.813,56.05,328248,0
2017-03-14,56.119,56.434,56.001,56.07,330911,0
2017-03-15,55.991,56.218,55.676,55.951,433107,0
2017-03-16,55.981,56.089,55.685,55.873,320370,0
2017-03-17,56.011,56.011,55.489,55.823,266728,0
