Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,11.649,11.705,11.611,11.611,683359,0
2017-01-04,11.685,11.724,11.545,11.601,661019,0
2017-01-05,11.515,11.601,11.515,11.545,674150,0
2017-01-06,11.573,11.639,11.52,11.564,446078,0
2017-01-09,11.581,11.619,11.535,11.573,311107,0
2017-01-10,11.619,11.675,11.573,11.649,262028,0
2017-01-11,11.705,11.705,11.601,11.619,272207,0
2017-01-12,11.666,11.666,11.611,11.611,224983,0
2017-01-13,11.658,11.695,11.629,11.695,203017,0
2017-01-17,11.715,11.801,11.696,11.791,404054,0
2017-01-18,11.782,11.829,11.772,11.782,385580,0
2017-01-19,11.791,11.801,11.736,11.772,287499,0
2017-01-20,11.772,11.772,11.645,11.667,340634,0
2017-01-23,11.725,11.801,11.706,11.791,344744,0
2017-01-24,11.801,11.862,11.781,11.857,293474,0
2017-01-25,11.904,11.943,11.867,11.867,365023,0
2017-01-26,11.886,11.913,11.752,11.791,457121,0
2017-01-27,11.838,11.857,11.743,11.752,490995,0
2017-01-30,11.782,11.821,11.738,11.752,281471,0
2017-01-31,11.782,11.829,11.762,11.829,329672,0
2017-02-01,11.838,11.862,11.811,11.857,268610,0
2017-02-02,11.857,11.877,11.821,11.847,179167,0
2017-02-03,11.877,11.896,11.742,11.762,307814,0
2017-02-06,11.762,11.847,11.762,11.829,204200,0
2017-02-07,11.829,11.829,11.762,11.791,218790,0
2017-02-08,11.772,11.801,11.72,11.743,336609,0
2017-02-09,11.782,11.811,11.696,11.725,366604,0
2017-02-10,11.752,11.829,11.735,11.829,274367,0
2017-02-13,11.868,11.868,11.763,11.783,272155,0
2017-02-14,11.821,11.821,11.735,11.802,362173,0
2017-02-15,11.812,11.858,11.785,11.858,282241,0
2017-02-16,11.868,11.905,11.83,11.897,244594,0
2017-02-17,11.897,11.925,11.812,11.848,217196,0
2017-02-21,11.858,11.887,11.773,11.783,312194,0
2017-02-22,11.802,11.878,11.802,11.868,276072,0
2017-02-23,11.887,11.925,11.87,11.905,244620,0
2017-02-24,11.887,11.905,11.858,11.887,219369,0
2017-02-27,11.887,11.905,11.838,11.848,186680,0
2017-02-28,11.878,11.878,11.802,11.83,433035,0
2017-03-01,11.887,11.935,11.821,11.935,419128,0
2017-03-02,11.897,11.925,11.829,11.838,481536,0
2017-03-03,11.878,11.935,11.858,11.935,385525,0
2017-03-06,11.897,11.897,11.858,11.868,340042,0
2017-03-07,11.878,11.915,11.878,11.915,270580,0
2017-03-08,11.915,11.915,11.868,11.868,495179,0
2017-03-09,11.858,11.858,11.686,11.706,617414,0
2017-03-10,11.725,11.773,11.696,11.743,279755,0
2017-03-13,11.784,11.793,11.697,11.764,462369,0
2017-03-14,11.744,11.769,11.697,11.735,312997,0
2017-03-15,11.735,11.87,11.726,11.822,355429,0
2017-03-16,11.832,11.88,11.832,11.85,245289,0
2017-03-17,11.88,11.937,11.86,11.899,249594,0
2017-03-20,11.917,11.927,11.88,11.917,173962,0
2017-03-21,11.927,11.927,11.788,11.813,230189,0
2017-03-22,11.803,11.86,11.784,11.803,186766,0
2017-03-23,11.822,11.86,11.803,11.85,199406,0
2017-03-24,11.86,11.899,11.85,11.85,204115,0
2017-03-27,11.822,11.84,11.764,11.793,227036,0
2017-03-28,11.822,11.86,11.793,11.85,205612,0
2017-03-29,11.86,11.86,11.813,11.84,203888,0
2017-03-30,11.822,11.84,11.707,11.726,498099,0
2017-03-31,11.754,11.793,11.677,11.735,239453,0
2017-04-03,11.754,11.764,11.677,11.735,363214,0
2017-04-04,11.697,11.716,11.63,11.697,344720,0
2017-04-05,11.707,11.735,11.668,11.687,237669,0
2017-04-06,11.697,11.697,11.591,11.65,326768,0
2017-04-07,11.64,11.65,11.591,11.64,319340,0
2017-04-10,11.65,11.697,11.64,11.659,353987,0
2017-04-11,11.678,11.717,11.641,11.708,294181,0
2017-04-12,11.717,11.824,11.692,11.805,383009,0
2017-04-13,11.795,11.815,11.717,11.717,328528,0
2017-04-17,11.727,11.773,11.677,11.678,624223,0
2017-04-18,11.688,11.746,11.678,11.717,355631,0
2017-04-19,11.746,11.795,11.688,11.717,312662,0
2017-04-20,11.727,11.744,11.698,11.736,315795,0
2017-04-21,11.717,11.746,11.708,11.736,241762,0
2017-04-24,11.833,11.833,11.766,11.795,266004,0
2017-04-25,11.824,11.86,11.795,11.833,262818,0
2017-04-26,11.852,11.872,11.824,11.872,220994,0
2017-04-27,11.881,11.891,11.805,11.842,211327,0
2017-04-28,11.852,11.872,11.833,11.862,190422,0
2017-05-01,11.862,11.92,11.833,11.862,293050,0
2017-05-02,11.852,11.901,11.833,11.852,346025,0
2017-05-03,11.852,11.862,11.795,11.833,201555,0
2017-05-04,11.842,11.842,11.708,11.736,320610,0
2017-05-05,11.766,11.795,11.753,11.766,192139,0
2017-05-08,11.785,11.785,11.717,11.736,267333,0
2017-05-09,11.756,11.756,11.727,11.756,311220,0
2017-05-10,11.767,11.816,11.737,11.786,316062,0
2017-05-11,11.786,11.834,11.782,11.816,358166,0
2017-05-12,11.816,11.872,11.806,11.825,213063,0
2017-05-15,11.844,11.883,11.806,11.854,205323,0
2017-05-16,11.864,11.864,11.806,11.834,201078,0
2017-05-17,11.806,11.825,11.699,11.737,333864,0
2017-05-18,11.737,11.762,11.694,11.747,218959,0
2017-05-19,11.786,11.806,11.737,11.786,334393,0
2017-05-22,11.806,11.825,11.757,11.767,278327,0
2017-05-23,11.806,11.825,11.777,11.816,234592,0
2017-05-24,11.796,11.844,11.777,11.844,226067,0
2017-05-25,11.864,11.874,11.834,11.874,205207,0
2017-05-26,11.883,11.902,11.834,11.854,170607,0
2017-05-30,11.854,11.893,11.816,11.893,177229,0
2017-05-31,11.893,11.912,11.864,11.874,234528,0
2017-06-01,11.893,11.922,11.874,11.922,256461,0
2017-06-02,11.912,11.912,11.825,11.834,150798,0
2017-06-05,11.844,11.864,11.825,11.844,181865,0
2017-06-06,11.834,11.883,11.825,11.864,141141,0
2017-06-07,11.864,11.864,11.747,11.757,272813,0
2017-06-08,11.757,11.777,11.67,11.718,343649,0
2017-06-09,11.747,11.777,11.679,11.737,387709,0
2017-06-12,11.807,11.827,11.758,11.758,388987,0
2017-06-13,11.797,11.871,11.748,11.836,416599,0
2017-06-14,11.836,11.9,11.817,11.885,270961,0
2017-06-15,11.846,11.846,11.787,11.807,327162,0
2017-06-16,11.846,11.846,11.71,11.71,430575,0
2017-06-19,11.748,11.768,11.71,11.748,221682,0
2017-06-20,11.729,11.783,11.729,11.748,264670,0
2017-06-21,11.748,11.797,11.7,11.738,242925,0
2017-06-22,11.738,11.748,11.602,11.602,233668,0
2017-06-23,11.641,11.69,11.592,11.69,255786,0
2017-06-26,11.69,11.71,11.563,11.582,350441,0
2017-06-27,11.572,11.602,11.504,11.582,284394,0
2017-06-28,11.592,11.661,11.563,11.651,311822,0
2017-06-29,11.661,11.661,11.572,11.612,314621,0
2017-06-30,11.661,11.729,11.621,11.729,265281,0
2017-07-03,11.738,11.787,11.71,11.758,260463,0
2017-07-05,11.719,11.729,11.592,11.621,312570,0
2017-07-06,11.602,11.621,11.534,11.553,230486,0
2017-07-07,11.572,11.612,11.534,11.582,205821,0
2017-07-10,11.612,11.631,11.575,11.631,190004,0
2017-07-11,11.621,11.673,11.544,11.631,189463,0
2017-07-12,11.651,11.69,11.621,11.69,141690,0
2017-07-13,11.69,11.69,11.641,11.67,163447,0
2017-07-14,11.67,11.72,11.654,11.71,212818,0
2017-07-17,11.69,11.698,11.612,11.67,270741,0
2017-07-18,11.67,11.71,11.592,11.68,138060,0
2017-07-19,11.7,11.739,11.671,11.739,172167,0
2017-07-20,11.739,11.739,11.661,11.68,158608,0
2017-07-21,11.7,11.739,11.661,11.71,223802,0
2017-07-24,11.71,11.759,11.68,11.71,379789,0
2017-07-25,11.739,11.798,11.729,11.798,275331,0
2017-07-26,11.798,11.837,11.779,11.837,160445,0
2017-07-27,11.857,11.877,11.808,11.837,215620,0
2017-07-28,11.837,11.847,11.788,11.837,147159,0
2017-07-31,11.857,11.858,11.818,11.828,162127,0
2017-08-01,11.867,11.887,11.837,11.877,215549,0
2017-08-02,11.887,11.887,11.808,11.808,142898,0
2017-08-03,11.837,11.857,11.749,11.779,307287,0
2017-08-04,11.788,11.818,11.759,11.769,224163,0
