Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,51.877,52.34,51.83,52.143,585146,0
2017-01-04,52.915,53.65,52.804,53.168,898097,0
2017-01-05,53.379,53.849,53.028,53.63,780932,0
2017-01-06,53.809,54.226,53.63,54.02,975582,0
2017-01-09,53.763,54.087,53.299,53.603,732485,0
2017-01-10,54.187,54.187,53.465,53.71,945185,0
2017-01-11,53.73,53.954,53.312,53.557,981938,0
2017-01-12,53.491,53.723,52.525,52.883,1156505,0
2017-01-13,52.909,53.557,52.797,53.227,776580,0
2017-01-17,53.299,53.525,52.817,52.929,703422,0
2017-01-18,52.817,52.941,52.519,52.698,1087337,0
2017-01-19,52.691,52.961,52.466,52.738,457125,0
2017-01-20,52.804,52.975,52.651,52.698,717719,0
2017-01-23,52.651,52.995,52.479,52.89,465407,0
2017-01-24,52.895,53.155,52.069,52.129,1242593,0
2017-01-25,52.459,52.473,51.877,52.189,1039362,0
2017-01-26,52.386,53.061,52.373,53.041,571362,0
2017-01-27,53.055,53.379,52.863,52.909,284569,0
2017-01-30,52.784,53.008,52.625,52.988,373551,0
2017-01-31,53.001,53.426,52.948,53.115,789633,0
2017-02-01,53.048,53.247,52.532,52.856,928323,0
2017-02-02,53.055,53.346,52.745,53.279,650604,0
2017-02-03,53.412,53.73,53.286,53.326,718874,0
2017-02-06,53.319,53.319,52.955,53.115,655167,0
2017-02-07,53.048,53.312,52.981,53.254,560270,0
2017-02-08,53.247,53.261,52.658,52.837,669029,0
2017-02-09,52.981,53.168,52.85,53.008,700889,0
2017-02-10,53.068,53.181,52.837,52.935,739834,0
2017-02-13,53.001,53.485,53.001,53.319,657064,0
2017-02-14,53.312,53.663,53.254,53.445,812416,0
2017-02-15,53.757,54.702,53.737,54.649,1624909,0
2017-02-16,54.557,54.881,54.047,54.748,901833,0
2017-02-17,54.814,55.363,54.193,55.296,886232,0
2017-02-21,55.179,55.859,55.125,55.793,916517,0
2017-02-22,57.017,58.009,56.388,57.354,2725475,0
2017-02-23,57.771,58.002,57.13,57.679,1393163,0
2017-02-24,57.633,57.87,57.434,57.765,942068,0
2017-02-27,57.87,57.923,57.156,57.711,970723,0
2017-02-28,57.586,58.022,57.387,57.803,943392,0
2017-03-01,57.89,58.399,57.652,58.267,1721169,0
2017-03-02,58.022,58.598,57.989,58.281,758454,0
2017-03-03,58.128,58.532,58.002,58.182,1212619,0
2017-03-06,58.055,58.326,57.73,57.809,829313,0
2017-03-07,57.882,57.949,57.651,57.717,982995,0
