Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,21.1,21.2,20.45,20.7,424330,0
2017-01-04,20.7,20.95,20.6,20.7,326093,0
2017-01-05,20.65,20.85,20,20.3,496290,0
2017-01-06,20.35,20.7249,20.1,20.7,500707,0
2017-01-09,20.65,20.65,19.95,20.15,318908,0
2017-01-10,20.15,20.4,19.9,20.25,240205,0
2017-01-11,20.2,20.3,19.95,20.2,266599,0
2017-01-12,20.15,20.15,19.35,19.55,464575,0
2017-01-13,19.65,19.875,19.3,19.55,328081,0
2017-01-17,19.45,19.55,18.95,19.2,442188,0
2017-01-18,19.25,19.6,19.05,19.3,419396,0
2017-01-19,19.35,19.6,19.05,19.45,250759,0
2017-01-20,19.45,19.6,19.2,19.3,261180,0
2017-01-23,19.3,19.75,19.15,19.25,268747,0
2017-01-24,19.35,19.65,19.2,19.65,187405,0
2017-01-25,19.75,20.05,19.675,19.9,291674,0
2017-01-26,19.85,20.05,19.5,19.75,244068,0
2017-01-27,19.85,19.95,19.4,19.45,249556,0
2017-01-30,19.35,19.35,18.8,18.8,226201,0
2017-01-31,18.75,19,18.4,18.95,222117,0
2017-02-01,19.05,19.25,18.85,18.95,188897,0
2017-02-02,18.9,19.1,18.55,18.8,179142,0
2017-02-03,19,19.4,18.85,19.3,217503,0
2017-02-06,19.25,19.45,19.1,19.15,168348,0
2017-02-07,19.2,19.35,19,19.05,152763,0
2017-02-08,19,19.3,18.95,19.25,415113,0
2017-02-09,19.25,19.9,19.1,19.75,483348,0
2017-02-10,20.2,22.5,19.7847,21,1063009,0
2017-02-13,20.95,21.2,20.15,20.8,656956,0
2017-02-14,20.55,21.25,20.45,20.7,446483,0
2017-02-15,20.6,20.6,20.1,20.4,476792,0
2017-02-16,20.3,20.7,20.05,20.2,341898,0
2017-02-17,20.2,20.3,20.075,20.2,263854,0
2017-02-21,20.2,20.45,20,20.4,286326,0
2017-02-22,20.35,20.75,20.1,20.4,238773,0
2017-02-23,20.4,20.4645,19.9,20.05,213288,0
2017-02-24,19.8,20.2,19.75,20.2,199358,0
2017-02-27,20.1,20.2,19.775,19.85,302066,0
2017-02-28,19.9,19.95,19.2,19.25,262270,0
2017-03-01,19.55,19.9677,19.4,19.8,226408,0
2017-03-02,19.85,20.35,19.85,19.95,307655,0
2017-03-03,19.9,19.95,19.05,19.4,230425,0
2017-03-06,19.3,19.5,19.05,19.1,294982,0
2017-03-07,19.1,19.5,19.1,19.15,218673,0
2017-03-08,19.25,19.35,18.95,18.975,226023,0
2017-03-09,18.9,19.2,18.8,19,294548,0
2017-03-10,19.2,19.75,19.2,19.6,336083,0
2017-03-13,19.605,19.95,19.6,19.9,207509,0
2017-03-14,19.75,20.25,19.6,20.25,279315,0
2017-03-15,20.25,20.45,19.95,20.3,264816,0
2017-03-16,20.4,20.85,20.3,20.75,204106,0
2017-03-17,20.65,20.8,20.35,20.65,463152,0
2017-03-20,20.6,20.75,20.075,20.2,176652,0
2017-03-21,20.3,20.3,19.5,19.5,193210,0
2017-03-22,19.45,19.7,19.1,19.25,224676,0
2017-03-23,19.3,19.4,18.95,19.15,284340,0
2017-03-24,19.2,19.55,18.95,19.05,151664,0
2017-03-27,18.55,19.3,18.55,19.15,311182,0
2017-03-28,19.1,19.35,19,19.3,102077,0
2017-03-29,19.2,19.4,19,19.15,210842,0
2017-03-30,19.15,19.6,18.825,19,250392,0
2017-03-31,18.95,19.45,18.8,19.3,239800,0
2017-04-03,19.3,19.575,18.9,19.5,323187,0
2017-04-04,19.4,19.65,19,19.15,155143,0
2017-04-05,19.25,19.5,18.95,19.1,195708,0
2017-04-06,19.05,19.2,18.1,18.2,503604,0
2017-04-07,18.15,18.25,17.8,18,609932,0
2017-04-10,18,18.3,17.85,17.9,330284,0
2017-04-11,17.8,18.1,17.525,17.6,274539,0
2017-04-12,17.55,17.8,17.45,17.5,338014,0
2017-04-13,17.5,17.7,17.3,17.35,325144,0
2017-04-17,17.4,17.6,17.4,17.6,253134,0
2017-04-18,17.45,17.65,17.25,17.3,491918,0
2017-04-19,17.4,17.975,17.35,17.575,265044,0
2017-04-20,17.65,18.05,17.55,17.9,213494,0
2017-04-21,17.85,18.25,17.55,18.1,255341,0
2017-04-24,18.3,18.612,18.2,18.55,214249,0
2017-04-25,18.75,19.05,18.405,18.9,217719,0
2017-04-26,18.9,19.35,18.85,19.15,291689,0
2017-04-27,19.25,19.6,19.25,19.35,184724,0
2017-04-28,19.45,19.6,19.25,19.3,226164,0
2017-05-01,19.45,19.7,19.3245,19.65,211873,0
2017-05-02,19.85,20.05,19.55,19.65,275804,0
2017-05-03,19.5,19.75,19.35,19.6,256898,0
2017-05-04,19.75,19.8,19.3,19.6,265228,0
2017-05-05,21.5,22.45,20.65,22,944004,0
2017-05-08,22,22,20.8,21.15,803714,0
2017-05-09,21.25,22.145,21.2,21.6,506457,0
2017-05-10,21.6,22,21.4,21.85,308361,0
2017-05-11,21.75,22.15,21.6,21.85,560474,0
2017-05-12,21.85,22.05,21.6,21.75,220934,0
2017-05-15,21.85,22.075,21.55,21.9,198239,0
2017-05-16,21.9,22,21.65,21.9,196880,0
2017-05-17,21.5,21.55,20.65,20.7,336593,0
2017-05-18,20.6,20.8,20.35,20.55,370260,0
2017-05-19,20.6,21.05,20.55,20.7,245852,0
2017-05-22,20.75,21.3,20.75,21.3,213727,0
2017-05-23,21.3,21.65,21.25,21.4,197669,0
2017-05-24,21.45,21.6,21.225,21.3,183484,0
2017-05-25,21.35,21.55,21.15,21.2,254211,0
2017-05-26,22.45,23.35,22,23.15,1193983,0
2017-05-30,23.25,23.25,22.6,22.75,483452,0
2017-05-31,22.8,23.05,22.25,22.75,399621,0
2017-06-01,22.65,23.35,22.6,23.2,428836,0
2017-06-02,23.2,23.65,23.138,23.55,387354,0
2017-06-05,23.45,23.75,23.45,23.65,393900,0
2017-06-06,23.45,23.75,23.45,23.75,540194,0
2017-06-07,23.7,23.95,23.45,23.75,347263,0
2017-06-08,23.85,24,23.7,24,336292,0
2017-06-09,24.05,24.85,23.95,24.1,695976,0
2017-06-12,24,24,23.3,23.5,610017,0
2017-06-13,23.5,23.75,23.375,23.65,231625,0
2017-06-14,23.7,23.75,23.15,23.35,225235,0
2017-06-15,23,23.45,22.75,23.4,214468,0
2017-06-16,23.05,23.3,22.85,23.25,389850,0
2017-06-19,23.45,23.95,23.005,23.65,191868,0
2017-06-20,23.5,23.525,22.9,23.15,223411,0
2017-06-21,23.3,23.65,23.25,23.4,176799,0
2017-06-22,23.25,23.5,23.1,23.1,191543,0
2017-06-23,23.1,23.6,23.05,23.55,671086,0
2017-06-26,23.6,23.625,22.85,22.95,236025,0
2017-06-27,22.85,22.85,22.45,22.65,229751,0
2017-06-28,22.85,23.3,22.65,23.3,199994,0
2017-06-29,23.25,23.325,22.9,23,532566,0
2017-06-30,23.15,25.55,23.05,25.3,1525757,0
2017-07-03,24.5,25.25,23.9,24.05,364335,0
2017-07-05,24.05,24.105,23.35,24,568393,0
2017-07-06,23.85,23.95,23.6,23.75,277540,0
2017-07-07,23.9,24.55,23.85,24.05,265373,0
2017-07-10,23.45,24.4,23.45,24.3,425841,0
2017-07-11,24.2,24.75,24.05,24.7,367861,0
2017-07-12,24.85,25.95,24.85,25.95,1266035,0
2017-07-13,25.9,25.95,24.99,25.15,412117,0
2017-07-14,25.1,25.4,25.06,25.2,206723,0
2017-07-17,25.1,25.1,24.8,25,269271,0
2017-07-18,25,25.1505,24.55,24.75,224749,0
2017-07-19,24.75,24.95,24.6,24.95,209378,0
2017-07-20,25.05,25.1,22.75,22.8,1251705,0
2017-07-21,23.25,23.25,22.125,22.45,567528,0
2017-07-24,22.65,22.95,22.5,22.75,517199,0
2017-07-25,22.75,23.15,22.4005,22.9,301962,0
2017-07-26,23.05,23.25,22.45,22.8,311481,0
2017-07-27,22.95,23,22.15,22.5,270965,0
2017-07-28,22.3,22.6,21.95,22.15,283403,0
2017-07-31,22.15,22.8,21.75,21.95,401493,0
2017-08-01,22,22.475,21.95,22.35,361564,0
2017-08-02,22.4,22.4,21.775,21.95,395181,0
2017-08-03,21.95,22.1,21.65,22.05,426226,0
2017-08-04,22.575,23.9,22.15,23.4,769564,0
2017-08-07,23.3,23.6,22.85,23.1,417039,0
2017-08-08,23.1,23.7,23,23.35,457750,0
2017-08-09,23.1,23.7,23.05,23.5,270048,0
2017-08-10,23.3,23.5,23.075,23.1,364719,0
2017-08-11,23.35,23.55,23.1325,23.5,330739,0
