Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,31.737,32.48,31.39,32.48,737406,0
2017-01-04,32.53,33.124,32.183,33.124,425405,0
2017-01-05,32.63,32.777,31.986,32.43,354629,0
2017-01-06,32.63,32.728,32.084,32.183,285699,0
2017-01-09,32.134,32.233,31.538,31.687,263050,0
2017-01-10,31.885,32.581,31.687,32.581,332901,0
2017-01-11,32.531,32.531,32.029,32.431,234444,0
2017-01-12,32.183,32.283,31.687,32.035,281762,0
2017-01-13,32.183,33.177,32.134,32.73,290946,0
2017-01-17,32.879,32.928,32.035,32.333,326846,0
2017-01-18,32.431,32.431,31.736,31.985,191241,0
2017-01-19,32.134,32.333,31.19,31.24,191819,0
2017-01-20,31.34,31.588,31.041,31.34,238275,0
2017-01-23,31.14,31.29,29.998,30.545,413142,0
2017-01-24,30.495,31.34,30.495,31.14,252954,0
2017-01-25,31.29,32.333,31.29,32.283,219481,0
2017-01-26,32.283,32.431,31.885,32.035,193220,0
2017-01-27,32.183,32.183,31.29,31.438,149076,0
2017-01-30,31.24,31.24,30.644,30.892,201722,0
2017-01-31,30.892,31.32,30.644,31.19,182140,0
2017-02-01,31.538,31.885,31.24,31.836,252203,0
2017-02-02,32.035,32.134,31.19,31.538,181214,0
2017-02-03,31.885,32.333,31.637,32.233,228776,0
2017-02-06,32.183,32.183,31.34,31.538,159527,0
2017-02-07,31.538,31.736,30.892,31.388,199395,0
2017-02-08,31.24,31.836,31.091,31.786,290509,0
2017-02-09,31.885,32.68,31.885,32.431,182915,0
2017-02-10,32.68,33.426,32.459,33.326,335434,0
2017-02-13,33.524,33.872,33.154,33.474,249834,0
2017-02-14,33.524,34.121,33.177,34.071,262584,0
2017-02-15,33.822,34.121,33.574,34.071,234522,0
2017-02-16,33.872,34.269,33.674,34.22,300422,0
2017-02-17,34.021,34.17,33.674,34.121,274989,0
2017-02-21,34.319,34.469,33.76,33.971,156148,0
2017-02-22,34.021,34.567,33.773,34.369,152427,0
2017-02-23,34.469,34.517,33.524,33.723,188259,0
2017-02-24,33.326,33.326,32.829,33.177,230179,0
2017-02-27,33.276,33.773,33.028,33.474,242736,0
2017-02-28,33.326,33.376,32.779,32.779,232997,0
2017-03-01,33.474,34.667,33.474,34.071,265595,0
2017-03-02,34.021,34.567,34.021,34.419,196071,0
2017-03-03,34.319,34.617,33.674,33.922,137006,0
2017-03-06,33.624,33.872,33.276,33.723,272560,0
2017-03-07,33.376,33.674,31.588,31.935,318701,0
2017-03-08,31.935,32.476,31.637,31.736,255169,0
2017-03-09,31.687,31.736,30.495,30.693,330476,0
2017-03-10,28.558,29.254,28.133,28.806,924810,0
2017-03-13,28.558,28.806,28.409,28.607,386548,0
2017-03-14,28.508,29.154,28.409,28.955,279907,0
2017-03-15,29.104,30.197,28.955,30.048,329133,0
2017-03-16,30.147,30.147,29.402,29.402,275188,0
2017-03-17,29.551,29.75,29.104,29.601,487786,0
2017-03-20,29.551,29.824,29.054,29.204,603139,0
2017-03-21,29.352,29.352,27.416,27.614,863896,0
2017-03-22,29.551,29.75,27.366,29.352,1438218,0
2017-03-23,30.297,30.37,29.104,29.551,690063,0
2017-03-24,29.7,29.899,29.204,29.7,450430,0
2017-03-27,29.551,29.998,29.104,29.849,466237,0
2017-03-28,29.7,29.949,29.254,29.601,331578,0
2017-03-29,29.551,29.65,29.302,29.452,180972,0
2017-03-30,29.402,29.601,29.054,29.104,224496,0
2017-03-31,29.054,29.477,29.005,29.054,313300,0
2017-04-03,29.104,29.104,27.863,28.161,426436,0
2017-04-04,28.061,28.259,27.018,27.168,586437,0
2017-04-05,27.316,27.863,27.068,27.168,558319,0
2017-04-06,26.521,27.266,26.05,26.472,2363145,0
2017-04-07,26.472,26.72,25.876,26.025,1381378,0
2017-04-10,26.125,26.324,25.402,25.626,759988,0
2017-04-11,25.526,26.274,25.277,26.125,709467,0
2017-04-12,26.174,26.174,25.327,25.476,672671,0
2017-04-13,25.476,25.626,25.078,25.177,540207,0
2017-04-17,25.177,25.676,25.028,25.676,343004,0
2017-04-18,25.427,25.626,25.277,25.277,324487,0
2017-04-19,25.427,25.825,25.252,25.377,331023,0
2017-04-20,25.626,26.224,25.501,26.025,537706,0
2017-04-21,26.075,26.249,25.701,26.174,330228,0
2017-04-24,26.922,27.521,26.623,27.122,662557,0
2017-04-25,27.421,28.418,27.421,28.019,777020,0
2017-04-26,28.019,29.066,28.019,28.966,903892,0
2017-04-27,29.016,29.425,28.817,29.066,778869,0
2017-04-28,29.016,29.266,28.518,28.617,622799,0
2017-05-01,28.667,28.767,28.094,28.169,304827,0
2017-05-02,28.219,28.219,27.172,27.521,314231,0
2017-05-03,27.421,27.62,27.12,27.421,194783,0
2017-05-04,27.521,27.521,26.174,26.823,639590,0
2017-05-05,26.872,27.221,26.773,27.022,416560,0
2017-05-08,27.122,27.172,26.224,26.374,532397,0
2017-05-09,26.474,26.922,26.474,26.673,338976,0
2017-05-10,26.623,27.346,26.424,27.321,237608,0
2017-05-11,27.221,27.546,26.673,27.321,384732,0
2017-05-12,27.321,27.72,27.097,27.471,332644,0
2017-05-15,27.67,28.418,27.471,27.969,352240,0
2017-05-16,28.019,28.019,27.271,27.67,267999,0
2017-05-17,27.221,27.271,25.925,26.025,417782,0
2017-05-18,25.925,26.324,25.726,26.174,293360,0
2017-05-19,26.324,26.573,26.15,26.174,243977,0
2017-05-22,26.374,26.523,26.224,26.274,146433,0
2017-05-23,26.324,26.535,25.925,26.075,205094,0
2017-05-24,26.274,26.673,25.825,26.224,252656,0
2017-05-25,26.374,26.573,25.177,25.476,595975,0
2017-05-26,25.377,25.526,24.918,25.078,479946,0
2017-05-30,25.078,25.277,24.629,24.878,635808,0
2017-05-31,25.078,25.177,24.081,24.429,437094,0
2017-06-01,24.479,25.028,24.23,24.629,809622,0
2017-06-02,24.828,26.424,24.778,25.776,571388,0
2017-06-05,25.676,26.523,25.676,26.474,418324,0
2017-06-06,28.169,29.365,26.773,28.418,1662553,0
2017-06-07,28.617,28.657,26.796,26.922,766275,0
2017-06-08,26.723,28.069,26.623,27.371,608836,0
2017-06-09,27.57,28.717,27.57,28.219,608519,0
2017-06-12,28.318,28.767,27.77,28.518,569098,0
2017-06-13,28.617,29.465,28.418,29.315,497038,0
2017-06-14,29.415,29.415,28.493,29.166,577384,0
2017-06-15,28.717,29.315,28.717,29.016,444219,0
2017-06-16,28.867,29.161,28.667,28.867,474970,0
2017-06-19,29.315,29.914,28.966,29.764,717867,0
2017-06-20,29.764,29.822,28.966,29.216,1171615,0
2017-06-21,30.362,33.553,29.864,33.354,3391511,0
2017-06-22,33.553,33.852,32.706,33.802,1176248,0
2017-06-23,33.802,34.75,33.453,34.301,1244467,0
2017-06-26,34.451,35.198,34.102,35.049,818453,0
2017-06-27,35.049,35.099,34.052,34.102,523568,0
2017-06-28,34.6,35.597,34.55,35.149,956330,0
2017-06-29,35.149,35.149,33.703,34.65,522027,0
2017-06-30,34.949,35.348,34.65,34.899,537538,0
2017-07-03,35.149,36.495,34.849,36.295,512633,0
2017-07-05,36.295,36.295,34.55,34.949,1056093,0
2017-07-06,34.849,34.941,33.778,33.852,817833,0
2017-07-07,35.099,35.16,34.251,34.65,749994,0
2017-07-10,34.5,34.6,33.975,34.3,507967,0
2017-07-11,34.25,34.4,33.925,34.1,460191,0
2017-07-12,34.5,35.15,34.25,34.75,405894,0
2017-07-13,34.85,35.15,34.7,34.85,345980,0
2017-07-14,34.8,35.4,34.8,35.3,327420,0
2017-07-17,35.3,35.65,35.025,35.1,416288,0
2017-07-18,34.85,35,34.45,34.5,377331,0
2017-07-19,34.7,35.375,34.7,35,431916,0
2017-07-20,35.15,35.4,34.8187,35.15,409280,0
2017-07-21,35.2,35.45,34.5,34.8,521018,0
2017-07-24,34.8,35.95,34.7,35.45,298742,0
2017-07-25,35.75,36.125,35.575,36,379647,0
2017-07-26,36,36.575,35.85,36.4,463091,0
2017-07-27,36.55,36.9,35.775,36.6,530348,0
2017-07-28,36.5,36.65,36.05,36.35,230200,0
2017-07-31,36.6,37.2,36.25,36.8,624320,0
2017-08-01,37.05,37.15,36.5,37,522633,0
2017-08-02,37.1,37.1,34.65,35.35,466303,0
2017-08-03,35.55,35.86,35.05,35.2,245682,0
2017-08-04,35.35,35.9,34.9,35.85,346403,0
2017-08-07,35.95,36.4,35.4,35.5,451145,0
2017-08-08,35.45,35.7,34.9,35.05,298052,0
2017-08-09,34.9,35.4,34.175,34.4,387982,0
2017-08-10,34.25,34.6,33.85,33.95,308871,0
2017-08-11,33.75,35,33.35,34.85,456997,0
2017-08-14,35.25,35.775,34.9,35.4,463151,0
2017-08-15,35.4,35.4,34.55,34.85,275188,0
2017-08-16,35.05,35.2,34.65,34.7,217668,0
2017-08-17,34.6,34.95,33.725,33.9,389017,0
2017-08-18,33.55,34.95,33.15,34.35,597031,0
2017-08-21,34.35,34.65,33.95,34.6,195655,0
2017-08-22,34.7,35.2,34.7,35.05,201542,0
2017-08-23,34.8,35,34.65,34.85,275164,0
2017-08-24,35.05,35.2,34.2,34.35,288013,0
2017-08-25,34.45,34.575,34.225,34.55,501114,0
2017-08-28,34.8,37.125,34.8,36.4,1262117,0
2017-08-29,36.1,36.45,35.1,36.05,715039,0
2017-08-30,36.1,36.65,36,36.35,264306,0
2017-08-31,36.5,36.75,35.65,36.15,290925,0
2017-09-01,36.3,36.5,35.75,36.2,250997,0
2017-09-05,36.1,36.9,35.6,36.85,520348,0
2017-09-06,37,38.55,36.9,37,969707,0
2017-09-07,37.2,37.45,36.65,36.95,359880,0
2017-09-08,36.95,37.15,36.4256,36.55,348909,0
2017-09-11,37.1,38,36.75,37.4,598865,0
2017-09-12,37.4,38.15,37.1,38.05,453990,0
2017-09-13,38.05,39.2,37.96,39.1,808700,0
2017-09-14,38.95,39.725,38.7,39.5,669790,0
2017-09-15,39.75,40.45,39.5,40.05,1027637,0
2017-09-18,40.15,40.9,39.45,39.5,567284,0
2017-09-19,39.5,39.5,39.04,39.25,348653,0
2017-09-20,39.45,39.475,38.8,39.4,404560,0
2017-09-21,39.6,41.9,39.6,41.1,953203,0
2017-09-22,41.2,42.55,41.2,42.4,849650,0
2017-09-25,42.55,43.7,42.55,43.45,729701,0
2017-09-26,43.5,44.35,42.96,44.1,535472,0
2017-09-27,44.2,45.2,43.675,45.05,676861,0
