Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,11.135,11.144,11.077,11.087,36952,0
2017-01-04,11.135,11.135,11.087,11.116,26152,0
2017-01-05,11.144,11.144,11.068,11.082,37134,0
2017-01-06,11.096,11.096,11.033,11.057,41655,0
2017-01-09,11.096,11.126,11.028,11.038,71261,0
2017-01-10,11.018,11.039,10.998,11.028,38922,0
2017-01-11,11.059,11.089,11.03,11.04,26779,0
2017-01-12,11.03,11.054,10.99,10.99,27527,0
2017-01-13,10.98,11.04,10.98,11,50958,0
2017-01-17,11.02,11.089,11.02,11.069,63942,0
2017-01-18,11.059,11.098,11.04,11.04,42137,0
2017-01-19,11.01,11.069,10.998,11.069,52478,0
2017-01-20,11.049,11.089,11.01,11.04,47463,0
2017-01-23,11.069,11.069,11.03,11.059,59631,0
2017-01-24,11.079,11.128,11.062,11.128,44315,0
2017-01-25,11.128,11.166,11.079,11.166,80513,0
2017-01-26,11.166,11.205,11.146,11.205,40673,0
2017-01-27,11.215,11.254,11.2,11.224,41591,0
2017-01-30,11.215,11.274,11.173,11.264,72430,0
2017-01-31,11.264,11.264,11.118,11.118,49157,0
2017-02-01,11.146,11.166,11.098,11.137,36555,0
2017-02-02,11.166,11.175,11.098,11.137,50398,0
2017-02-03,11.185,11.185,11.146,11.163,31106,0
2017-02-06,11.166,11.175,11.128,11.128,28402,0
2017-02-07,11.137,11.185,11.137,11.185,55045,0
2017-02-08,11.166,11.205,11.166,11.195,29758,0
2017-02-09,11.185,11.185,11.108,11.121,35646,0
2017-02-10,11.118,11.165,11.118,11.146,43725,0
2017-02-13,11.168,11.187,11.139,11.187,28398,0
2017-02-14,11.158,11.177,11.148,11.158,91996,0
2017-02-15,11.129,11.148,11.12,11.139,55117,0
2017-02-16,11.158,11.177,11.127,11.168,51382,0
2017-02-17,11.168,11.177,11.139,11.168,35241,0
2017-02-21,11.158,11.168,11.139,11.158,52664,0
2017-02-22,11.129,11.168,11.129,11.148,40994,0
2017-02-23,11.168,11.217,11.158,11.197,42751,0
2017-02-24,11.207,11.265,11.207,11.256,43367,0
2017-02-27,11.256,11.306,11.256,11.306,62211,0
2017-02-28,11.306,11.366,11.285,11.364,63362,0
2017-03-01,11.344,11.364,11.326,11.349,66973,0
2017-03-02,11.354,11.373,11.326,11.344,23362,0
2017-03-03,11.344,11.364,11.316,11.335,59722,0
2017-03-06,11.364,11.403,11.335,11.403,90713,0
2017-03-07,11.383,11.383,11.286,11.306,66534,0
2017-03-08,11.296,11.306,11.177,11.177,38572,0
2017-03-09,11.197,11.197,11.012,11.042,68272,0
2017-03-10,11.061,11.094,11.002,11.002,52855,0
2017-03-13,10.994,11.068,10.974,11.004,39623,0
2017-03-14,10.964,11.053,10.906,10.906,64248,0
2017-03-15,10.906,11.063,10.906,11.044,84202,0
2017-03-16,11.044,11.112,11.024,11.102,52305,0
2017-03-17,11.063,11.102,11.053,11.063,48824,0
2017-03-20,11.063,11.083,11.024,11.083,67369,0
2017-03-21,11.083,11.093,11.058,11.073,79433,0
2017-03-22,11.112,11.112,11.053,11.083,49642,0
2017-03-23,11.073,11.083,11.014,11.063,68364,0
2017-03-24,11.073,11.112,11.053,11.093,42436,0
2017-03-27,11.112,11.17,11.102,11.16,48881,0
2017-03-28,11.16,11.18,11.122,11.141,60979,0
2017-03-29,11.16,11.239,11.149,11.239,75260,0
2017-03-30,11.239,11.239,11.17,11.2,52765,0
2017-03-31,11.21,11.289,11.16,11.289,59662,0
2017-04-03,11.2,11.249,11.2,11.249,70407,0
2017-04-04,11.249,11.296,11.239,11.259,26918,0
2017-04-05,11.259,11.267,11.239,11.259,13228,0
2017-04-06,11.259,11.269,11.198,11.259,78563,0
2017-04-07,11.259,11.279,11.21,11.229,37144,0
2017-04-10,11.279,11.279,11.229,11.269,51315,0
2017-04-11,11.281,11.281,11.212,11.221,90749,0
2017-04-12,11.251,11.251,11.212,11.212,53365,0
2017-04-13,11.231,11.291,11.231,11.251,85061,0
2017-04-17,11.251,11.281,11.251,11.281,55277,0
2017-04-18,11.281,11.291,11.261,11.281,60813,0
2017-04-19,11.271,11.271,11.192,11.192,103443,0
2017-04-20,11.192,11.197,11.118,11.152,67040,0
2017-04-21,11.192,11.202,11.142,11.162,56300,0
2017-04-24,11.192,11.192,11.133,11.162,55884,0
2017-04-25,11.172,11.172,11.133,11.142,39883,0
2017-04-26,11.162,11.202,11.152,11.192,45384,0
2017-04-27,11.192,11.192,11.162,11.182,15783,0
2017-04-28,11.212,11.212,11.182,11.202,42088,0
2017-05-01,11.212,11.221,11.172,11.182,46686,0
2017-05-02,11.192,11.192,11.152,11.162,27308,0
2017-05-03,11.162,11.182,11.114,11.114,47183,0
2017-05-04,11.114,11.114,11.044,11.084,83762,0
2017-05-05,11.064,11.084,11.025,11.054,51162,0
2017-05-08,11.044,11.074,10.985,11.015,98644,0
2017-05-09,11.035,11.054,10.946,11.025,124778,0
2017-05-10,11.025,11.044,11.025,11.044,54065,0
2017-05-11,11.079,11.088,11.029,11.039,65096,0
2017-05-12,11.069,11.085,11.049,11.059,30581,0
2017-05-15,11.079,11.099,11.049,11.089,75035,0
2017-05-16,11.099,11.109,11.089,11.109,34084,0
2017-05-17,11.157,11.177,11.119,11.177,60786,0
2017-05-18,11.147,11.177,11.119,11.167,67319,0
2017-05-19,11.187,11.187,11.129,11.157,56199,0
2017-05-22,11.217,11.217,11.089,11.157,70712,0
2017-05-23,11.177,11.226,11.148,11.148,45612,0
2017-05-24,11.167,11.197,11.167,11.19,21115,0
2017-05-25,11.197,11.216,11.147,11.177,41081,0
2017-05-26,11.177,11.207,11.157,11.187,23254,0
2017-05-30,11.177,11.217,11.177,11.217,36800,0
2017-05-31,11.226,11.226,11.21,11.217,23965,0
2017-06-01,11.226,11.236,11.187,11.226,40002,0
2017-06-02,11.236,11.256,11.226,11.246,22834,0
2017-06-05,11.256,11.316,11.226,11.226,58194,0
2017-06-06,11.226,11.256,11.197,11.197,43834,0
2017-06-07,11.207,11.226,11.197,11.207,36764,0
2017-06-08,11.217,11.217,11.147,11.147,36517,0
2017-06-09,11.157,11.167,11.109,11.147,34925,0
2017-06-12,11.138,11.207,11.129,11.129,54996,0
2017-06-13,11.133,11.192,11.133,11.172,30594,0
2017-06-14,11.182,11.214,11.173,11.192,53569,0
2017-06-15,11.142,11.149,11.083,11.093,56666,0
2017-06-16,11.083,11.113,11.083,11.103,35625,0
2017-06-19,11.113,11.152,11.112,11.147,37405,0
2017-06-20,11.162,11.182,11.123,11.152,51023,0
2017-06-21,11.162,11.192,11.158,11.182,30937,0
2017-06-22,11.172,11.182,11.133,11.182,23598,0
2017-06-23,11.182,11.182,11.143,11.152,23403,0
2017-06-26,11.172,11.172,11.142,11.152,38701,0
2017-06-27,11.182,11.182,11.113,11.162,13152,0
2017-06-28,11.182,11.182,11.152,11.172,14989,0
2017-06-29,11.182,11.182,11.142,11.142,28940,0
2017-06-30,11.172,11.182,11.103,11.182,70837,0
