Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,15.798,16.244,15.788,16.075,1640244,0
2017-01-04,16.145,16.333,16.05,16.165,1559370,0
2017-01-05,16.085,16.353,15.927,15.946,965593,0
2017-01-06,15.996,16.06,15.808,15.877,982379,0
2017-01-09,15.758,15.927,15.658,15.877,1149180,0
2017-01-10,15.946,16.522,15.946,16.422,1547292,0
2017-01-11,16.432,16.66,16.303,16.572,1597776,0
2017-01-12,16.562,16.819,16.249,16.73,1401982,0
2017-01-13,16.859,17.136,16.67,17.077,1681028,0
2017-01-17,17.087,17.107,16.864,16.987,1319700,0
2017-01-18,17.007,17.216,16.957,17.127,1845424,0
2017-01-19,17.295,17.401,16.992,17.117,1266151,0
2017-01-20,17.266,17.354,16.64,16.71,3296044,0
2017-01-23,16.829,16.977,16.601,16.67,1702587,0
2017-01-24,16.779,17.092,16.764,16.929,1721133,0
2017-01-25,17.077,17.662,17.067,17.523,1291830,0
2017-01-26,18.019,18.148,17.739,17.861,1399238,0
2017-01-27,18.038,18.098,17.588,17.881,895733,0
2017-01-30,17.881,17.9,17.186,17.424,1648382,0
2017-01-31,17.424,17.543,17.186,17.504,1899855,0
2017-02-01,17.999,20.469,17.95,20.032,4256189,0
2017-02-02,19.675,20.607,19.635,20.399,3480482,0
2017-02-03,20.489,21.113,20.25,20.964,2040385,0
2017-02-06,20.826,21.193,20.706,20.935,2006763,0
2017-02-07,21.013,21.51,20.973,21.183,1796259,0
2017-02-08,21.103,21.103,20.696,20.766,1600297,0
2017-02-09,20.896,21.063,20.736,20.776,1239990,0
2017-02-10,20.925,21.306,20.846,21.183,1289997,0
2017-02-13,21.213,21.311,20.766,20.935,1160944,0
2017-02-14,20.935,20.964,20.686,20.756,865569,0
2017-02-15,20.786,21.093,20.597,20.973,990462,0
2017-02-16,20.935,20.945,20.354,20.509,813058,0
2017-02-17,20.439,20.543,20.299,20.359,890494,0
2017-02-21,20.459,20.663,20.419,20.636,730588,0
2017-02-22,20.349,20.587,20.319,20.409,645582,0
2017-02-23,20.469,20.578,20.23,20.319,737267,0
2017-02-24,20.389,20.826,20.329,20.676,1164907,0
2017-02-27,20.676,20.973,20.627,20.886,852108,0
2017-02-28,20.856,20.993,20.666,20.973,1193484,0
2017-03-01,21.302,22.016,21.233,21.947,1813144,0
2017-03-02,21.957,22.025,21.45,21.51,1551765,0
2017-03-03,21.61,21.697,21.233,21.49,1061383,0
2017-03-06,21.223,21.389,20.866,21.103,1359420,0
2017-03-07,21.103,21.43,20.886,21.013,1140770,0
2017-03-08,21.013,21.143,20.627,20.646,842534,0
2017-03-09,20.736,20.806,20.142,20.28,1555612,0
2017-03-10,20.429,20.686,20.369,20.538,1166390,0
2017-03-13,20.499,20.587,20.29,20.519,634933,0
2017-03-14,20.29,20.399,19.943,20.379,784367,0
2017-03-15,20.587,20.816,20.419,20.726,732939,0
2017-03-16,20.846,20.973,20.686,20.766,1041462,0
2017-03-17,20.786,21.048,20.676,20.964,1097800,0
2017-03-20,20.964,20.973,20.538,20.676,658343,0
2017-03-21,20.746,20.756,19.972,20.092,800849,0
2017-03-22,20.032,20.494,19.933,20.221,790024,0
2017-03-23,20.181,20.514,20.102,20.359,807750,0
2017-03-24,20.389,20.706,20.211,20.309,789694,0
2017-03-27,20.012,20.142,19.626,20.142,867462,0
2017-03-28,20.092,20.202,19.873,20.112,729723,0
2017-03-29,20.002,20.309,19.923,20.201,894390,0
2017-03-30,20.201,20.399,19.844,20.032,792215,0
2017-03-31,20.032,20.578,20.002,20.519,1264683,0
2017-04-03,20.597,20.686,19.983,20.132,801127,0
2017-04-04,20.132,20.36,20.102,20.211,614674,0
2017-04-05,20.41,20.638,19.823,19.952,917515,0
2017-04-06,19.853,20.559,19.754,20.38,1097657,0
2017-04-07,20.23,20.4,20.082,20.191,1112173,0
2017-04-10,20.211,20.41,20.102,20.221,807074,0
2017-04-11,20.23,20.584,20.112,20.549,716967,0
2017-04-12,20.51,20.51,19.524,19.992,1338819,0
2017-04-13,19.932,20.151,19.624,19.634,1043799,0
2017-04-17,19.704,19.872,19.544,19.823,817539,0
2017-04-18,19.644,19.744,18.908,19.246,1376809,0
2017-04-19,19.395,19.395,18.968,19.077,1643578,0
2017-04-20,19.276,19.559,19.146,19.544,948848,0
2017-04-21,19.524,19.724,19.266,19.614,1539048,0
2017-04-24,19.962,20.365,19.862,20.25,1556655,0
2017-04-25,20.559,23.891,20.42,23.582,5955399,0
2017-04-26,23.572,24.03,23.379,23.622,2262062,0
2017-04-27,23.752,23.752,22.941,23.046,1238596,0
2017-04-28,23.136,23.143,22.618,22.658,858561,0
2017-05-01,22.846,23.006,22.448,22.758,980901,0
2017-05-02,22.816,22.936,22.17,22.25,1022740,0
2017-05-03,22.07,22.25,21.962,22.2,696682,0
2017-05-04,22.2,22.408,21.594,21.722,584257,0
2017-05-05,21.792,22.022,21.554,21.972,973520,0
2017-05-08,21.932,22.11,21.649,21.702,987860,0
2017-05-09,21.732,22.1,21.653,21.732,869784,0
2017-05-10,21.732,21.812,21.484,21.653,715515,0
2017-05-11,21.644,21.782,21.285,21.742,479136,0
2017-05-12,21.614,21.682,21.196,21.226,499032,0
2017-05-15,21.305,21.594,21.216,21.226,514361,0
2017-05-16,21.285,21.384,20.838,21.384,519199,0
2017-05-17,20.878,21.086,20.574,20.638,859803,0
2017-05-18,20.608,20.868,20.221,20.688,707928,0
2017-05-19,20.838,21.344,20.768,21.036,782114,0
2017-05-22,21.136,21.256,20.828,21.046,477973,0
2017-05-23,21.066,21.634,20.848,21.494,645213,0
2017-05-24,21.584,21.742,21.096,21.315,717389,0
2017-05-25,21.354,21.594,21.086,21.136,709314,0
2017-05-26,21.096,21.196,20.738,20.768,771652,0
2017-05-30,20.688,20.956,20.191,20.191,1457379,0
2017-05-31,20.191,20.191,19.276,19.882,1869645,0
2017-06-01,20.26,20.36,19.837,20.24,1628604,0
2017-06-02,20.25,20.608,20.102,20.171,746177,0
2017-06-05,20.122,20.161,19.862,19.922,692164,0
2017-06-06,19.704,20.613,19.684,20.45,1163322,0
2017-06-07,20.41,20.966,20.41,20.46,877391,0
2017-06-08,20.519,21.166,20.519,20.798,911124,0
2017-06-09,20.868,21.315,20.788,20.986,650003,0
2017-06-12,21.006,21.136,20.738,21.016,587224,0
2017-06-13,21.156,21.419,21.016,21.096,871342,0
