Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,17.959,17.959,17.094,17.191,35642,0
2017-01-04,17.287,17.863,16.279,16.902,21482,0
2017-01-05,16.855,16.902,16.509,16.902,4708,0
2017-01-06,16.711,17.438,16.711,16.855,11022,0
2017-01-09,16.855,17.67,16.711,16.711,10037,0
2017-01-10,17.028,17.028,16.471,16.902,6600,0
2017-01-11,16.902,16.902,16.758,16.855,5565,0
2017-01-12,16.807,17.815,16.807,17.238,3332,0
2017-01-13,16.951,17.528,16.951,17.431,3834,0
2017-01-17,17.474,17.478,16.91,17.478,3809,0
2017-01-18,17.523,18.103,17.191,17.911,8965,0
2017-01-19,17.863,18.2,17.815,18.054,5276,0
2017-01-20,18.054,18.054,16.902,17.431,6207,0
2017-01-23,17.431,18.242,17.143,17.143,5488,0
2017-01-24,17.72,17.72,17.478,17.478,2230,0
2017-01-25,17.766,17.791,17.143,17.143,9247,0
2017-01-26,17.431,18.007,17.238,17.528,7107,0
2017-01-27,17.094,17.358,16.711,16.807,17643,0
2017-01-30,17.037,17.215,16.998,16.998,1849,0
2017-01-31,17.003,17.094,16.134,16.254,51230,0
2017-02-01,16.514,16.514,15.895,15.942,12400,0
2017-02-02,16.183,16.567,16.038,16.567,9869,0
2017-02-03,17.383,17.766,17.094,17.383,66162,0
2017-02-06,17.574,17.67,17.388,17.574,12849,0
2017-02-07,17.383,17.478,16.959,17.094,14709,0
2017-02-08,17.238,17.238,16.951,17.143,7661,0
2017-02-09,17.238,17.335,17.179,17.191,5500,0
2017-02-10,17.287,17.287,17.143,17.287,14418,0
2017-02-13,17.287,17.335,17.191,17.287,29548,0
2017-02-14,17.395,17.451,17.257,17.451,5358,0
2017-02-15,17.354,17.451,17.257,17.257,5341,0
2017-02-16,17.403,17.451,17.307,17.354,6487,0
2017-02-17,17.451,17.451,17.354,17.354,4483,0
2017-02-21,17.307,17.403,17.112,17.257,7806,0
2017-02-22,17.257,17.403,17.257,17.307,2762,0
2017-02-23,17.354,17.408,17.112,17.307,51571,0
2017-02-24,17.16,17.307,16.967,16.967,41569,0
2017-02-27,17.16,17.307,17.112,17.209,11436,0
2017-02-28,17.257,17.354,17.112,17.257,12940,0
2017-03-01,17.354,17.694,17.112,17.307,30050,0
2017-03-02,16.967,17.936,16.967,17.403,13450,0
2017-03-03,17.307,17.887,17.307,17.742,9860,0
2017-03-06,17.858,17.858,17.451,17.5,8585,0
2017-03-07,17.112,17.791,17.112,17.791,10301,0
2017-03-08,17.597,18.276,17.597,18.226,10430,0
2017-03-09,18.179,18.518,17.694,17.694,15996,0
2017-03-10,17.742,18.323,17.015,17.985,7994,0
2017-03-13,18.13,18.469,17.307,17.742,11898,0
2017-03-14,17.5,18.13,17.5,17.791,8855,0
2017-03-15,18.179,18.226,17.742,18.033,16736,0
