Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,836.44,849.08,835.58,848.67,17191,0
2017-01-04,849.23,857.15,846.13,852.64,17372,0
2017-01-05,838.78,866.54,838.78,846.89,25305,0
2017-01-06,848.62,857.05,848.62,851.73,13889,0
2017-01-09,852.81,853.06,833.29,844.88,14243,0
2017-01-10,844.59,848.07,841.16,841.18,13880,0
2017-01-11,841.73,845.52,838.32,838.59,14445,0
2017-01-12,841.78,842.65,838.94,842.31,9605,0
2017-01-13,845.97,845.97,840.08,843.31,13214,0
2017-01-17,840.28,849.86,837.49,846.67,17174,0
2017-01-18,849.39,867.45,849.39,862.99,28445,0
2017-01-19,863.01,891.71,862.65,871.49,45202,0
2017-01-20,873.58,884.03,866.25,875.8,13249,0
2017-01-23,874.92,880.02,874.3,876.83,7683,0
2017-01-24,878.54,895.02,878.54,890.91,31434,0
2017-01-25,898.6,913.05,891.63,905.87,20944,0
2017-01-26,907.01,907.01,892.14,898.91,19923,0
2017-01-27,895.83,903.42,880.55,890.8,28805,0
2017-01-30,888.92,899,880.56,891.61,14698,0
2017-01-31,909.99,909.99,886.62,908.76,25253,0
2017-02-01,911.6,917,891.99,897.64,17526,0
2017-02-02,894.08,913.75,888.04,913.75,19463,0
2017-02-03,911.28,911.28,894.09,906.51,14855,0
2017-02-06,900.61,912.7,898.02,906.51,11503,0
2017-02-07,890.02,896.97,882.53,890.31,26681,0
2017-02-08,888.73,891.61,885.04,888.41,12319,0
2017-02-09,884.13,896.09,883.19,883.19,19292,0
2017-02-10,889.02,898.55,886.78,895.79,14453,0
2017-02-13,896.75,904.67,895.12,901.01,11022,0
2017-02-14,895.4,903.85,895.4,902.81,8738,0
2017-02-15,902.82,906.27,895.76,906.27,9900,0
2017-02-16,901.05,913.59,901.05,909.26,21868,0
2017-02-17,904.45,914,893.14,910.32,14163,0
2017-02-21,891.68,946.13,891.68,932.18,34351,0
2017-02-22,935.22,938.97,914,918.93,20819,0
2017-02-23,926.29,942.22,920.52,933.11,52627,0
2017-02-24,936.94,946.96,932.58,937.84,14519,0
2017-02-27,932.43,939.95,920.25,934.77,34470,0
2017-02-28,938.1,939.74,930.1,935.23,35156,0
2017-03-01,936.96,947.9,932.07,945.96,30242,0
2017-03-02,942.97,942.97,933.16,936.7,27980,0
2017-03-03,934.97,934.97,926.05,927.88,12799,0
2017-03-06,932.13,932.23,919.53,926.56,11578,0
2017-03-07,922.99,927.48,917.3,921.34,15507,0
2017-03-08,918.48,925.98,918.48,922.43,7057,0
2017-03-09,920.6,928.43,911.2,920.02,11241,0
2017-03-10,921.61,922.01,916.62,920.99,9856,0
2017-03-13,917.71,920,915.75,918.59,9906,0
2017-03-14,913,924.69,904.04,916.74,17883,0
2017-03-15,911.2,918.99,903.21,911.59,26718,0
2017-03-16,909.7,917.99,901.98,908.75,21751,0
2017-03-17,910.2,914.98,904.07,907.17,16546,0
2017-03-20,904.54,908.02,900.51,902.27,17544,0
2017-03-21,900.4,906,890.545,891.15,22197,0
2017-03-22,892.18,900.98,882.18,890.75,21979,0
2017-03-23,890.15,901.105,879.31,882.5,22471,0
2017-03-24,879.3,892.595,879.3,885.59,8282,0
2017-03-27,881.95,893.9,876,886.85,21795,0
2017-03-28,883.01,892.415,880.9,884.01,10688,0
2017-03-29,883.82,884.1,873.602,881.45,10031,0
2017-03-30,880.95,885.23,875.15,882.95,7809,0
2017-03-31,881.01,885.26,875.02,879.88,16966,0
2017-04-03,880,886.43,875.07,882.21,12316,0
2017-04-04,882.12,889.88,876.465,879.12,11571,0
2017-04-05,881.04,881.04,865.79,869.11,43414,0
2017-04-06,867.97,867.97,862,866.89,9993,0
2017-04-07,860.285,863.95,857.64,860.66,16600,0
2017-04-10,862.335,872.93,857.99,867.43,10526,0
2017-04-11,867.2,879.35,867,877.5,17392,0
2017-04-12,872.4,874.74,863.02,863.08,7091,0
2017-04-13,864.822,869.25,859.26,860.32,4458,0
2017-04-17,865.45,865.45,856,863,9749,0
2017-04-18,862.11,871.18,857.7,869.69,14387,0
2017-04-19,862.03,873.75,862.03,864.53,15247,0
2017-04-20,869.01,869.01,857.91,859.83,12507,0
2017-04-21,860,864,854.95,862.56,14282,0
2017-04-24,863.03,866.82,859.13,863.7,12940,0
2017-04-25,864.01,867.85,862,865,8405,0
2017-04-26,862.209,872.475,862.209,867,5431,0
2017-04-27,861.25,870.49,861.05,867,7023,0
2017-04-28,862,862,847,858.94,20705,0
2017-05-01,863.76,865.57,847.1,857.14,20000,0
2017-05-02,856.01,858,845.41,849.92,28261,0
2017-05-03,851.3,900.05,851.3,872.04,40997,0
2017-05-04,872.2,874,862,867.34,14352,0
2017-05-05,871,871,862.5,864.1,12237,0
2017-05-08,868.03,869.45,862.37,865,16603,0
2017-05-09,868.95,870.987,865.15,868.75,14359,0
2017-05-10,868.67,875.995,868.67,871.06,9585,0
2017-05-11,871.005,872,867.43,868.96,12528,0
2017-05-12,868.15,869,852.295,854.7,23410,0
2017-05-15,853.05,872.73,853.05,867.52,16419,0
2017-05-16,865.15,866.84,858.08,860.91,21823,0
2017-05-17,853.51,865.5,853.51,862.2,15852,0
2017-05-18,858.3,868.99,855.6,864.22,11976,0
2017-05-19,862.18,867.99,857.71,861.55,10198,0
2017-05-22,859.01,876.13,854.981,870.43,32599,0
2017-05-23,866.11,871.67,864.13,870,14349,0
2017-05-24,869.01,879.8,863.88,876.89,25151,0
2017-05-25,873.03,877,870,874.17,14413,0
2017-05-26,872.46,883.9,869.02,878.35,23615,0
2017-05-30,873.35,875.6,862.12,863.66,16839,0
2017-05-31,861.72,861.99,854.2,860.08,17305,0
2017-06-01,860.08,873,857.41,867.96,14964,0
2017-06-02,865.57,872.46,860.13,870.57,27188,0
2017-06-05,865.5,871.845,863.4,866.84,14759,0
2017-06-06,866.84,870.31,863.975,866.58,15772,0
2017-06-07,864.65,870.44,864.65,868.66,9917,0
2017-06-08,866.02,868.85,862.41,868.85,21124,0
2017-06-09,870.52,873.99,866.11,870.1,21062,0
2017-06-12,866.52,872.8,865.705,872.8,28693,0
2017-06-13,875.99,885.36,875.99,879.92,16239,0
2017-06-14,882.05,882.05,870.18,879.7,23700,0
2017-06-15,878.99,880,874.62,878.85,19094,0
2017-06-16,879.04,880,873.87,874.2,42609,0
2017-06-19,877.9,879,866.68,866.68,9931,0
2017-06-20,864.65,868.355,858,868.32,22551,0
2017-06-21,871.4,872,864.14,869.18,14174,0
2017-06-22,867.3,867.3,860,864,10752,0
2017-06-23,866.98,868.49,861.07,862.44,24422,0
2017-06-26,864.3,868.75,854.53,865.92,16946,0
2017-06-27,861.83,869.98,861.83,869.62,8612,0
2017-06-28,870,873.94,867.52,869.43,9993,0
2017-06-29,870.02,870.02,857.32,870,6870,0
2017-06-30,870,870,866.1,868.63,13971,0
2017-07-03,870,888,869.92,876.98,29674,0
2017-07-05,874.85,877.42,864.617,864.8,19526,0
2017-07-06,865.09,865.09,853.45,853.45,11528,0
2017-07-07,853,861.715,853,859.9,9516,0
2017-07-10,858.63,863.603,853.48,856.74,13663,0
2017-07-11,855.89,855.89,846.01,852,19611,0
2017-07-12,854.35,864.9,854.35,864.9,26029,0
2017-07-13,862.73,871,855.21,856.95,29175,0
2017-07-14,856.46,856.46,845.1,852.5,30158,0
2017-07-17,853.4,864.25,852.05,863.2,32452,0
2017-07-18,861.97,864.89,854.995,861.61,27251,0
2017-07-19,861.01,873.802,857.34,866.6,26171,0
2017-07-20,867.35,871.95,859.77,869.63,38588,0
2017-07-21,867.5,868.44,866.35,868.44,4340,0
2017-07-24,868.9,868.91,861.905,865.15,9701,0
2017-07-25,866.6,872.51,863.64,871,10361,0
2017-07-26,872,874,856.755,858.54,21948,0
2017-07-27,860.5,861.095,851.5,856.54,13068,0
2017-07-28,855.85,864.66,848.3,859.33,19638,0
2017-07-31,861.33,865,858.03,864.6,10148,0
2017-08-01,863.95,867.5,861.27,863.27,8698,0
2017-08-02,864.7,864.7,850.41,852.79,16687,0
2017-08-03,850,857.69,847.82,855.7,6796,0
2017-08-04,856,856.75,850,850.1,13863,0
2017-08-07,851,852.84,840.38,851.8,20833,0
2017-08-08,852.32,855.4,847.5,852.7,20447,0
2017-08-09,849.69,852.11,844.02,844.29,13056,0
2017-08-10,843.51,855,842.25,852.58,16713,0
2017-08-11,852,859.99,850.45,859.36,17468,0
2017-08-14,858.16,860,849.005,851.08,16250,0
2017-08-15,850.8,853.22,848,851.01,7192,0
2017-08-16,850.92,855.145,850,850.65,9392,0
2017-08-17,857.9,869.425,857.9,864.87,34510,0
2017-08-18,863.91,864.99,861.09,864.63,10530,0
2017-08-21,862.73,865.8,862,862,9310,0
2017-08-22,863.21,865.335,862.58,862.58,11878,0
2017-08-23,862.5,869.5,862.5,866.8,14874,0
2017-08-24,865.27,865.78,862.001,864.18,14765,0
2017-08-25,862.87,871.37,862.87,870,25797,0
2017-08-28,867.76,869.24,865,865.4,15992,0
2017-08-29,864.6,867.88,863.78,863.78,10479,0
2017-08-30,865.99,869,864,866.51,21471,0
