Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,7.78,7.83,7.53,7.72,270460,0
2017-01-04,7.74,7.95,7.65,7.92,159634,0
2017-01-05,7.88,7.93,7.75,7.83,112420,0
2017-01-06,7.86,7.86,7.7,7.72,98581,0
2017-01-09,7.68,7.81,7.61,7.67,100920,0
2017-01-10,7.67,7.92,7.67,7.88,143898,0
2017-01-11,7.97,7.99,7.82,7.97,147958,0
2017-01-12,7.96,7.96,7.73,7.79,114403,0
2017-01-13,7.78,7.94,7.78,7.9,137119,0
2017-01-17,7.83,7.85,7.75,7.77,233061,0
2017-01-18,7.78,7.89,7.75,7.78,122295,0
2017-01-19,7.81,7.86,7.67,7.7,194678,0
2017-01-20,7.71,7.84,7.65,7.67,97509,0
2017-01-23,7.63,7.7175,7.54,7.55,190221,0
2017-01-24,7.6,7.75,7.6,7.72,163083,0
2017-01-25,7.82,7.98,7.8,7.87,165504,0
2017-01-26,7.9,7.99,7.71,7.74,96548,0
2017-01-27,7.83,7.9,7.79,7.84,72177,0
2017-01-30,7.73,7.7395,7.61,7.64,93998,0
2017-01-31,7.57,7.64,7.41,7.58,125619,0
2017-02-01,7.66,7.76,7.63,7.73,125413,0
2017-02-02,7.73,7.88,7.68,7.76,141254,0
2017-02-03,7.81,7.85,7.75,7.75,97270,0
2017-02-06,7.75,7.7674,7.49,7.52,134649,0
2017-02-07,7.49,7.62,7.41,7.47,100581,0
2017-02-08,7.43,7.5,7.21,7.31,115657,0
2017-02-09,7.32,7.43,7.29,7.39,118924,0
2017-02-10,7.39,7.48,7.3574,7.4,87369,0
2017-02-13,7.43,7.62,7.43,7.54,164663,0
2017-02-14,7.52,7.58,7.38,7.53,186225,0
2017-02-15,7.52,8.42,7.47,7.99,1131840,0
2017-02-16,8.15,8.3,8.03,8.17,534062,0
2017-02-17,8.25,8.37,8.08,8.3,380986,0
2017-02-21,8.95,9.1,8.58,8.94,751148,0
2017-02-22,8.95,9.15,8.9,9.03,551142,0
2017-02-23,9.04,9.25,8.77,8.96,564758,0
2017-02-24,8.82,9.13,8.8,8.94,241824,0
2017-02-27,8.98,9.11,8.93,9.02,352164,0
2017-02-28,8.99,9.005,8.72,8.74,265659,0
2017-03-01,8.94,9.03,8.79,8.91,269296,0
2017-03-02,8.9,8.9,8.64,8.67,285274,0
2017-03-03,8.67,8.77,8.55,8.7,227396,0
2017-03-06,8.65,8.88,8.5438,8.76,393563,0
2017-03-07,8.76,8.84,8.64,8.65,268575,0
2017-03-08,8.64,8.87,8.63,8.73,233703,0
2017-03-09,8.76,8.812,8.58,8.59,173899,0
2017-03-10,8.65,8.739,8.545,8.6,259694,0
2017-03-13,8.67,8.8405,8.65,8.82,231194,0
2017-03-14,8.78,8.88,8.63,8.83,189574,0
2017-03-15,8.85,8.97,8.79,8.94,240910,0
2017-03-16,8.99,9.15,8.96,9.02,270040,0
2017-03-17,8.96,9.19,8.77,9.15,334729,0
2017-03-20,9.15,9.18,9,9.15,222370,0
2017-03-21,9.16,9.19,8.65,8.66,423442,0
2017-03-22,8.66,8.79,8.53,8.62,211651,0
2017-03-23,8.63,8.83,8.56,8.8,305512,0
2017-03-24,8.82,8.94,8.775,8.85,294212,0
2017-03-27,8.61,9.02,8.61,8.96,296274,0
2017-03-28,8.93,9,8.72,8.73,184340,0
2017-03-29,8.75,8.89,8.7141,8.85,255399,0
2017-03-30,8.84,8.92,8.775,8.79,313082,0
2017-03-31,8.79,8.99,8.72,8.9,507764,0
2017-04-03,8.93,9.38,8.93,9.15,1107372,0
2017-04-04,9.1,9.2,8.78,8.87,574848,0
2017-04-05,8.9,9.08,8.78,8.84,395226,0
2017-04-06,8.82,8.91,8.69,8.885,244273,0
2017-04-07,8.82,9.02,8.81,9,302682,0
2017-04-10,9.9,10.01,9.47,9.63,8883557,0
2017-04-11,9.59,9.74,9.56,9.69,1949846,0
2017-04-12,9.7,9.8,9.66,9.7,2810601,0
2017-04-13,9.7,9.75,9.7,9.74,2122971,0
2017-04-17,9.76,9.79,9.61,9.69,1501652,0
2017-04-18,9.69,9.74,9.64,9.72,1479369,0
2017-04-19,9.72,9.77,9.68,9.76,1222323,0
2017-04-20,9.75,9.77,9.69,9.73,596231,0
2017-04-21,9.72,9.76,9.69,9.73,623732,0
2017-04-24,9.73,9.76,9.7,9.74,910282,0
2017-04-25,9.75,9.79,9.71,9.76,797312,0
2017-04-26,9.75,9.8,9.73,9.8,1383303,0
2017-04-27,9.8,9.905,9.77,9.87,1155230,0
2017-04-28,9.87,9.87,9.77,9.8,845653,0
