Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,103.25,103.28,101.99,102.73,1389456,0
2017-01-04,103.26,104.72,102.78,103.66,1511694,0
2017-01-05,103.95,104.65,103.49,104.32,1462546,0
2017-01-06,104.51,104.68,103,104.33,1831755,0
2017-01-09,104.14,106.57,104.14,106.37,1170222,0
2017-01-10,109.85,115.25,109.84,113,3997048,0
2017-01-11,113.32,115.47,112.76,114.06,2499762,0
2017-01-12,113.04,114.21,111.32,113.74,1555905,0
2017-01-13,113.93,114.72,113.42,114.51,1040549,0
2017-01-17,113.53,115.06,113.38,114.76,1249616,0
2017-01-18,114.97,115.31,114.04,114.78,907734,0
2017-01-19,114.42,114.69,113.25,113.89,940113,0
2017-01-20,114.11,114.65,112.53,112.98,1410137,0
2017-01-23,112.72,113.78,112.72,113.49,1377882,0
2017-01-24,113.26,114.65,112.84,113.87,1344232,0
2017-01-25,113.87,115.5,113.7,115.25,1494050,0
2017-01-26,115.22,115.57,114.24,114.66,1154409,0
2017-01-27,115.14,117.11,114.83,116.27,1220404,0
2017-01-30,116.15,116.15,114.26,114.7,2867605,0
2017-01-31,115.17,119.69,115.17,117.64,2980629,0
2017-02-01,118.11,118.54,116.66,117.82,1470114,0
2017-02-02,117.06,117.63,116.36,116.93,1695698,0
2017-02-03,117.51,118.26,116.94,117.45,1025137,0
2017-02-06,117.09,117.58,116.04,116.55,1081482,0
2017-02-07,117.14,117.69,116.42,117.42,804851,0
2017-02-08,117.18,117.53,116.16,116.46,1017014,0
2017-02-09,116.79,117.41,116.42,116.91,1007956,0
2017-02-10,116.85,117.12,116.18,116.64,785154,0
2017-02-13,116.74,117.43,116.55,117.06,663865,0
2017-02-14,116.69,117.06,115.99,116.49,1136523,0
2017-02-15,116.07,117.06,116.02,116.62,1167125,0
2017-02-16,116.88,117.31,115.18,115.63,1499604,0
2017-02-17,115.52,116.18,114.64,116.18,1228152,0
2017-02-21,116.25,116.86,115.85,116.48,1504756,0
2017-02-22,116.18,116.56,115.67,116.21,1335800,0
2017-02-23,116.34,116.7,114.8,115.69,1472394,0
2017-02-24,115.22,116.38,114.95,116.23,996156,0
2017-02-27,116.41,116.61,115.64,116.27,1587640,0
2017-02-28,116.28,116.79,115.94,116.39,1251598,0
2017-03-01,116.87,118.74,116.66,118.19,1108405,0
2017-03-02,117.81,117.91,116.83,117.33,776838,0
2017-03-03,117.24,117.69,116.61,117.59,712298,0
2017-03-06,116.8,117.07,116.24,116.53,856847,0
2017-03-07,116.14,116.64,115.52,116.38,892916,0
2017-03-08,116.39,117.2,115.95,116.91,910222,0
2017-03-09,117.15,118.74,116.27,118.47,1123116,0
2017-03-10,118.54,119.68,118.54,119.36,1417760,0
2017-03-13,119.53,119.92,118.5,119.07,1640509,0
2017-03-14,118.49,118.99,117.77,117.98,967333,0
2017-03-15,118.4,119.45,117.88,118.93,1022320,0
2017-03-16,119.48,119.48,118.15,118.7,1087814,0
2017-03-17,118.64,121.37,118.14,120.95,2303529,0
2017-03-20,120.88,121.55,120.38,120.93,1350971,0
2017-03-21,121.28,122.43,119.88,120.26,1347160,0
2017-03-22,120.24,121.68,119.88,120.66,1011801,0
2017-03-23,120.52,121,119.39,119.68,1005661,0
2017-03-24,119.68,120.39,119.59,119.94,720752,0
2017-03-27,118.79,119.73,118.12,119.57,1458780,0
2017-03-28,120.17,120.74,119.22,120.47,894203,0
2017-03-29,120.36,121.29,120.26,120.89,509438,0
2017-03-30,120.49,121.43,120.42,120.88,528591,0
2017-03-31,120.31,121.98,120.04,121.63,864333,0
2017-04-03,121.5,121.8,119.8,120.87,975620,0
2017-04-04,121.16,121.32,119.23,120.29,579289,0
2017-04-05,120.28,121.07,119.57,119.7,787008,0
2017-04-06,119.94,119.99,119.1,119.72,889418,0
2017-04-07,119.64,119.95,119.29,119.4,438487,0
2017-04-10,119.5,120.29,119.29,119.55,459665,0
2017-04-11,119.33,119.55,118.78,119.1,499760,0
2017-04-12,118.44,119.12,118.06,118.7,660065,0
2017-04-13,118.56,119.75,117.88,119.05,691116,0
2017-04-17,119.54,120.68,119.26,120.68,557860,0
2017-04-18,120.1,120.42,118.7,119.09,956814,0
2017-04-19,119.72,120.3,119.05,119.78,800643,0
2017-04-20,119.85,121.77,118.98,121.37,836758,0
2017-04-21,121.18,121.58,120.33,120.71,817468,0
2017-04-24,121.99,123.04,121.34,122.79,906786,0
2017-04-25,122.92,124.26,122.53,124,1081109,0
2017-04-26,124.15,124.92,123.48,124.82,1751902,0
2017-04-27,115.04,118.04,114.54,117.64,5929963,0
2017-04-28,117.29,119.42,116.57,119.17,2373084,0
2017-05-01,119.21,121.47,118.53,120.34,2204443,0
2017-05-02,120.42,120.77,119.81,120.15,1164728,0
2017-05-03,119.98,120.25,118.14,118.95,1088595,0
2017-05-04,118.87,119.2,115.72,116.39,2353376,0
2017-05-05,117,117,115.29,116.08,1507098,0
2017-05-08,116.15,116.75,115.57,116.45,1237934,0
2017-05-09,116.39,118.38,116.34,118.2,1459604,0
2017-05-10,118.03,119.23,117.58,119.01,1354989,0
2017-05-11,119.35,120.68,118.18,120.54,2021278,0
2017-05-12,120.38,122.45,120.07,120.78,2036573,0
2017-05-15,120.5,122.64,119.62,121.85,2530066,0
2017-05-16,119.67,121.22,117.94,119.3,3884139,0
2017-05-17,118.53,119.08,116.91,117.26,1774800,0
2017-05-18,117.26,118.14,116.36,116.8,1094036,0
2017-05-19,117.11,117.49,115.76,117.21,997068,0
2017-05-22,117.6,117.6,116.47,117.33,1020027,0
2017-05-23,117.53,117.83,116.82,117.35,1262164,0
2017-05-24,117.44,118.72,116.94,118.63,1169674,0
2017-05-25,118.88,119.41,118.49,118.82,633938,0
2017-05-26,118.97,119.17,118.44,118.76,651010,0
2017-05-30,118.16,118.58,117.56,117.97,522792,0
2017-05-31,117.97,118.93,117.14,118.74,820735,0
2017-06-01,119.2,122.57,118.83,122.19,1639155,0
2017-06-02,121.27,123.86,121.27,123.45,1398744,0
2017-06-05,123.85,123.85,122.71,123.44,1034201,0
2017-06-06,123.02,123.95,123.02,123.68,1123141,0
2017-06-07,124.01,124.23,123.41,123.86,839003,0
2017-06-08,124.05,125.06,123.41,124.67,1033241,0
2017-06-09,124.69,125.44,123.25,124.51,1337448,0
2017-06-12,124.08,124.59,122.44,124.5,1027896,0
2017-06-13,124.26,125.27,124.04,124.97,651028,0
2017-06-14,125.47,125.5,124.46,125.1,806582,0
2017-06-15,124.36,125.7,123.92,125.34,854766,0
2017-06-16,125.7,125.88,124.93,125.42,1088329,0
2017-06-19,125.72,126.77,125.3,126.59,915981,0
2017-06-20,126.76,127.39,126.59,126.72,873124,0
2017-06-21,127.33,128.7,126.5,128.25,1095184,0
2017-06-22,128.27,129.93,128.27,129.12,1146260,0
2017-06-23,129.38,129.38,128.59,128.82,3311186,0
2017-06-26,129.07,129.55,128.21,128.79,1019018,0
2017-06-27,128.55,128.84,127.52,127.99,928833,0
2017-06-28,128.88,129.15,128.1,128.24,1123967,0
2017-06-29,128.67,128.68,126.74,127.63,1314087,0
2017-06-30,127.63,128.65,127.63,128.13,743929,0
2017-07-03,128.74,128.83,127.94,128.11,547189,0
2017-07-05,128.28,128.71,126.06,127.51,1863667,0
2017-07-06,126.86,127,125.14,125.37,1535568,0
2017-07-07,125.69,127.43,125.22,126.85,1019921,0
2017-07-10,126.86,127.45,126.61,127.14,1027747,0
2017-07-11,127.13,127.24,126.21,126.23,1180003,0
2017-07-12,128.19,128.72,125.36,126.1,3148753,0
2017-07-13,126.27,130.7,125.59,128.71,4112611,0
2017-07-14,128.99,132.82,128.94,132.22,1822481,0
2017-07-17,132.24,133.21,131.63,132.34,945276,0
2017-07-18,132.01,132.35,130.42,130.91,1514066,0
2017-07-19,131.08,131.93,130.6,130.8,1403108,0
2017-07-20,131.13,131.21,129.07,129.2,2552669,0
2017-07-21,129.28,129.94,128.9,129.34,914779,0
2017-07-24,129.55,129.68,127.64,128.52,1768964,0
2017-07-25,128.93,129.17,127.93,128.5,1216546,0
2017-07-26,128.55,129.03,128.23,128.43,1325957,0
2017-07-27,127.33,127.34,124.63,125.18,3794845,0
2017-07-28,124.5,124.71,123.4,123.52,1525662,0
2017-07-31,123.44,123.44,120.82,121.07,2265284,0
2017-08-01,121.56,121.56,120,120.07,2164973,0
2017-08-02,120.02,120.09,117.15,117.45,2563361,0
2017-08-03,116.97,117.92,116.15,116.92,2040856,0
2017-08-04,117.01,117.84,116.1,117.69,1701600,0
2017-08-07,117.68,117.75,116.61,116.95,809204,0
2017-08-08,116.84,116.84,114.33,114.8,1554225,0
2017-08-09,113.71,114.04,111.99,112.63,1856256,0
2017-08-10,112.19,112.35,109.86,109.9,2224377,0
2017-08-11,110.2,112.13,110.02,111.47,1500269,0
2017-08-14,112.35,113.42,111.6,112.28,959690,0
2017-08-15,112.79,113.17,111.94,112.74,1358803,0
2017-08-16,113.45,114.06,112.71,112.85,1523136,0
2017-08-17,112.77,113.85,112.12,112.19,1058045,0
2017-08-18,112.24,112.24,111.1,111.15,1038243,0
2017-08-21,111.4,112.95,111.32,112.54,1253921,0
2017-08-22,112.52,113.85,112.31,113.72,1644039,0
2017-08-23,112.81,113.22,111.72,112.05,1110951,0
2017-08-24,112.6,113.72,112.18,112.62,995973,0
2017-08-25,113.26,113.7,112.89,112.96,751934,0
2017-08-28,113.34,113.42,112.1,112.66,771155,0
2017-08-29,112.15,112.91,111.65,112.59,705712,0
2017-08-30,112.58,112.84,111.76,112.78,1082281,0
2017-08-31,113.28,114.69,112.97,114.03,1233948,0
2017-09-01,114.23,114.48,113.27,114.09,713259,0
2017-09-05,113.83,115.09,113.19,114,1505414,0
2017-09-06,114.29,115.6,113.62,115.39,981630,0
2017-09-07,115.39,115.88,115.02,115.43,674594,0
2017-09-08,115.09,116.37,114.68,115.46,1001664,0
2017-09-11,116.01,116.65,115.37,115.56,946775,0
2017-09-12,115.5,117.25,115.1,116.19,989465,0
2017-09-13,116.08,116.29,115.05,115.65,921510,0
2017-09-14,115.46,116.11,115.38,115.75,1701251,0
2017-09-15,115.69,115.88,114.2,115.23,1620023,0
2017-09-18,115.37,116.16,115,116.06,1339129,0
2017-09-19,116.11,116.74,115.07,115.24,2213018,0
2017-09-20,115.41,116.43,114.99,115.98,1244891,0
2017-09-21,116.25,116.305,112.68,113.06,1399026,0
2017-09-22,113.09,114.48,112.655,114.4,1595941,0
2017-09-25,114.39,115.47,112.97,114.37,1386717,0
2017-09-26,114.52,115.56,114.16,114.75,1008222,0
2017-09-27,115.16,116.37,114.36,116.25,1184591,0
2017-09-28,116.11,116.3,115.12,115.66,984883,0
2017-09-29,115.72,117.14,115.4,117.09,1058684,0
2017-10-02,117.32,118.21,116.55,117.7,902917,0
2017-10-03,117.99,118.12,116.08,116.15,1054921,0
2017-10-04,116.16,117.62,115.865,117.53,1459959,0
2017-10-05,117.56,119.59,117.27,119.16,1077470,0
2017-10-06,118.58,119.32,118.06,119.27,870625,0
2017-10-09,117.81,118.08,117.05,117.52,962774,0
2017-10-10,117.52,118.76,117.52,118.41,1087674,0
2017-10-11,118.2,118.77,117.75,118.64,906140,0
2017-10-12,118.35,120.75,118.06,120.63,1496641,0
2017-10-13,120.35,120.59,119.02,119.7,798696,0
2017-10-16,119.6,119.84,119.03,119.51,1352374,0
2017-10-17,119.67,119.98,118.8,119.93,743669,0
2017-10-18,120.12,120.87,119.87,120.69,878571,0
2017-10-19,120.9,121.94,120.17,121.88,1098127,0
2017-10-20,122.34,122.827,121.32,122.35,790549,0
2017-10-23,122.55,123.82,121.64,121.7,880431,0
2017-10-24,121.95,122.11,120.34,121.21,1321991,0
2017-10-25,121,121.69,119.93,121.46,1489967,0
2017-10-26,121.5,121.99,120.77,121,1186293,0
2017-10-27,122.04,124.75,121.01,124.46,1494615,0
2017-10-30,123.38,123.89,120.88,121.35,1588457,0
2017-10-31,121.35,122.43,120.885,121.62,1822879,0
2017-11-01,111.91,117.125,110.79,115.09,4569988,0
2017-11-02,114.9,115.155,111.29,112.32,3478283,0
2017-11-03,110.08,111,108.54,109.25,3918693,0
2017-11-06,109.32,110.515,108.95,109.34,2515318,0
2017-11-07,109.98,109.98,108.17,108.72,1279257,0
2017-11-08,108.55,109.84,108.03,109.17,1794121,0
2017-11-09,109.03,111.86,108.93,111.84,1660124,0
2017-11-10,111.28,111.76,109.57,110.75,973441,0
